taxon,evc.class.code
Crepis capillaris,MOL
Crepis chondrilloides,FES
Crepis conyzifolia,TRI
Crepis cretica,TRA
Crepis divaricata,OLE
Crepis foetida subsp. foetida,SIS
Crepis foetida subsp. rhoeadifolia,ART
Crepis foliosa,SED
Crepis fraasii,PUB
Crepis froelichiana subsp. dinarica,ERI+SES
Crepis froelichiana subsp. froelichiana,SES
Crepis granatensis,THL
Crepis heldreichiana,ASP
Crepis hellenica,TRA
Crepis jacquinii subsp. jacquinii,ASP+SES
Crepis jacquinii subsp. kerneri,SES
Crepis lacera,FES
Crepis lampsanoides,FAG
Crepis leontodontoides,LAV
Crepis mollis,MOL
Crepis neglecta,TRA+TUB
Crepis nicaeensis,FES
Crepis noronhaea,OLE
Crepis oporinoides,PHA
Crepis paludosa,MOL
Crepis pannonica,FES
Crepis pontana,SES
Crepis praemorsa,FES+GER
Crepis pulchra,SIS
Crepis purpurea,DRY+SED
Crepis pusilla,ISO+POL
Crepis pygmaea,THL
Crepis pyrenaica,MOL+MUL
Crepis rhaetica,KOB+THL
Crepis rubra,TRA
Crepis sancta,CHE+TRA
Crepis setosa,ART+SIS
Crepis sibirica,ASA+MOL+MUL
Crepis sibthorpiana,DAP
Crepis tectorum,SIS
Crepis terglouensis,THL
Crepis triasii,ASP
Crepis vesicaria subsp. andryaloides,AEO+SAC
Crepis vesicaria subsp. taraxacifolia,CHE
Crepis vesicaria subsp. vesicaria,CHE
Crepis zacintha,CHE
Cressa cretica,THE
Crithmum maritimum,CRI
Crocosmia X crocosmiiflora,EPI
Crocus angustifolius,PUB
Crocus banaticus,FAG
Crocus biflorus subsp. adamii,FAG
Crocus biflorus subsp. biflorus,FES
Crocus cambessedesii,POD
Crocus carpetanus,TRI
Crocus chrysanthus,PUB
Crocus corsicus,GEN
Crocus dalmaticus,PUB
Crocus flavus,FAG
Crocus ligusticus,PUB
Crocus nevadensis,ROS
Crocus olivieri,FES
Crocus pallasii,FES
Crocus reticulatus,COR
Crocus sieberi,ANA+TRI
Crocus speciosus,FES+PUB
Crocus tommasinianus,FAG
Crocus veluchensis,TRI
Crocus vernus subsp. albiflorus,MOL
Crocus vernus subsp. vernus,FAG
Crocus versicolor,ONO
Crocus vittatus,FAG
Crossidium crassinerve,LYG
Crossidium laevipilum,LYG
Crucianella angustifolia,TUB
Crucianella latifolia,THL
Crucianella maritima,CRU
Crucianella patula,TUB
Crucianella rupestris,CRI
Cruciata glabra,FES+GER
Cruciata laevipes,EPI
Cruciata pedemontana,FES+SED
Cruciata taurica,DRY+LAM
Cruciata valentinae,LAM
Crupina crupinastrum,TUB
Crupina vulgaris,DRY+FES+TUB
Cryphaea heteromalla,NER
Cryptogramma crispa,THL
Cryptogramma stelleri,ASP
Cryptotaenia elegans,LAU
Cryptotaenia thomasii,EPI+MON
Ctenidium molluscum,ASP+POD
Ctenopsis delicatula,TUB
Ctenopsis gypsophila,TRA
Culcita macrocarpa,AZO+LAU
Cupressus sempervirens,QUI
Cuscuta approximata,FES
Cuscuta brevistyla,ROS
Cuscuta campestris,PAR
Cuscuta epilinum,PAR
Cuscuta epithymum subsp. epithymum,FES
Cuscuta epithymum subsp. kotschyi,FES+RUM
Cuscuta europaea,EPI
Cuscuta gronovii,EPI
Cuscuta lupuliformis,PUR
Cuscuta monogyna,POP
Cuscuta palaestina,ROS
Cuscuta planiflora,FES
Cuscuta scandens subsp. cesatiana,CHE
Cutandia maritima,TRA
Cyanus depressus,COR
Cyanus montanus,MUL
Cyanus pichleri,DAP
Cyanus pinnatifidus,FES+SES
Cyanus segetum,PAR
Cyanus triumfettii subsp. axillaris,GER+ONO+SES
Cyanus triumfettii subsp. triumfettii,GER
Cyathophylla chlorifolia,THL
Cyclamen balearicum,QUI
Cyclamen coum,PUB
Cyclamen creticum,QUI
Cyclamen graecum,QUI
Cyclamen hederifolium,PUB+QUI
Cyclamen purpurascens,FAG
Cyclamen repandum,QUI
Cyclamen rhodium subsp. peloponnesiacum,PUB
Cyclanthera pedata,ART
Cycloloma atriplicifolium,DIG
Cydonia oblonga,RHA
Cymbalaria aequitriloba subsp. aequitriloba,POD
Cymbalaria aequitriloba subsp. fragilis,POD
Cymbalaria microcalyx,ASP
Cymbalaria muelleri,ASP
Cymbalaria muralis,CYM
Cymbalaria pallida,ASP
Cymbaria borysthenica,FES
Cymodocea nodosa,HAL
Cynanchum acutum,EPI+TAM
Cynara algarbiensis,ART
Cynara baetica,ART
Cynara cardunculus,ART
Cynara humilis,ART
Cynodon dactylon,DIG+POL
Cynodontium bruntonii,ASP
Cynodontium fallax,ASP
Cynodontium polycarpon,ASP
Cynodontium strumiferum,ASP
Cynodontium suecicum,ASP
Cynodontium tenellum,ASP
Cynoglossum cheirifolium,ART
Cynoglossum columnae,CHE
Cynoglossum creticum,ART+CHE
Cynoglossum dioscoridis,ART
Cynoglossum germanicum subsp. germanicum,EPI
Cynoglossum germanicum subsp. pellucidum,EPI
Cynoglossum germanicum subsp. rotundum,EPI
Cynoglossum nebrodense,ART
Cynoglossum officinale,ART
Cynoglossum troodi,CYP
Cynoglottis barrelieri,FES
Cynomorium coccineum,JUN+LYG+PEG
Cynosurus cristatus,BUL+MOL
Cynosurus echinatus,TRA+TUB
Cynosurus effusus,TRA
Cyperus capitatus,AMM+CRU
Cyperus difformis,ORY
Cyperus distachyos,MOL
Cyperus eragrostis,MOL
Cyperus esculentus,CHE
Cyperus fuscus,ISO
Cyperus glaber,ISO
Cyperus glomeratus,ISO
Cyperus hamulosus,ISO
Cyperus iria,ORY
Cyperus longus subsp. badius,MOL
Cyperus longus subsp. longus,ISO+PHR
Cyperus michelianus,ISO
Cyperus pannonicus,CRY
Cyperus pygmaeus,ISO
Cyperus rotundus,CHE
Cyperus serotinus,ORY
Cyperus strigosus,BID
Cypripedium calceolus,FAG
Cyrtomnium hymenophylloides,ASP
Cyrtomnium hymenophyllum,SCH
Cystopteris alpina,ASP
Cystopteris diaphana,POD
Cystopteris diaphragma,LAU
Cystopteris dickieana,ASP
Cystopteris fragilis subsp. fragilis,ASP
Cystopteris fragilis subsp. huteri,ASP
Cystopteris montana,THL
Cystopteris sudetica,THL
Cystopteris X montserratii,ASP
Cytinus hypocistis subsp. clusii,LAV+ROS
Cytinus hypocistis subsp. hypocistis,LAV+ROS
Cytinus hypocistis subsp. macranthus,LAV+ROS
Cytinus hypocistis subsp. orientalis,ROS
Cytinus hypocistis subsp. pityusensis,ROS
Cytisophyllum sessilifolium,RHA
Cytisus albus,FAG+PUB
Cytisus arboreus,CYT
Cytisus ardoinoi,ONO
Cytisus austriacus subsp. austriacus,FES
Cytisus austriacus subsp. heuffelii,FES
Cytisus baeticus,CYT
Cytisus blockianus,FES
Cytisus borysthenicus,PYR
Cytisus cantabricus,CYT
Cytisus commutatus,CYT
Cytisus decumbens,FES
Cytisus elongatus,FES+PUB
Cytisus emeriflorus,ERI+SES
Cytisus fontanesii subsp. fontanesii,ROS
Cytisus fontanesii subsp. plumosus,QUI
Cytisus galianoi,SAB
Cytisus grandiflorus subsp. cabezudoi,CYT
Cytisus grandiflorus subsp. grandiflorus,CYT
Cytisus graniticus,FES
Cytisus hirsutus subsp. hirsutus,FES+GER+QUE
Cytisus hirsutus subsp. polytrichus,FES
Cytisus hirsutus subsp. pumilus,TRI
Cytisus infestus subsp. infestus,QUI
Cytisus infestus subsp. intermedius,QUI
Cytisus ingramii,CYT
Cytisus kovacevii,FES
Cytisus lanigerus,QUI+ROS
Cytisus leiocarpus,FAG
Cytisus lotoides,ULI
Cytisus malacitanus subsp. catalaunicus,CYT
Cytisus malacitanus subsp. malacitanus,QUI
Cytisus multiflorus,CYT
Cytisus nigricans subsp. atratus,QUE
Cytisus nigricans subsp. nigricans,GER+QUE
Cytisus oromediterraneus,CYT
Cytisus paczoskii,FES
Cytisus podolicus,FES
Cytisus procumbens,FES
Cytisus proliferus subsp. angustifolius,CAN
Cytisus proliferus subsp. meridionalis,CAN
Cytisus proliferus subsp. proliferus,LAU
Cytisus proliferus var. calderae,CAN
Cytisus proliferus var. canariae,LAU
Cytisus proliferus var. palmensis,LAU
Cytisus pseudoprocumbens,FES
Cytisus purpureus,ERI
Cytisus ratisbonensis,FES+GER
Cytisus ruthenicus,BRA+FAG+FES+PYR
Cytisus sauzeanus,ONO
Cytisus scoparius subsp. reverchonii,CYT
Cytisus scoparius subsp. scoparius,CYT+LON
Cytisus spinescens,FES
Cytisus spinosus,QUI
Cytisus striatus,CYT
Cytisus tommasinii,PUB
Cytisus villosus,CYT
Cytisus wulffii,SED
Daboecia azorica,ULI
Daboecia cantabrica,ULI
Dactylis glomerata subsp. glomerata,MOL
Dactylis glomerata subsp. hackelii,CRI
Dactylis glomerata subsp. hispanica,LYG
Dactylis glomerata subsp. juncinella,IND+TRI
Dactylis glomerata subsp. lobata,FAG
Dactylis glomerata subsp. lusitanica,SAC
Dactylis glomerata subsp. oceanica,ULI
Dactylis glomerata subsp. reichenbachii,ERI
Dactylis glomerata subsp. slovenica,MUL
Dactylis smithii subsp. hylodes,LYG
Dactylis smithii subsp. smithii,OLE
Dactylorhiza alpestris,MON
Dactylorhiza cordigera,MOL+SCH
Dactylorhiza elata subsp. sesquipedalis,MOL
Dactylorhiza foliosa,GER
Dactylorhiza fuchsii,PUB+SCH
Dactylorhiza iberica,MOL
Dactylorhiza incarnata subsp. cruenta,SCH
Dactylorhiza incarnata subsp. incarnata,ALN+MOL+SCH
Dactylorhiza incarnata subsp. ochroleuca,SCH
Dactylorhiza incarnata subsp. pulchella,SCH
Dactylorhiza insularis,GER
Dactylorhiza lapponica subsp. angustata,SCH
Dactylorhiza lapponica subsp. lapponica,SCH
Dactylorhiza maculata subsp. caramulensis,MOL
Dactylorhiza maculata subsp. maculata,NAR+SCH
Dactylorhiza maculata subsp. savogiensis,SCH
Dactylorhiza maculata subsp. transsilvanica,MOL
Dactylorhiza majalis subsp. majalis,ALN+MOL+SCH
Dactylorhiza majalis subsp. sphagnicola,OXY+SCH
Dactylorhiza russowii,SCH
Dactylorhiza sambucina,FES+MOL
Dactylorhiza traunsteineri subsp. curvifolia,SCH
Dactylorhiza traunsteineri subsp. traunsteineri,SCH
Dactylorhiza viridis,NAR+SES
Damasonium alisma,ISO
Damasonium bourgaei,ISO
Damasonium polyspermum,ISO
Danthonia alpina,SAC
Danthonia decumbens subsp. decipiens,FES
Danthonia decumbens subsp. decumbens,NAR
Daphne alpina subsp. alpina,ASP
Daphne alpina subsp. scopoliana,ASP
Daphne arbuscula,SES
Daphne blagayana,ERI+RHO
Daphne cantabrica,SAB
Daphne cneorum,ERI+GER+RHO
Daphne gnidium,QUI
Daphne laureola,FAG+PUB
Daphne malyana,ASP
Daphne mezereum,FAG
Daphne oleoides,DAP+RHO+RUM
Daphne petraea,ASP
Daphne pontica subsp. haematocarpa,FAG
Daphne pontica subsp. pontica,FAG
Daphne reichsteinii,RHA
Daphne sophia subsp. sophia,FAG+RHA
Daphne sophia subsp. taurica,FAG
Daphne striata,ERI+RHO+SES
Dasypyrum hordeaceum,DAP
Dasypyrum villosum,CHE
Datura metel,SIS
Datura stramonium,SIS
Daucus carota subsp. azoricus,CRI
Daucus carota subsp. carota,ART+MOL
Daucus carota subsp. commutatus,CRI
Daucus carota subsp. drepanensis,CRI
Daucus carota subsp. gummifer,CRI
Daucus carota subsp. halophilus,CRI
Daucus carota subsp. hispanicus,CRI
Daucus carota subsp. major,ART
Daucus carota subsp. maximus,JUN
Daucus crinitus,LYG
Daucus durieua,TRA
Daucus guttatus subsp. zahariadii,ART
Daucus minusculus,TUB
Daucus muricatus,CHE
Daucus pumilus,TUB
Daucus setifolius,LYG
Davallia canariensis,LAU+POD
Degenia velebitica,THL
Delphinium apolanum,VIR
Delphinium austriacum subsp. austriacum,MUL
Delphinium austriacum subsp. stiriacum,MUL
Delphinium balcanicum,FES
Delphinium caucasicum,LAM
Delphinium cuneatum,RHA
Delphinium dubium,MUL
Delphinium elatum subsp. elatum,MUL
Delphinium elatum subsp. helveticum,MUL
Delphinium elatum subsp. macropetalum,MUL
Delphinium elatum subsp. polatschekii,MUL
Delphinium elatum subsp. tiroliense,MUL
Delphinium fissum,FES+MUL
Delphinium montanum,MUL
Delphinium oxysepalum,THL
Delphinium pentagynum,CHE
Delphinium pictum subsp. pictum,EPI
Delphinium pictum subsp. requienii,QUI
Delphinium puniceum,FES
Delphinium sergii,GER+RHA
Delphinium staphisagria,CHE
Dendriopoterium menendezii,CAN
Dendriopoterium pulidoi,CAN
Dendrocryphaea lamyana,PUR
Dermatocarpon rivulorum,MON
Deschampsia argentea,PHR
Deschampsia cespitosa subsp. alpina,HER
Deschampsia cespitosa subsp. cespitosa,MOL+MON
Deschampsia cespitosa subsp. obensis,ARC
Deschampsia cespitosa subsp. rhenana,LIT
Deschampsia cespitosa subsp. subtriflora,MOL
Deschampsia foliosa,AEO+TOL+ULI
Deschampsia maderensis,SAC
Deschampsia media subsp. hispanica,MOL
Deschampsia media subsp. media,MOL
Descurainia artemisioides,OLE
Descurainia gilva,CAN
Descurainia lemsii,CAN
Descurainia millefolia,OLE
Descurainia preauxiana,OLE
Descurainia sophia,SIS
Descurainia sophioides,ARC
Desmazeria pignattii,CRI
Dethawia splendens subsp. cantabrica,SES
Dethawia splendens subsp. splendens,SES
Dialytrichia mucronata,PUR
Dianthus acicularis,FES
Dianthus algetanus subsp. algetanus,ROS
Dianthus algetanus subsp. turolensis,ONO
Dianthus alpinus,SES
Dianthus anticarius,PHA
Dianthus arenarius subsp. arenarius,COR
Dianthus arenarius subsp. borussicus,PYR
Dianthus arenarius subsp. pseudoserotinus,COR
Dianthus armeria,ULI
Dianthus arrostii,RUM
Dianthus barbatus subsp. barbatus,LOI
Dianthus barbatus subsp. compactus,MUL
Dianthus bessarabicus,COR+FES+PYR
Dianthus biflorus,DAP
Dianthus borbasii subsp. borbasii,COR+FES+PYR
Dianthus broteri,LAV+PHA
Dianthus callizonus,TRI
Dianthus capitatus subsp. andrzejowskianus,FES
Dianthus capitatus subsp. capitatus,FES
Dianthus carbonatus,FES
Dianthus carthusianorum subsp. atrorubens,FES
Dianthus carthusianorum subsp. capillifrons,FES
Dianthus carthusianorum subsp. carthusianorum,FES
Dianthus carthusianorum subsp. latifolius,FES
Dianthus carthusianorum subsp. polonicus,COR
Dianthus carthusianorum subsp. puberulus,FES
Dianthus carthusianorum subsp. sudeticus,TRI
Dianthus carthusianorum subsp. tenorei,FES
Dianthus carthusianorum subsp. tenuifolius,FES
Dianthus carthusianorum subsp. vaginatus,FES
Dianthus charidemi,ROS
Dianthus ciliatus subsp. ciliatus,FES
Dianthus ciliatus subsp. dalmaticus,FES
Dianthus cintranus subsp. barbatus,ASP
Dianthus cintranus subsp. cintranus,CRI
Dianthus collinus subsp. collinus,FES
Dianthus collinus subsp. glabriusculus,FES
Dianthus corymbosus,FES
Dianthus costae,ROS
Dianthus crassipes,PHA
Dianthus cyatophorus,ASP
Dianthus deltoides subsp. degenii,NAR
Dianthus deltoides subsp. deltoides,COR+NAR+PYR
Dianthus diutinus,FES
Dianthus dobrogensis,FES
Dianthus ferrugineus subsp. ferrugineus,FES
Dianthus ferrugineus subsp. liburnicus,LYG
Dianthus ferrugineus subsp. vulturius,ASP
Dianthus freynii,SES
Dianthus fruticosus subsp. amorginus,ASP
Dianthus fruticosus subsp. carpathus,ASP
Dianthus fruticosus subsp. creticus,ASP
Dianthus fruticosus subsp. fruticosus,ASP
Dianthus fruticosus subsp. occidentalis,ASP
Dianthus fruticosus subsp. sitiacus,ASP
Dianthus furcatus subsp. dissimilis,ONO
Dianthus furcatus subsp. furcatus,SES
Dianthus furcatus subsp. gyspergerae,QUI
Dianthus furcatus subsp. lereschii,TRI
Dianthus giganteiformis subsp. giganteiformis,FES
Dianthus giganteus subsp. banaticus,FES
Dianthus giganteus subsp. croaticus,SES
Dianthus giganteus subsp. vandasii,FES
Dianthus glacialis subsp. gelidus,TRI
Dianthus glacialis subsp. glacialis,KOB
Dianthus gracilis subsp. drenowskianus,FES
Dianthus gracilis subsp. gracilis,FES
Dianthus gratianopolitanus,ASP+FES+SED
Dianthus guttatus subsp. divaricatus,FES
Dianthus guttatus subsp. guttatus,FEP
Dianthus haematocalyx subsp. pindicola,SES
Dianthus henteri,ASP+FES
Dianthus hypanicus,SED
Dianthus hyssopifolius subsp. gallicus,CRU
Dianthus hyssopifolius subsp. hyssopifolius,FES
Dianthus integer subsp. minutiflorus,DAP
Dianthus juniperinus subsp. heldreichii,ASP
Dianthus juniperinus subsp. juniperinus,ASP
Dianthus knappii,ASP
Dianthus krylovianus,COR
Dianthus lanceolatus,FES
Dianthus laricifolius subsp. caespitosifolius,IND+PHA
Dianthus laricifolius subsp. laricifolius,IND
Dianthus laricifolius subsp. marizii,IND
Dianthus laricifolius subsp. merinoi,IND
Dianthus legionensis,ULI
Dianthus leptopetalus,FES
Dianthus lusitanus,PHA
Dianthus marschallii,FES
Dianthus microlepis,TRI
Dianthus moravicus,FES
Dianthus morisianus,CRU
Dianthus mossanus,ASP
Dianthus multiceps subsp. multiaffinis,LAV
Dianthus multiceps subsp. multiceps,ROS
Dianthus nardiformis,FES
Dianthus nitidus,SES
Dianthus pallidiflorus,FEP
Dianthus pavonius,TRI
Dianthus pelviformis,FES
Dianthus petraeus subsp. orbelicus,SES
Dianthus petraeus subsp. petraeus,FES
Dianthus pinifolius subsp. lilacinus,DAP
Dianthus pinifolius subsp. pinifolius,LAV
Dianthus platyodon,COR
Dianthus plumarius subsp. hoppei,FES
Dianthus plumarius subsp. lumnitzeri,FES
Dianthus plumarius subsp. neilreichii,FES
Dianthus plumarius subsp. praecox,FES
Dianthus plumarius subsp. pseudopraecox,FES
Dianthus plumarius subsp. regis-stephani,FES
Dianthus pontederae,FES
Dianthus pseudarmeria,COR
Dianthus pungens subsp. brachyanthus,IND
Dianthus pungens subsp. gredensis,TRI
Dianthus pungens subsp. hispanicus,ROS
Dianthus pungens subsp. langeanus,IND
Dianthus pungens subsp. pungens,ROS
Dianthus pyrenaicus subsp. attenuatus,ASP
Dianthus pyrenaicus subsp. pyrenaicus,FES
Dianthus rupicola subsp. bocchorianus,ASP
Dianthus rupicola subsp. rupicola,ASP
Dianthus sardous,ASP
Dianthus scaber,FES
Dianthus scardicus,TRI
Dianthus seguieri subsp. glaber,NAR
Dianthus seguieri subsp. requienii,FES+ONO
Dianthus seguieri subsp. seguieri,FES+ONO
Dianthus serotinus,COR
Dianthus sphacioticus,THL
Dianthus spiculifolius,SES
Dianthus squarrosus,FES
Dianthus stellaris,ASP
Dianthus sternbergii,SES
Dianthus stribrnyi,FES
Dianthus strictus subsp. troodi,CYP
Dianthus subacaulis subsp. brachyanthus,IND
Dianthus subacaulis subsp. subacaulis,ONO
Dianthus subbaeticus,ROS
Dianthus superbus subsp. alpestris,SES
Dianthus superbus subsp. superbus,MOL
Dianthus sylvestris subsp. longicaulis,ASP
Dianthus sylvestris subsp. siculus,LYG
Dianthus sylvestris subsp. sylvestris,COR+ONO
Dianthus sylvestris subsp. tergestinus,FES
Dianthus versicolor,FES
Dianthus vigoi,TRI
Dianthus viscidus,ANA
Dianthus volgicus,FES
Dianthus waldsteinii,THL
Dianthus xylorrhizus,ASP
Dianthus zonatus,DAP
Diapensia lapponica,LOI
Dicheranthus plocamoides,AEO
Dichodontium palustre,MON
Dichondra micrantha,POL
Dichoropetalum vittijugum,PUB
Dichoropetalum carvifolia,GER
Dichoropetalum schottii,FES
Dicranella howei,LYG
Dicranodontium asperulum,ULI
Dicranodontium uncinatum,ULI
Dicranum bonjeanii,SCH
Dicranum drummondii,PIC
Dicranum elongatum,SES
Dicranum flagellare,FAG
Dicranum flexicaule,PIC
Dicranum fragilifolium,PIC
Dicranum fulvum,FAG
Dicranum fuscescens,LOI
Dicranum leioneuron,OXY
Dicranum montanum,FAG
Dicranum polysetum,PIC
Dicranum scoparium,COR+PIC
Dicranum scottianum,NAR
Dicranum spadiceum,SES
Dicranum spurium,NAR
Dicranum tauricum,FAG
Dicranum undulatum,OXY
Dicranum viride,FAG
Dictamnus albus,GER+PUB
Dictamnus caucasicus,PUB
Dictamnus gymnostylis,ERI+PUB
Didymodon asperifolius,THL
Didymodon cordatus,LYG
Didymodon ferrugineus,SES
Didymodon glaucus,ASP
Didymodon icmadophilus,THL
Didymodon insulanus,ASP
Didymodon johansenii,THL
Didymodon luridus,THL
Didymodon maximus,FES
Didymodon nicholsonii,PUR
Didymodon sicculus,LYG
Didymodon sinuosus,PUR
Didymodon spadiceus,ADI
Didymodon tophaceus,ADI
Didymodon vinealis,LYG
Digitalis canariensis,LAU
Digitalis chalcantha,LAU
Digitalis dubia,ASP
Digitalis ferruginea subsp. schischkinii,FAG
Digitalis grandiflora,BRA+EPI
Digitalis isabelliana,CAN
Digitalis laevigata,PUB
Digitalis lanata,PUB
Digitalis lutea,PUB
Digitalis mariana subsp. heywoodii,PHA
Digitalis mariana subsp. mariana,PHA
Digitalis obscura subsp. laciniata,ROS
Digitalis obscura subsp. obscura,ROS
Digitalis parviflora,ONO
Digitalis purpurea subsp. carpetana,THL
Digitalis purpurea subsp. purpurea,EPI
Digitalis purpurea subsp. toletana,PHA
Digitalis sceptrum,LAU
Digitalis thapsi,PHA
Digitalis viridiflora,PUB
Digitaria ischaemum,DIG
Digitaria sanguinalis subsp. pectiniformis,DIG
Digitaria sanguinalis subsp. sanguinalis,DIG
Dioscorea balcanica,FAG
Dioscorea chouardii,ASP
Dioscorea communis,OLE+POP+PUB
Dioscorea edulis,OLE
Dioscorea pyrenaica,THL
Dipcadi serotinum,CAN+KLE+LYG+TUB
Diphasiastrum alpinum,LOI+TRI
Diphasiastrum complanatum subsp. complanatum,NAR+PIC
Diphasiastrum madeirense,LAU+ULI
Diphasiastrum tristachyum,ULI
Diphasiastrum X issleri,LOI
Diphasiastrum X oellgaardii,LOI
Diphasiastrum X zeilleri,NAR
Diplazium caudatum,LAU
Diplazium sibiricum,PIC
Diploschistes muscorum,SAX
Diplotaxis catholica,PAR
Diplotaxis cretacea,FES
Diplotaxis erucoides,PAR
Diplotaxis harra subsp. lagascana,CHE+TUB
Diplotaxis muralis,DIG
Diplotaxis siifolia,CHE
Diplotaxis tenuifolia,DIG
Diplotaxis viminea,CHE
Diplotaxis virgata,CHE
Dipsacus fullonum,ART+EPI
Dipsacus laciniatus,ART
Dipsacus pilosus,EPI
Distichium capillaceum,SED
Distichoselinum tenuifolium,ROS
Ditrichum flexicaule,SED
Dittrichia graveolens,CHE+LYG
Dittrichia viscosa,ART+LYG
Dodartia orientalis,FEP
Dolichorrhiza renifolia,VIR
Doronicum austriacum,MUL
Doronicum carpetanum subsp. carpetanum,THL
Doronicum carpetanum subsp. kuepferi,THL
Doronicum cataractarum,MUL
Doronicum clusii subsp. clusii,THL
Doronicum clusii subsp. villosum,THL
Doronicum columnae,FAG+MUL+THL
Doronicum corsicum,MUL
Doronicum glaciale subsp. calcareum,THL
Doronicum glaciale subsp. glaciale,THL
Doronicum grandiflorum subsp. braunblanquetii,THL
Doronicum grandiflorum subsp. grandiflorum,MUL+THL
Doronicum hungaricum,PUB
Doronicum orientale,FAG+PUB
Doronicum pardalianches,FAG
Doronicum plantagineum,QUI
Dorycnium broussonetii,OLE
Dorycnium eriophthalmum,OLE
Dorycnium fulgurans,CRI
Dorycnium hirsutum,ROS
Dorycnium pentaphyllum subsp. germanicum,FES+ROS
Dorycnium pentaphyllum subsp. gracile,CRI
Dorycnium pentaphyllum subsp. herbaceum,DRY+FES+GER
Dorycnium pentaphyllum subsp. pentaphyllum,FES+ROS
Dorycnium rectum,MOL
Dorycnium spectabile,OLE
Draba aizoides subsp. aizoides,ASP+SES
Draba aizoides subsp. beckeri,FES
Draba alpina,COC+HER
Draba aspera,ASP
Draba boerhaavii,SED
Draba cantabriae,ONO
Draba corymbosa,COC+HER
Draba cretica,ASP+DAP
Draba dedeana,ASP
Draba dolomitica,THL
Draba dovrensis,THL
Draba dubia subsp. dubia,ASP
Draba dubia subsp. laevipes,ASP
Draba fladnizensis,THL
Draba glabella,THL
Draba heterocoma subsp. archipelagi,DAP
Draba hispanica subsp. hispanica,ONO
Draba hispanica subsp. laderoi,IND
Draba hispanica subsp. lebrunii,THL
Draba hispida,HER
Draba hoppeana,THL
Draba incana,ASP
Draba korabensis,ASP
Draba kotschyi,ASP
Draba lacaitae,DAP
Draba lactea,HER
Draba ladina,ASP
Draba lasiocarpa subsp. klasterskyi,FES
Draba lasiocarpa subsp. lasiocarpa,FES
Draba loiseleurii,GEN
Draba muralis,SED+SIS
Draba nemorosa,SED
Draba nivalis,THL
Draba norvegica,ASP+LOI
Draba oblongata,PAP
Draba pacheri,TRI
Draba praecox,SED+TRA
Draba rigida,ASP
Draba sauteri,ASP
Draba scabra,HER+LAM
Draba siliquosa,KOB+LAM
Draba simonkaiana,ASP
Draba stellata,ASP
Draba subcapitata,PAP
Draba subnivalis,ASP
Draba tomentosa subsp. ciliigera,ASP
Draba tomentosa subsp. tomentosa,ASP
Draba verna,SED
Dracaena draco subsp. draco,OLE
Dracaena draco subsp. tamaranae,OLE
Dracocephalum austriacum,FES
Dracocephalum ruyschiana,BRA+FES
Dracocephalum thymifolium,ART
Dracunculus canariensis,OLE
Drepanocladus aduncus,PHR
Drepanocladus angustifolius,SCH
Drepanocladus arcticus,SCH
Drepanocladus brevifolius,SCH
Drepanocladus lycopodioides,SCH
Drepanocladus polygamus,SCH
Drepanocladus sendtneri,SCH
Drepanocladus trifarius,SCH
Drepanocladus turgescens,SCH
Drepanolejeunea hamatifolia,POD
Drosera anglica,SCH
Drosera intermedia,SCH
Drosera rotundifolia,OXY+SCH
Drosophyllum lusitanicum,ULI
Drusa glandulosa,CHE
Dryas integrifolia,KOB
Dryas octopetala,KOB
Drymocallis corsica,ASP+GEN
Drymocallis regisborisii,ASP
Drymocallis rupestris,COR+GER
Drymochloa donax,LAU
Drymochloa drymeja subsp. drymeja,FAG
Drymochloa drymeja subsp. exaltata,PUB
Drymochloa sylvatica,FAG
Dryopteris aemula,AZO+FAG+LAU+QUE
Dryopteris affinis subsp. affinis var. affinis,FAG
Dryopteris affinis subsp. affinis var. azorica,LAU
Dryopteris aitoniana,LAU
Dryopteris azorica,AZO+LAU
Dryopteris borreri,FAG
Dryopteris cambrensis,THL
Dryopteris carthusiana,ALN+FAG
Dryopteris corleyi,QUE
Dryopteris crispifolia,AZO
Dryopteris cristata,ALN+SCH
Dryopteris dilatata,FAG+PIC
Dryopteris expansa,ASA+THL
Dryopteris filix-mas,ASA+FAG
Dryopteris fragrans,THL
Dryopteris guanchica,LAU
Dryopteris maderensis,LAU
Dryopteris mindshelkensis,THL
Dryopteris oligodonta,LAU
Dryopteris oreades,THL
Dryopteris pallida subsp. balearica,THL
Dryopteris pallida subsp. pallida,ASP
Dryopteris remota,FAG
Dryopteris tyrrhena,THL
Dryopteris villarii,THL
Dryopteris X furadensis,LAU
Dryopteris X mantoniae,THL
Drypis spinosa subsp. jacquiniana,DRY
Drypis spinosa subsp. spinosa,DRY
Duchesnea indica,MOL
Dysphania ambrosioides,DIG
Dysphania botrys,DIG
Dysphania multifida,DIG
Dysphania pumilio,DIG
Dysphania schraderiana,DIG
Ebenus cretica,ASP
Ecballium elaterium,CHE
Echinaria capitata,CHE+TRA
Echinochloa colonum,DIG+ORY
Echinochloa crus-galli subsp. crus-galli,BID+DIG
Echinochloa crus-galli subsp. hispidula,ORY
Echinochloa esculenta,DIG
Echinochloa muricata,BID
Echinochloa oryzicola,ORY
Echinochloa oryzoides,ORY
Echinocystis lobata,EPI+POP
Echinodium renauldii,AZO
Echinophora spinosa,AMM
Echinophora tenuifolia subsp. sibthorpiana,AMM
