Code,Name,Status,Class,Family
TRI,Carex bigelowii subsp. ensifolia,,Monocotyl,Cyperaceae
MOL,Carex binervis*,,Monocotyl,Cyperaceae
ULI,Carex binervis*,,Monocotyl,Cyperaceae
ISO,Carex bohemica ,,Monocotyl,Cyperaceae
ASP,Carex brachystachys ,,Monocotyl,Cyperaceae
ONO,Carex brevicollis,,Monocotyl,Cyperaceae
MOL,Carex brizoides*,,Monocotyl,Cyperaceae
POP,Carex brizoides*,,Monocotyl,Cyperaceae
PHR,Carex broteriana ,,Monocotyl,Cyperaceae
PIC,Carex brunnescens*,,Monocotyl,Cyperaceae
SCH,Carex brunnescens*,,Monocotyl,Cyperaceae
TRI,Carex brunnescens*,,Monocotyl,Cyperaceae
PHR,Carex buekii ,,Monocotyl,Cyperaceae
PHR,Carex buxbaumii*,,Monocotyl,Cyperaceae
SCH,Carex buxbaumii*,,Monocotyl,Cyperaceae
SCH,Carex caespitosa,,Monocotyl,Cyperaceae
PHR,Carex camposii,,Monocotyl,Cyperaceae
LAU,Carex canariensis ,,Monocotyl,Cyperaceae
KOB,Carex capillaris ,,Monocotyl,Cyperaceae
SCH,Carex capitata ,,Monocotyl,Cyperaceae
FES,Carex caryophyllea* ,,Monocotyl,Cyperaceae
PIL,Carex caryophyllea* ,,Monocotyl,Cyperaceae
FAG,Carex caudata,,Monocotyl,Cyperaceae
MOL,Carex cespitosa* ,,Monocotyl,Cyperaceae
PHR,Carex cespitosa* ,,Monocotyl,Cyperaceae
SCH,Carex chordorrhiza ,,Monocotyl,Cyperaceae
AMM,Carex colchica,,Monocotyl,Cyperaceae
MOL,Carex cuprina,,Monocotyl,Cyperaceae
ALN,Carex curta* ,,Monocotyl,Cyperaceae
SCH,Carex curta* ,,Monocotyl,Cyperaceae
EPI,Carex curvata,,Monocotyl,Cyperaceae
TRI,Carex curvula subsp. curvula ,,Monocotyl,Cyperaceae
KOB,Carex curvula subsp. rosae ,,Monocotyl,Cyperaceae
SCH,Carex dacica ,,Monocotyl,Cyperaceae
SCH,Carex davalliana ,,Monocotyl,Cyperaceae
SCH,Carex demissa,,Monocotyl,Cyperaceae
PUB,Carex depauperata ,,Monocotyl,Cyperaceae
QUE,Carex depressa subsp. basilaris,,Monocotyl,Cyperaceae
QUI,Carex depressa subsp. depressa ,,Monocotyl,Cyperaceae
FAG,Carex depressa subsp. transsilvanica,,Monocotyl,Cyperaceae
ALN,Carex diandra*,,Monocotyl,Cyperaceae
SCH,Carex diandra*,,Monocotyl,Cyperaceae
BRA,Carex digitata* ,,Monocotyl,Cyperaceae
FAG,Carex digitata* ,,Monocotyl,Cyperaceae
SCH,Carex dioica ,,Monocotyl,Cyperaceae
PUB,Carex distachya* ,,Monocotyl,Cyperaceae
QUI,Carex distachya* ,,Monocotyl,Cyperaceae
FEP,Carex distans* ,,Monocotyl,Cyperaceae
MOL,Carex distans* ,,Monocotyl,Cyperaceae
SAG,Carex distans* ,,Monocotyl,Cyperaceae
PHR,Carex disticha* ,,Monocotyl,Cyperaceae
SCH,Carex disticha* ,,Monocotyl,Cyperaceae
FEP,Carex divisa*,,Monocotyl,Cyperaceae
GER,Carex divisa*,,Monocotyl,Cyperaceae
JUN,Carex divisa*,,Monocotyl,Cyperaceae
MOL,Carex divisa*,,Monocotyl,Cyperaceae
SAC,Carex divisa*,,Monocotyl,Cyperaceae
EPI,Carex divulsa subsp. divulsa,,Monocotyl,Cyperaceae
GER,Carex divulsa subsp. leersii*,,Monocotyl,Cyperaceae
MOL,Carex divulsa subsp. leersii*,,Monocotyl,Cyperaceae
OXY,Carex durieui,,Monocotyl,Cyperaceae
SCH,Carex echinata ,,Monocotyl,Cyperaceae
ALN,Carex elata* ,,Monocotyl,Cyperaceae
PHR,Carex elata* ,,Monocotyl,Cyperaceae
ALN,Carex elongata ,,Monocotyl,Cyperaceae
ERI,Carex ericetorum* ,,Monocotyl,Cyperaceae
PYR,Carex ericetorum* ,,Monocotyl,Cyperaceae
CRI,Carex extensa* ,,Monocotyl,Cyperaceae
JUN,Carex extensa* ,,Monocotyl,Cyperaceae
SES,Carex ferruginea,,Monocotyl,Cyperaceae
TRI,Carex fimbriata ,,Monocotyl,Cyperaceae
SES,Carex firma ,,Monocotyl,Cyperaceae
FES,Carex flacca subsp. flacca ,,Monocotyl,Cyperaceae
MOL,Carex flacca subsp. serrulata*,,Monocotyl,Cyperaceae
PUB,Carex flacca subsp. serrulata*,,Monocotyl,Cyperaceae
QUI,Carex flacca subsp. serrulata*,,Monocotyl,Cyperaceae
SCH,Carex flava subsp. flava                 ,,Monocotyl,Cyperaceae
HER,Carex foetida ,,Monocotyl,Cyperaceae
SCH,Carex frigida ,,Monocotyl,Cyperaceae
PUB,Carex fritschii ,,Monocotyl,Cyperaceae
TRI,Carex fuliginosa subsp. fuliginosa,,Monocotyl,Cyperaceae
KOB,Carex fuliginosa subsp. misandra ,,Monocotyl,Cyperaceae
TRI,Carex furva,,Monocotyl,Cyperaceae
KOB,Carex glacialis ,,Monocotyl,Cyperaceae
JUN,Carex glareosa ,,Monocotyl,Cyperaceae
PIC,Carex globularis,,Monocotyl,Cyperaceae
PUB,Carex grioletii,,Monocotyl,Cyperaceae
FES,Carex halleriana* ,,Monocotyl,Cyperaceae
PUB,Carex halleriana* ,,Monocotyl,Cyperaceae
QUI,Carex halleriana* ,,Monocotyl,Cyperaceae
JUN,Carex halophila ,,Monocotyl,Cyperaceae
MOL,Carex hartmanii*,,Monocotyl,Cyperaceae
SCH,Carex hartmanii*,,Monocotyl,Cyperaceae
SCH,Carex heleonastes ,,Monocotyl,Cyperaceae
MOL,Carex hirta,,Monocotyl,Cyperaceae
PHR,Carex hispida ,,Monocotyl,Cyperaceae
AZO,Carex hochstetteriana ,,Monocotyl,Cyperaceae
FEP,Carex hordeistichos,,Monocotyl,Cyperaceae
ALN,Carex hostiana*,,Monocotyl,Cyperaceae
SCH,Carex hostiana*,,Monocotyl,Cyperaceae
ERI,Carex humilis*,,Monocotyl,Cyperaceae
FES,Carex humilis*,,Monocotyl,Cyperaceae
ONO,Carex humilis*,,Monocotyl,Cyperaceae
QUI,Carex illegitima ,,Monocotyl,Cyperaceae
SCH,Carex jemtlandica,,Monocotyl,Cyperaceae
SES,Carex kitaibeliana ,,Monocotyl,Cyperaceae
HER,Carex lachenalii,,Monocotyl,Cyperaceae
ALN,Carex laevigata ,,Monocotyl,Cyperaceae
CRI,Carex lainzii                ,,Monocotyl,Cyperaceae
ALN,Carex lasiocarpa*,,Monocotyl,Cyperaceae
SCH,Carex lasiocarpa*,,Monocotyl,Cyperaceae
SCH,Carex laxa ,,Monocotyl,Cyperaceae
ALN,Carex lepidocarpa subsp. lepidocarpa*,,Monocotyl,Cyperaceae
SCH,Carex lepidocarpa subsp. lepidocarpa*,,Monocotyl,Cyperaceae
SCH,Carex lepidocarpa subsp. nevadensis,,Monocotyl,Cyperaceae
MOL,Carex leporina* ,,Monocotyl,Cyperaceae
NAR,Carex leporina* ,,Monocotyl,Cyperaceae
AMM,Carex ligerica*,,Monocotyl,Cyperaceae
COR,Carex ligerica*,,Monocotyl,Cyperaceae
SCH,Carex limosa ,,Monocotyl,Cyperaceae
FES,Carex liparocarpos* ,,Monocotyl,Cyperaceae
ONO,Carex liparocarpos* ,,Monocotyl,Cyperaceae
SCH,Carex livida ,,Monocotyl,Cyperaceae
LAU,Carex lowei ,,Monocotyl,Cyperaceae
JUN,Carex mackenziei ,,Monocotyl,Cyperaceae
SES,Carex macrolepis,,Monocotyl,Cyperaceae
TRI,Carex macrostyla,,Monocotyl,Cyperaceae
SCH,Carex magellanica subsp. irrigua ,,Monocotyl,Cyperaceae
SCH,Carex magellanica subsp. magellanica ,,Monocotyl,Cyperaceae
MOL,Carex mairei,,Monocotyl,Cyperaceae
SCH,Carex maritima ,,Monocotyl,Cyperaceae
PHR,Carex mauritanica,,Monocotyl,Cyperaceae
PHR,Carex melanostachya ,,Monocotyl,Cyperaceae
FES,Carex michelii* ,,Monocotyl,Cyperaceae
PUB,Carex michelii* ,,Monocotyl,Cyperaceae
SCH,Carex microglochin ,,Monocotyl,Cyperaceae
HER,Carex micropodioides,,Monocotyl,Cyperaceae
FES,Carex montana* ,,Monocotyl,Cyperaceae
GER,Carex montana* ,,Monocotyl,Cyperaceae
SES,Carex mucronata ,,Monocotyl,Cyperaceae
EPI,Carex muricata*,,Monocotyl,Cyperaceae
FAG,Carex muricata*,,Monocotyl,Cyperaceae
GER,Carex muricata*,,Monocotyl,Cyperaceae
KOB,Carex nardina ,,Monocotyl,Cyperaceae
ALN,Carex nigra*,,Monocotyl,Cyperaceae
SCH,Carex nigra*,,Monocotyl,Cyperaceae
SCH,Carex norvegica subsp. norvegica,,Monocotyl,Cyperaceae
HER,Carex norvegica subsp. pusteriana,,Monocotyl,Cyperaceae
FES,Carex obtusata,,Monocotyl,Cyperaceae
QUI,Carex oedipostyla,,Monocotyl,Cyperaceae
QUI,Carex olbiensis ,,Monocotyl,Cyperaceae
SES,Carex ornithopoda subsp. elongata,,Monocotyl,Cyperaceae
ERI,Carex ornithopoda subsp. ornithopoda* ,,Monocotyl,Cyperaceae
SES,Carex ornithopoda subsp. ornithopoda* ,,Monocotyl,Cyperaceae
ASP,Carex ornithopodioides*,,Monocotyl,Cyperaceae
THL,Carex ornithopodioides*,,Monocotyl,Cyperaceae
MOL,Carex otrubae*,,Monocotyl,Cyperaceae
PHR,Carex otrubae*,,Monocotyl,Cyperaceae
GER,Carex pairae,,Monocotyl,Cyperaceae
JUN,Carex paleacea ,,Monocotyl,Cyperaceae
MOL,Carex pallescens*,,Monocotyl,Cyperaceae
NAR,Carex pallescens*,,Monocotyl,Cyperaceae
ALN,Carex panicea* ,,Monocotyl,Cyperaceae
MOL,Carex panicea* ,,Monocotyl,Cyperaceae
SCH,Carex panicea* ,,Monocotyl,Cyperaceae
PHR,Carex paniculata subsp. calderae,,Monocotyl,Cyperaceae
PHR,Carex paniculata subsp. lusitanica,,Monocotyl,Cyperaceae
PHR,Carex paniculata subsp. paniculata ,,Monocotyl,Cyperaceae
SCH,Carex parallela ,,Monocotyl,Cyperaceae
HER,Carex parviflora*,,Monocotyl,Cyperaceae
OXY,Carex parviflora*,,Monocotyl,Cyperaceae
THL,Carex parviflora*,,Monocotyl,Cyperaceae
OXY,Carex pauciflora,,Monocotyl,Cyperaceae
ASA,Carex pediformis subsp. macroura,,Monocotyl,Cyperaceae
FES,Carex pediformis subsp. pediformis*,,Monocotyl,Cyperaceae
GER,Carex pediformis subsp. pediformis*,,Monocotyl,Cyperaceae
POP,Carex pendula ,,Monocotyl,Cyperaceae
AZO,Carex peregrina*,,Monocotyl,Cyperaceae
LAU,Carex peregrina*,,Monocotyl,Cyperaceae
TOL,Carex peregrina*,,Monocotyl,Cyperaceae
LAU,Carex perraudieriana,,Monocotyl,Cyperaceae
FAG,Carex pilosa ,,Monocotyl,Cyperaceae
AZO,Carex pilulifera subsp. azorica*,,Monocotyl,Cyperaceae
TOL,Carex pilulifera subsp. azorica*,,Monocotyl,Cyperaceae
NAR,Carex pilulifera subsp. pilulifera ,,Monocotyl,Cyperaceae
COR,Carex praecox*,,Monocotyl,Cyperaceae
FES,Carex praecox*,,Monocotyl,Cyperaceae
PHR,Carex pseudocyperus ,,Monocotyl,Cyperaceae
MOL,Carex pulchella ,,Monocotyl,Cyperaceae
SCH,Carex pulicaris ,,Monocotyl,Cyperaceae
LAU,Carex punctata var. laevicaulis* ,,Monocotyl,Cyperaceae
TOL,Carex punctata var. laevicaulis* ,,Monocotyl,Cyperaceae
HER,Carex pyrenaica ,,Monocotyl,Cyperaceae
PHR,Carex randalpina ,,Monocotyl,Cyperaceae
MON,Carex remota*,,Monocotyl,Cyperaceae
POP,Carex remota*,,Monocotyl,Cyperaceae
FES,Carex repens ,,Monocotyl,Cyperaceae
PHR,Carex reuteriana* ,,Monocotyl,Cyperaceae
POP,Carex reuteriana* ,,Monocotyl,Cyperaceae
BRA,Carex rhizina* ,,Monocotyl,Cyperaceae
MOL,Carex rhizina* ,,Monocotyl,Cyperaceae
PHR,Carex riparia ,,Monocotyl,Cyperaceae
POD,Carex rorulenta,,Monocotyl,Cyperaceae
ALN,Carex rostrata* ,,Monocotyl,Cyperaceae
PHR,Carex rostrata* ,,Monocotyl,Cyperaceae
SCH,Carex rostrata* ,,Monocotyl,Cyperaceae
HER,Carex rufina ,,Monocotyl,Cyperaceae
KOB,Carex rupestris ,,Monocotyl,Cyperaceae
JUN,Carex salina ,,Monocotyl,Cyperaceae
SCH,Carex saxatilis ,,Monocotyl,Cyperaceae
KOB,Carex scirpoidea ,,Monocotyl,Cyperaceae
FEP,Carex secalina ,,Monocotyl,Cyperaceae
TRI,Carex sempervirens subsp. pseudotristis,,Monocotyl,Cyperaceae
SES,Carex sempervirens subsp. sempervirens*,,Monocotyl,Cyperaceae
TRI,Carex sempervirens subsp. sempervirens*,,Monocotyl,Cyperaceae
TRI,Carex sempervirens subsp. tristis,,Monocotyl,Cyperaceae
EPI,Carex spicata* ,,Monocotyl,Cyperaceae
GER,Carex spicata* ,,Monocotyl,Cyperaceae
COR,Carex stenophylla* ,,Monocotyl,Cyperaceae
FES,Carex stenophylla* ,,Monocotyl,Cyperaceae
POP,Carex strigosa ,,Monocotyl,Cyperaceae
JUN,Carex subspathacea ,,Monocotyl,Cyperaceae
SAX,Carex supina subsp. spaniocarpa,,Monocotyl,Cyperaceae
FES,Carex supina subsp. supina* ,,Monocotyl,Cyperaceae
PYR,Carex supina subsp. supina* ,,Monocotyl,Cyperaceae
POP,Carex sylvatica subsp. paui,,Monocotyl,Cyperaceae
FAG,Carex sylvatica subsp. sylvatica ,,Monocotyl,Cyperaceae
MOL,Carex tomentosa ,,Monocotyl,Cyperaceae
SCH,Carex trinervis ,,Monocotyl,Cyperaceae
NAR,Carex umbrosa subsp. huetiana,,Monocotyl,Cyperaceae
FAG,Carex umbrosa subsp. umbrosa ,,Monocotyl,Cyperaceae
JUN,Carex ursina ,,Monocotyl,Cyperaceae
JUN,Carex vacillans ,,Monocotyl,Cyperaceae
MUL,Carex vaginata*,,Monocotyl,Cyperaceae
SCH,Carex vaginata*,,Monocotyl,Cyperaceae
ALN,Carex vesicaria*,,Monocotyl,Cyperaceae
PHR,Carex vesicaria*,,Monocotyl,Cyperaceae
MOL,Carex viridula subsp. cedercreutzii*,,Monocotyl,Cyperaceae
PHR,Carex viridula subsp. cedercreutzii*,,Monocotyl,Cyperaceae
MOL,Carex viridula subsp. viridula*,,Monocotyl,Cyperaceae
SCH,Carex viridula subsp. viridula*,,Monocotyl,Cyperaceae
AZO,Carex vulcani ,,Monocotyl,Cyperaceae
MOL,Carex vulpina* ,,Monocotyl,Cyperaceae
PHR,Carex vulpina* ,,Monocotyl,Cyperaceae
PHR,Carex vulpinoidea ,A,Monocotyl,Cyperaceae
FES,Carlina acanthifolia subsp. acanthifolia,,Eudicot,Asteraceae
ONO,Carlina acanthifolia subsp. cynara,,Eudicot,Asteraceae
FES,Carlina acanthifolia subsp. utzka ,,Eudicot,Asteraceae
FES,Carlina acaulis subsp. acaulis,,Eudicot,Asteraceae
SES,Carlina acaulis subsp. caulescens,,Eudicot,Asteraceae
MUL,Carlina biebersteinii subsp. biebersteinii,,Eudicot,Asteraceae
FES,Carlina biebersteinii subsp. brevibracteata ,,Eudicot,Asteraceae
CAN,Carlina canariensis ,,Eudicot,Asteraceae
ROS,Carlina corymbosa,,Eudicot,Asteraceae
ASP,Carlina diae ,,Eudicot,Asteraceae
ROS,Carlina gummifera,,Eudicot,Asteraceae
ART,Carlina hispanica subsp. hispanica,,Eudicot,Asteraceae
CRI,Carlina hispanica subsp. major,,Eudicot,Asteraceae
CHE,Carlina lanata,,Eudicot,Asteraceae
PIL,Carlina macrocephala ,,Eudicot,Asteraceae
RUM,Carlina nebrodensis ,,Eudicot,Asteraceae
ISO,Carlina racemosa,,Eudicot,Asteraceae
OLE,Carlina salicifolia ,,Eudicot,Asteraceae
CRI,Carlina tragacanthifolia ,,Eudicot,Asteraceae
FES,Carlina vulgaris ,,Eudicot,Asteraceae
CAN,Carlina xeranthemoides ,,Eudicot,Asteraceae
LIT,Caropsis verticillatoinundata,,Eudicot,Apiaceae
PEG,Caroxylon aegaeum ,,Eudicot,Chenopodiaceae
PEG,Caroxylon carpathum ,,Eudicot,Chenopodiaceae
KAL,Caroxylon dendroides* ,,Eudicot,Chenopodiaceae
LER,Caroxylon dendroides* ,,Eudicot,Chenopodiaceae
PEG,Caroxylon divaricatum,,Eudicot,Chenopodiaceae
KAL,Caroxylon laricinum,,Eudicot,Chenopodiaceae
KAL,Caroxylon nitrarium ,,Eudicot,Chenopodiaceae
KAL,Caroxylon orientale ,,Eudicot,Chenopodiaceae
KAL,Caroxylon passerinum ,,Eudicot,Chenopodiaceae
PEG,Caroxylon tetrandrum,,Eudicot,Chenopodiaceae
PEG,Caroxylon vermiculatum ,,Eudicot,Chenopodiaceae
EPI,Carpesium abrotanoides ,,Eudicot,Asteraceae
EPI,Carpesium cernuum*,,Eudicot,Asteraceae
FAG,Carpesium cernuum*,,Eudicot,Asteraceae
FAG,Carpinus betulus ,,Eudicot,Betulaceae
PUB,Carpinus orientalis ,,Eudicot,Betulaceae
CHE,Carrichtera annua ,,Eudicot,Brassicaceae
PEG,Carthamus arborescens,,Eudicot,Asteraceae
CRI,Carthamus balearicus ,,Eudicot,Asteraceae
ART,Carthamus caeruleus ,,Eudicot,Asteraceae
ONO,Carthamus carduncellus ,,Eudicot,Asteraceae
FES,Carthamus hispanicus subsp. hispanicus ,,Eudicot,Asteraceae
ROS,Carthamus hispanicus subsp. macrocephalus,,Eudicot,Asteraceae
FES,Carthamus hispanicus subsp. pseudomitissimus,,Eudicot,Asteraceae
ART,Carthamus lanatus subsp. baeticus,,Eudicot,Asteraceae
ART,Carthamus lanatus subsp. lanatus ,,Eudicot,Asteraceae
FES,Carthamus mitissimus,,Eudicot,Asteraceae
RUM,Carthamus pinnatus ,,Eudicot,Asteraceae
CHE,Carthamus tinctorius ,,Eudicot,Asteraceae
MOL,Carum carvi ,,Eudicot,Apiaceae
TRI,Carum caucasicum,,Eudicot,Apiaceae
DAP,Carum graecum,,Eudicot,Apiaceae
THL,Carum heldreichii ,,Eudicot,Apiaceae
DAP,Carum rupestre ,,Eudicot,Apiaceae
MOL,Carum verticillatum,,Eudicot,Apiaceae
RHA,Caryopteris incana ,A,Eudicot,Lamiaceae
HER,Cassiope hypnoides ,,Eudicot,Ericaceae
KOB,Cassiope tetragona ,,Eudicot,Ericaceae
QUE,Castanea sativa ,,Eudicot,Fagaceae
ASP,Castroviejoa montelinasana,,Eudicot,Asteraceae
PHR,Catabrosa aquatica ,,Monocotyl,Poaceae
HER,Catabrosella variegata ,,Monocotyl,Poaceae
ROS,Catananche caerulea ,,Eudicot,Asteraceae
CHE,Catananche lutea ,,Eudicot,Asteraceae
TUB,Catapodium hemipoa subsp. hemipoa,,Monocotyl,Poaceae
CHE,Catapodium hemipoa subsp. occidentale,,Monocotyl,Poaceae
SAG,Catapodium marinum ,,Monocotyl,Poaceae
CHE,Catapodium rigidum*,,Monocotyl,Poaceae
SAG,Catapodium rigidum*,,Monocotyl,Poaceae
TRA,Catapodium rigidum*,,Monocotyl,Poaceae
MON,Catoscopium nigritum*,,Moss,Catoscopiaceae
SCH,Catoscopium nigritum*,,Moss,Catoscopiaceae
PAR,Caucalis platycarpos ,,Eudicot,Apiaceae
ZOS,Caulerpa prolifera,,Chlorophyta,Caulerpaceae
PEG,Ceballosia fruticosa,,Eudicot,Boraginaceae
LAU,Cedronella canariensis ,,Eudicot,Lamiaceae
PUB,Cedrus atlantica ,A,Gymno,Pinaceae
SAC,Celtica gigantea ,,Eudicot,Poaceae
PUB,Celtis australis,,Eudicot,Ulmaceae
RHA,Celtis occidentalis ,A,Eudicot,Ulmaceae
PUB,Celtis planchoniana,,Eudicot,Ulmaceae
QUI,Celtis tournefortii ,,Eudicot,Ulmaceae
LYG,Cenchrus ciliaris,,Eudicot,Poaceae
DIG,Cenchrus longisetus,A,Monocotyl,Poaceae
LYG,Cenchrus setaceus,,Monocotyl,Poaceae
CAK,Cenchrus spinifex,,Eudicot,Poaceae
MOL,Centarea nigrescens subsp. vochinensis,,Eudicot,Asteraceae
ROS,Centaurea acicularis,,Eudicot,Asteraceae
DAP,Centaurea affinis subsp. affinis ,,Eudicot,Asteraceae
IND,Centaurea alba subsp. alba ,,Eudicot,Asteraceae
ROS,Centaurea alba subsp. costae,,Eudicot,Asteraceae
ROS,Centaurea alba subsp. maluqueri,,Eudicot,Asteraceae
LAV,Centaurea alba subsp. tartesiana                 ,,Eudicot,Asteraceae
SAC,Centaurea amblensis subsp. amblensis ,,Eudicot,Asteraceae
SAC,Centaurea amblensis subsp. tentudaica ,,Eudicot,Asteraceae
ROS,Centaurea antennata,,Eudicot,Asteraceae
ASP,Centaurea aplolepa subsp. parvula,,Eudicot,Asteraceae
COR,Centaurea appendicata,,Eudicot,Asteraceae
AMM,Centaurea arenaria* ,,Eudicot,Asteraceae
PYR,Centaurea arenaria* ,,Eudicot,Asteraceae
ASP,Centaurea argentea ,,Eudicot,Asteraceae
SAC,Centaurea aristata subsp. langeana,,Eudicot,Asteraceae
ART,Centaurea aspera subsp. aspera ,,Eudicot,Asteraceae
ART,Centaurea aspera subsp. stenophylla,,Eudicot,Asteraceae
SES,Centaurea atropurpurea ,,Eudicot,Asteraceae
ASP,Centaurea avilae,,Eudicot,Asteraceae
CHE,Centaurea benedicta,,Eudicot,Asteraceae
ROS,Centaurea boissieri subsp. boissieri ,,Eudicot,Asteraceae
ROS,Centaurea boissieri subsp. funkii,,Eudicot,Asteraceae
ASP,Centaurea boissieri subsp. mariolensis,,Eudicot,Asteraceae
PHA,Centaurea bombycina,,Eudicot,Asteraceae
CRI,Centaurea borjae,,Eudicot,Asteraceae
PYR,Centaurea borysthenica,,Eudicot,Asteraceae
COR,Centaurea breviceps ,,Eudicot,Asteraceae
TRI,Centaurea bugellensis ,,Eudicot,Asteraceae
ASP,Centaurea busambarensis,,Eudicot,Asteraceae
ART,Centaurea calcitrapa ,,Eudicot,Asteraceae
ASP,Centaurea caliacrae ,,Eudicot,Asteraceae
SES,Centaurea calocephala ,,Eudicot,Asteraceae
FES,Centaurea caprina ,,Eudicot,Asteraceae
LAV,Centaurea carratracensis ,,Eudicot,Asteraceae
SAC,Centaurea castellana,,Eudicot,Asteraceae
THL,Centaurea ceratophylla ,,Eudicot,Asteraceae
CRI,Centaurea cineraria ,,Eudicot,Asteraceae
PHA,Centaurea citricolor ,,Eudicot,Asteraceae
ASP,Centaurea clementei,,Eudicot,Asteraceae
ART,Centaurea collina*,,Eudicot,Asteraceae
FES,Centaurea collina*,,Eudicot,Asteraceae
SED,Centaurea corcubionensis,,Eudicot,Asteraceae
CRI,Centaurea crithmifolia ,,Eudicot,Asteraceae
ULI,Centaurea crocata,,Eudicot,Asteraceae
ASP,Centaurea cuspidata ,,Eudicot,Asteraceae
FES,Centaurea decipiens ,,Eudicot,Asteraceae
THL,Centaurea delucae ,,Eudicot,Asteraceae
FES,Centaurea dichroantha ,,Eudicot,Asteraceae
COR,Centaurea diffusa,,Eudicot,Asteraceae
CRI,Centaurea diomedea ,,Eudicot,Asteraceae
COR,Centaurea donetzica,,Eudicot,Asteraceae
ROS,Centaurea emigrantis,,Eudicot,Asteraceae
ASP,Centaurea filiformis subsp. ferulacea,,Eudicot,Asteraceae
ASP,Centaurea filiformis subsp. filiformis,,Eudicot,Asteraceae
TRI,Centaurea flosculosa,,Eudicot,Asteraceae
CRI,Centaurea friderici subsp. jabukensis ,,Eudicot,Asteraceae
ROS,Centaurea gadorensis ,,Eudicot,Asteraceae
ROS,Centaurea genesii-lopezii,,Eudicot,Asteraceae
FES,Centaurea gracilenta,,Eudicot,Asteraceae
ROS,Centaurea granatensis ,,Eudicot,Asteraceae
PHA,Centaurea haenseleri,,Eudicot,Asteraceae
LAV,Centaurea hanryi subsp. shuttleworthii,,Eudicot,Asteraceae
ROS,Centaurea hyssopifolia ,,Eudicot,Asteraceae
ART,Centaurea iberica ,,Eudicot,Asteraceae
DAP,Centaurea idaea ,,Eudicot,Asteraceae
ASP,Centaurea incompta ,,Eudicot,Asteraceae
FES,Centaurea inermis,,Eudicot,Asteraceae
FES,Centaurea jacea subsp. angustifolia ,,Eudicot,Asteraceae
CRI,Centaurea jacea subsp. dracunculifolia,,Eudicot,Asteraceae
FES,Centaurea jacea subsp. gaudinii,,Eudicot,Asteraceae
SES,Centaurea jacea subsp. haynaldii ,,Eudicot,Asteraceae
MOL,Centaurea jacea subsp. jacea ,,Eudicot,Asteraceae
SES,Centaurea jacea subsp. julica,,Eudicot,Asteraceae
FES,Centaurea jacea subsp. timbali*,,Eudicot,Asteraceae
MOL,Centaurea jacea subsp. timbali*,,Eudicot,Asteraceae
MOL,Centaurea jacea subsp. vinyalsii                 ,,Eudicot,Asteraceae
FES,Centaurea jacea subsp. weldeniana,,Eudicot,Asteraceae
ROS,Centaurea jaennensis,,Eudicot,Asteraceae
ONO,Centaurea janeri subsp. babiana,,Eudicot,Asteraceae
FES,Centaurea jankae,,Eudicot,Asteraceae
ONO,Centaurea jordaniana subsp. aemilii*,,Eudicot,Asteraceae
ROS,Centaurea jordaniana subsp. aemilii*,,Eudicot,Asteraceae
ASP,Centaurea jordaniana subsp. balbisiana,,Eudicot,Asteraceae
ROB,Centaurea jordaniana subsp. jordaniana*,,Eudicot,Asteraceae
THL,Centaurea jordaniana subsp. jordaniana*,,Eudicot,Asteraceae
COR,Centaurea jordaniana subsp. verguinii*,,Eudicot,Asteraceae
GER,Centaurea jordaniana subsp. verguinii*,,Eudicot,Asteraceae
ASP,Centaurea kartschiana subsp. dalmatica,,Eudicot,Asteraceae
CRU,Centaurea kilaea ,,Eudicot,Asteraceae
COR,Centaurea konkae,,Eudicot,Asteraceae
FES,Centaurea kosaninii*,,Eudicot,Asteraceae
SED,Centaurea kosaninii*,,Eudicot,Asteraceae
SES,Centaurea kotschyana ,,Eudicot,Asteraceae
ART,Centaurea lagascana,,Eudicot,Asteraceae
PHA,Centaurea lainzii,,Eudicot,Asteraceae
PHA,Centaurea langei,,Eudicot,Asteraceae
LAV,Centaurea laureotica,,Eudicot,Asteraceae
FES,Centaurea lavrenkoana ,,Eudicot,Asteraceae
QUI,Centaurea leucophaea subsp. controversa,,Eudicot,Asteraceae
FES,Centaurea leucophaea subsp. leucophaea,,Eudicot,Asteraceae
ROS,Centaurea linifolia ,,Eudicot,Asteraceae
FES,Centaurea macroptilon*,,Eudicot,Asteraceae
MOL,Centaurea macroptilon*,,Eudicot,Asteraceae
LAV,Centaurea magistrorum ,,Eudicot,Asteraceae
COR,Centaurea majorovii ,,Eudicot,Asteraceae
FES,Centaurea mannagettae,,Eudicot,Asteraceae
FES,Centaurea margaritacea ,,Eudicot,Asteraceae
COR,Centaurea margaritalba ,,Eudicot,Asteraceae
ASP,Centaurea mariana,,Eudicot,Asteraceae
ART,Centaurea melitensis*,,Eudicot,Asteraceae
CHE,Centaurea melitensis*,,Eudicot,Asteraceae
ROS,Centaurea monticola,,Eudicot,Asteraceae
GER,Centaurea nemoralis ,,Eudicot,Asteraceae
TRI,Centaurea nervosa,,Eudicot,Asteraceae
ASP,Centaurea nicolae ,,Eudicot,Asteraceae
GER,Centaurea nigra subsp. carpetana ,,Eudicot,Asteraceae
FES,Centaurea nigra subsp. nigra* ,,Eudicot,Asteraceae
GER,Centaurea nigra subsp. nigra* ,,Eudicot,Asteraceae
MOL,Centaurea nigra subsp. rivularis,,Eudicot,Asteraceae
