taxon,evc.taxon
Abies alba,Abies alba
Abies grandis,
Abies nordmanniana,Abies nordmanniana
Abietinella abietina s.lat.,Abietinella abietina
Abietinella abietina var. abietina,Abietinella abietina
Abietinella abietina var. hystricosa,Abietinella abietina
Abutilon theophrasti,Abutilon theophrasti
Acaena inermis,
Acer campestre,Acer campestre
Acer ginnala,Acer tataricum
Acer negundo,Acer negundo
Acer platanoides,Acer platanoides
Acer pseudoplatanus,Acer pseudoplatanus
Acer saccharinum,Acer saccharinum
Achillea atrata,Achillea atrata
Achillea clavennae,Achillea clavennae
Achillea clusiana,Achillea clusiana
Achillea collina s.lat.,Achillea collina
Achillea distans s.str.,Achillea distans subsp. distans
Achillea filipendulina,Achillea filipendulina
Achillea lanulosa,
Achillea macrophylla,Achillea macrophylla
Achillea millefolium agg.,Achillea millefolium subsp. millefolium
Achillea millefolium s.str.,Achillea millefolium subsp. millefolium
Achillea millefolium ssp. sudetica,Achillea millefolium subsp. sudetica
Achillea moschata,Achillea erba-rotta subsp. moschata 
Achillea nobilis (s.lat.),Achillea nobilis subsp. nobilis
Achillea oxyloba,Achillea oxyloba subsp. oxyloba
Achillea pannonica,Achillea pannonica
Achillea pratensis,Achillea pratensis
Achillea ptarmica s.str.,Achillea ptarmica
Achillea roseo-alba,Achillea roseoalba
Achillea setacea,Achillea setacea
Achnatherum calamagrostis,Achnatherum calamagrostis
Aconitum anthora,Aconitum anthora
Aconitum compactum,
Aconitum degenii ssp. paniculatum,Aconitum degenii
Aconitum lycoctonum s.lat.,
Aconitum lycoctonum ssp. lycoctonum,Aconitum lycoctonum subsp. lycoctonum
Aconitum lycoctonum ssp. vulparia,Aconitum lycoctonum subsp. vulparia
Aconitum napellus s.lat.,
Aconitum napellus ssp. formosum,
Aconitum napellus ssp. lobelii,
Aconitum napellus ssp. napellus,Aconitum napellus subsp. napellus
Aconitum pilipes,Aconitum pilipes
Aconitum plicatum,Aconitum plicatum
Aconitum tauricum ssp. tauricum,Aconitum tauricum
Aconitum variegatum s.lat.,
Aconitum variegatum ssp. nasutum,Aconitum variegatum subsp. nasutum
Aconitum variegatum ssp. variegatum,Aconitum variegatum subsp. variegatum
Acorus calamus,Acorus calamus
Actaea spicata,Actaea spicata
Actinidia deliciosa,
Adenophora liliifolia,Adenophora liliifolia
Adenostyles alliariae,Adenostyles alliariae
Adenostyles alpina,Adenostyles alpina subsp. alpina
Adonis aestivalis,Adonis aestivalis subsp. aestivalis
Adonis annua,Adonis annua subsp. annua
Adonis flammea,Adonis flammula
Adonis microcarpa,Adonis microcarpa
Adonis vernalis,Adonis vernalis
Adoxa moschatellina,Adoxa moschatellina
Aegopodium podagraria,Aegopodium podagraria
Aesculus hippocastanum,Aesculus hippocastanum
Aëthionema saxatile,Aethionema saxatile subsp. saxatile
Aethusa cynapium s.lat.,
Aethusa cynapium ssp. cynapium s.lat.,Aethusa cynapium subsp. cynapium
Aethusa cynapium ssp. elata,Aethusa cynapium subsp. elata
Agastache foeniculum,
Ageratum houstonianum,
Agrimonia eupatoria,Agrimonia eupatoria
Agrimonia procera,Agrimonia procera
Agrostemma githago,Agrostemma githago subsp. githago
Agrostis agrostiflora,Agrostis schraderiana 
Agrostis alpina s.str.,Agrostis alpina
Agrostis canina s.str.,Agrostis canina subsp. canina
Agrostis capillaris,Agrostis capillaris
Agrostis castellana,Agrostis castellana
Agrostis gigantea,Agrostis gigantea subsp. gigantea
Agrostis rupestris,Agrostis rupestris subsp. rupestris
Agrostis scabra,
Agrostis schleicheri,Agrostis schleicheri
Agrostis stolonifera s.str.,Agrostis stolonifera subsp. stolonifera
Agrostis vinealis,Agrostis vinealis
Ailanthus altissima,Ailanthus altissima
Aira caryophyllea s.str.,Aira caryophyllea subsp. caryophyllea
Aira elegantissima,Aira elegantissima
Aira praecox,Aira praecox
Ajuga chamaepitys,Ajuga chamaepitys subsp. chamaepitys
Ajuga genevensis,Ajuga genevensis
Ajuga pyramidalis,Ajuga pyramidalis
Ajuga reptans,Ajuga reptans
Alcea rosea,Alcea rosea
Alchemilla acutiloba,Alchemilla acutiloba
Alchemilla aggregata,Alchemilla aggregata
Alchemilla alpigena,Alchemilla alpigena
Alchemilla alpina,Alchemilla alpina
Alchemilla anisiaca,Alchemilla anisiaca
Alchemilla connivens,Alchemilla connivens
Alchemilla coriacea,Alchemilla coriacea
Alchemilla crinita,Alchemilla crinita
Alchemilla cuspidens,
Alchemilla cymatophylla,Alchemilla cymatophylla
Alchemilla decumbens,Alchemilla decumbens
Alchemilla effusa,Alchemilla effusa
Alchemilla exigua,Alchemilla exigua
Alchemilla filicaulis,Alchemilla filicaulis
Alchemilla fissa s.str.,Alchemilla fissa
Alchemilla flabellata,Alchemilla flabellata
Alchemilla glabra,Alchemilla glabra
Alchemilla glaucescens,Alchemilla glaucescens
Alchemilla hoppeana,Alchemilla hoppeana
Alchemilla impexa,Alchemilla impexa
Alchemilla incisa,Alchemilla incisa
