taxon;rl;a;b;r;rl.al;rl.bm;rl.nv;rl.sv;rl.pa;o.v;o.nt;o.ot;o.s;o.k;o.st;o.o;o.n;o.w;o.b;responsibility;distribution;lifeform
Allium vineale;LC;4;-1;0;VU;●;●;NT;●;●;e;●;●;●;●;●;●;●;●;;Hol (Kosm);S
Alnus alnobetula;LC;4;0;0;●;VU;CR;VU;;●;●;●;●;●;●;●;●;;●;;Eur;B
Alnus glutinosa;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;B
Alnus incana;LC;5;-2;-1;●;NT;●;●;NT;●;●;●;●;●;●;●;●;●;●;;Euras (Hol);B
Alopecurus aequalis;NT;4;-2;-1;VU;●;●;VU;VU;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Alopecurus geniculatus;LC;3;0;0;●;●;VU;VU;VU;u;le;le;●;●;●;●;●;●;●;;Eur (Hol);S
Alopecurus myosuroides;n;;;;;;;;;u;u;u;u;u;u;e;e;e;e;;;H
Alopecurus pratensis;LC;5;-1;-1;●;●;●;●;NT;●*;e;●;e;●;●;●;●;●;●;;Euras (Kosm);S
Althaea officinalis s.str.;VU;2;-1;-1;n;n;n;n;●;u;u;u;u;e;e;e;●;●;●;;Euras (Hol);S
Althaea taurinensis;n;;;;;;;;;;u;u;u;u;e;u;e;e;e;;;S
Alyssum alyssoides;LC;4;-1;-1;VU;●;EN;CR;●;●;●;†?;†,u;●;●;●;●;●;●;;Eur (Kosm);H
Alyssum gmelinii;VU;2;-1;-1;●;●;n;RE?*;●;;u;;u;●;●;u;●;;●;;Eur;S
Alyssum neglectum;VU;1;0;-1;●;;;;;;;;;;●;;;;;E;NE-Alp*!;S
Alyssum repens;NT;2;0;-1;●;;;;;;;;;●;●;;;;;;Eur;S
Alyssum turkestanicum;EN;2;-2;-1;;;;;●*;;;;;;;–;●*;†*;;;Hol;H
Alyssum wulfenianum subsp. ovirense;VU;1;0;-1;●;;;;;;;;;●;;;;;;;Eur;S
