taxon;rl;a;b;r;rl.al;rl.bm;rl.nv;rl.sv;rl.pa;o.v;o.nt;o.ot;o.s;o.k;o.st;o.o;o.n;o.w;o.b;responsibility;distribution;lifeform
Cardamine kitaibelii;VU;1;0;-1;●;;;;;●;●;;;;;;;;;;Eur;S
Cardamine majovskii;G;1;?;?;;;;●;;;;;;;?;;;;●;;Eur;S
Cardamine matthioli;VU;2;-1;-1;●;;;●;●;–;–;–;;●;●;?;●;●;●;;Eur;S
Cardamine occulta;n;;;;;;;;;le;u;u;u;u;u;u;u;u;;;;H
Cardamine parviflora;EN;1;-1;-1;;;n;;●;;;;;;;u;●;u;†?;;Hol;H
Cardamine pentaphyllos;LC;3;0;0;●;;;;;●;●;●;;●;;;;;;;Eur;S
Cardamine pratensis s.str.;NT;4;-2;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Hol;S
Cardamine resedifolia;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Cardamine trifolia;LC;4;0;0;●;●;●;●;;●;●;;●;●;●;●;●;●;●;;Eur;S
Cardamine waldsteinii;VU;2;-1;0;●;;;●;;;;;;†*;●;;;;;;Eur;S
Carduus acanthoides;LC;4;-1;0;●;●;VU;VU;●;u;●;●;●;●;●;●;●;●;●;;Eur;H
Carduus carduelis;LC;2;0;0;●;;;;;;;;–;●;;;;;;;Eur;S
Carduus crispus;LC;4;0;0;●;●;●;●;●;●;●;†;●;?;●;●;●;●;●;;Euras (Hol);H
Carduus defloratus subsp. glaucus;LC;2;0;0;●;;;;VU;;;–;;●;●;;●;●;;;Eur;S
Carduus defloratus subsp. summanus;LC;3;0;0;●;;;;;●;●;●;●;●;●;;●;;;;Eur;S
Carduus defloratus subsp. tridentinus;LC;2;0;0;●;;;;;?;●;●;●;●;;;;;;;Alp;S
Carduus defloratus subsp. viridis;LC;4;0;0;●;;EN;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carduus nutans;NT;3;-1;-1;VU;●;EN;VU;●;●;●;●;u;●;●;●;●;●;●;;Euras (Kosm);H
Carduus personata;LC;4;0;0;●;●;●;NT;;●;●;●;●;●;●;●;●;;;;Eur;H
Carex acuta;VU;3;-2;-1;●;●;●;●;●;●;●;?;●;●;●;●;●;●;●;;Euras;S
Carex acutiformis;NT;4;-2;-1;●;VU;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex alba;LC;4;0;0;●;VU;●;EN;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex appropinquata;EN;2;-2;-1;●;●;●;CR;CR;●;●;;●;●;●;●;●;†;●;;Euras;S
Carex aterrima;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Euras;S
Carex atrata s.str.;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Carex atrofusca;EN;1;-1;-1;●;;;;;;●;●;●;●;?;;;;;V;Hol;S
Carex baldensis;VU;1;0;-1;●;;;;;;●;;;;;;;;;D;E-Alp;S
Carex bebbii;n;;;;;;;;;;le?;;;;;;?;–;;;;S
Carex bicolor;VU;2;-1;0;●;;;;;;●;●;●;●;;;;;;;Hol;S
Carex bigelowii subsp. dacica;VU;1;0;-1;●;;;;;;;;†;●;●;;;;;D;Eur;S
Carex bohemica;EN;2;-2;-2;●;●;CR;●;RE;;;;;●;●;●;●;u;†;;Euras;H
Carex brachystachys;LC;4;0;0;●;;CR;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex brizoides;LC;5;-1;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex brunnescens;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Hol;S
Carex buekii;NT;3;-1;-1;EN;●;;●;EN;;;;;●;●;●;●;le?;●;;Eur;S
Carex buxbaumii s.str.;EN;2;-2;-2;●;;CR;;CR;●;●;;●;●;;●;●;;●;;Hol;S
Carex canescens s.str.;LC;4;-1;-1;●;VU;VU;CR;;●;●;●;●;●;●;●;●;;●;;Kosm;S
Carex capillaris;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Carex capitata;RE;†;†;†;RE;;;;;;†;;;;;;;;;;Kosm;S
Carex caryophyllea;LC;5;-2;-1;●;NT;NT;NT;NT;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex cespitosa;VU;2;-1;-1;●;●;EN;●;CR;;;;●;●;●;●;●;;●;;Euras;S
Carex chordorrhiza;CR;1;-3;-2;●;RE?;●;;;●;●;;●;●;●;●;●;;;;Hol;S
Carex curvata;VU;2;-1;-1;●;●;G;●;●;;;;;;u;●;●;●;●;;Eur;S
Carex curvula subsp. curvula;LC;3;0;0;●;;;;;●;●;●;●;●;●;?;;;;;Eur;S
Carex curvula subsp. rosae;LC;2;0;0;●;;;;;;●;●;●;●;;;;;;;Eur;S
Carex davalliana;NT;4;-2;-1;●;EN;EN;CR;CR;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex demissa;VU;3;-2;-2;●;●;G;G;?;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Carex depressa subsp. transsilvanica;VU;1;0;-1;;;;●;;;;;;;●;;;;●;;Eur;S
Carex diandra;EN;3;-3;-2;●;CR;CR;RE;;●;●;●;●;●;●;●;●;;†;;Kosm;S
Carex digitata;LC;5;-1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex dioica;VU;3;-2;-2;●;CR;CR;;;●;●;●;●;●;●;●;●;;;;Euras;S
Carex distans;VU;3;-2;-1;●;RE;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex disticha;VU;3;-2;-2;EN;CR;●;RE?;●;●;●;;●;;●;●;●;●;●;;Euras;S
Carex divisa;EN;2;-2;-2;;;;;●;;;;;;?;–;●;●;●;;Euras (Kosm);S
Carex divulsa;LC;2;0;0;●;●;●*;●;●;?;;;e?;–;●;e?;●;●;●;;Euras (Kosm);S
Carex echinata;LC;5;-1;-1;●;VU;VU;CR;;●;●;●;●;●;●;●;●;?;●;;Hol;S
Carex elata;NT;4;-2;-1;●;VU;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex elongata;VU;3;-2;-1;●;●;●;●;;●;●;;●;●;●;●;●;;●;;Euras;S
Carex ericetorum;NT;3;-1;0;●;RE;RE?;;CR;†;●;●;●;●;●;●;●;;●;;Euras;S
Carex ferruginea;LC;4;0;0;●;f;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex firma;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex flacca;LC;5;-1;-1;●;VU;NT;NT;NT;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Carex flava s.str.;LC;5;-1;-1;●;VU;VU;VU;EN;●;●;●;●;●;●;●;●;●;●;;Hol;S
Carex foetida;VU;1;0;-1;●;;;;;;;;;;●;;;;;;Eur;S
Carex frigida;LC;4;0;0;●;;;;;●;●;●;●;●;●;–;;;;;Eur;S
Carex fritschii;CR;1;-2;-2;●;;;●;●;;;;;●;;;;;●;;Eur;S
Carex fuliginosa;LC;3;0;0;●;;;;;;●;●;●;●;●;●;;;;;Eur;S
Carex halleriana;LC;2;0;0;●;;;;●;;;;;;;†;●;●;;;Eur;S
Carex hartmaniorum;EN;2;-2;-2;●;●;CR;RE?;;†;●;●;●;●;●;●;●;;†?;;Euras;S
Carex heleonastes;CR;1;-3;-3;●;;RE;;;†?;†?;;†;;†?;●;●;;;;Hol;S
Carex hirta;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);S
Carex hordeistichos;EN;2;-2;-1;●;;;;●;;;;;†;u;–;●;●;●;;Eur;S
Carex hostiana;VU;3;-2;-2;●;RE?;EN;CR;CR;●;●;●;●;●;●;●;●;●;●;;Hol;S
Carex humilis;LC;4;-1;-1;●;VU;EN;EN;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex lachenalii;LC;3;0;0;●;;;;;●;●;●;●;●;●;;;;;;Hol;S
Carex lasiocarpa;EN;3;-3;-2;●;●;●;CR;CR;●;●;?;●;●;●;●;●;;●;;Hol;S
Carex lepidocarpa;NT;4;-2;-2;●;EN;●;EN;CR;●;●;●;●;●;●;●;●;●;●;;Hol;S
Carex leporina;LC;5;0;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Carex limosa;VU;3;-2;-1;●;CR;CR;;;●;●;●;●;●;●;●;●;;;;Hol;S
Carex liparocarpos;VU;2;-1;-1;RE?;;RE;;●;;†;†;;●;–;†;●;●;●;;Eur;S
Carex maritima;CR;1;-3;-3;●;;;;;–;†;–;;;●;–;;;;D;Hol;S
Carex melanostachya;EN;2;-2;-1;;;;n;●;;;;;;u;–;●;●;●;;Euras;S
Carex michelii;NT;3;-1;-1;●;VU;VU;EN;●;;;;;●;●;●;●;●;●;;Eur;S
Carex microglochin;EN;1;-1;-1;●;;RE;;;;●;;†;;●;–;;;;;Kosm;S
Carex montana;LC;4;-1;-1;NT;VU;VU;NT;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex mucronata;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex muricata s.strictiss.;LC;4;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex myosuroides;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Hol;S
Carex nigra;LC;5;-2;-1;●;VU;VU;VU;CR;●;●;●;●;●;●;●;●;●;●;;Hol;S
Carex norvegica;NT;2;0;-1;●;;;;;;●;●;;?;●;;;;;;Hol;S
Carex ornithopoda subsp. elongata;LC;2;0;0;●;;;;;●;●;●;●;●;●;;;;;;Eur;S
Carex ornithopoda subsp. ornithopoda;LC;4;-1;0;●;EN;VU;EN;EN;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex ornithopodioides;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex otrubae;NT;3;-1;-1;EN;EN;VU;VU;●;†;–;;●;●;●;●;●;●;●;;Euras;S
Carex pallescens;LC;5;0;0;●;●;●;●;NT;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex panicea;LC;5;-2;-2;●;VU;VU;VU;VU;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex paniculata;LC;4;-1;-1;●;VU;VU;VU;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex parviflora;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex pauciflora;NT;4;-2;-2;●;EN;CR;;;●;●;●;●;●;●;●;●;;;;Hol;S
Carex paupercula;LC;3;0;-1;●;;;;;●;●;●;●;●;●;●;;;;;Kosm;S
Carex pendula s.lat.;LC;4;0;-1;●;VU;●;●;VU;●;●;–;●;●;●;●;●;●;●;;Euras (Kosm);S
Carex pilosa;LC;4;0;-1;●;●;●;●;●;●;●;;●;●;●;●;●;●;●;;Euras;S
Carex pilulifera;LC;5;-1;-1;●;●;●;NT;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex polyphylla;LC;3;0;-1;●;●;●;VU;●;●;●;†;●;;●;●;●;●;●;;Euras;S
Carex praecox s.str.;NT;3;-1;-1;●;VU;EN;VU;●;;u;u;u;u;u;●;●;●;●;;Euras;S
Carex pseudocyperus;NT;3;-1;-1;●;VU;●;●;●;●;●;u;●;●;●;●;●;●;●;;Hol;S
Carex pulicaris;VU;3;-2;-2;●;EN;CR;RE;;●;●;●;●;●;●;●;●;●;;;Eur;S
Carex punctata;EN;1;-1;-1;●;;;CR;n;†?;;;–;●;●;–;;u;;;Eur;S
Carex randalpina;NT;2;0;-1;●;;●;;;;●;;●;;;●;●;;;;Eur;S
Carex remota;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex repens;VU;2;-1;-1;●;;;●;;;;;;●;●;;;;●;;Eur;S
Carex rhizina;VU;1;0;-1;;●;;;;;;;;;;–;●;;;;Euras;S
Carex riparia;VU;3;-2;-1;EN;EN;●;●;●;†;●;;●;●;●;●;●;●;●;;Euras;S
Carex rostrata;LC;5;-2;-1;●;VU;VU;CR;RE?;●;●;●;●;●;●;●;●;†;●;;Hol;S
Carex rupestris;LC;3;0;0;●;;;;;;●;●;●;●;●;?;●;;;;Hol;S
Carex scoparia;n;;;;;;;;;;;;;;;le;;;;;;S
Carex secalina;EN;2;-2;-1;n;;n;n;●;;;;u;;u;u;●;;●;;Euras;S
Carex sempervirens;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Carex simpliciuscula;LC;2;0;0;●;;;;;;●;●;●;●;●;●;;;;;Hol;S
Carex spicata;LC;4;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex stenophylla;VU;2;-1;-1;;;n;RE;●;;;;;;†;u;●;●;●;;Euras;S
Carex strigosa;LC;2;0;0;●;G;●;CR;●;†;le;;●;;●;●;●;●;;;Eur;S
Carex supina;EN;2;-1;-2;CR;●;;RE;●;;●;;;;†;–;●;●;●;;Euras;S
Carex sylvatica;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex tomentosa;NT;4;-2;-1;●;EN;EN;VU;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Carex umbrosa;NT;3;-1;-1;●;VU;VU;VU;CR;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carex vaginata;EN;1;-1;-1;●;;;;;;●;;;●;●;;;;;;Hol;S
Carex vesicaria;NT;4;-2;-1;VU;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Hol;S
Carex viridula;VU;3;-2;-1;●;CR;EN;;EN;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Carex vulpina s.str.;VU;3;-2;-1;EN;EN;●;●;●;?;●;;●;●;●;●;●;●;●;;Euras;S
Carex vulpinoidea;n;;;;;;;;;u;le;;le;u;u;le;u;;u;;;S
Carlina acaulis;LC;5;-2;-1;●;VU;EN;VU;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Carlina biebersteinii s.str.;LC;3;0;0;●;;n;;;●;●;?;●;●;●;●;●;;;;Eur;H
Carlina intermedia;VU;2;-1;-1;●;EN;;CR;●;;;;;;?;?;●;●;●;;Eur;H
Carlina vulgaris s.str.;LC;4;-1;-1;●;NT;EN;●;NT;●;●;●;●;●;●;●;●;●;●;;Eur (Euras);H
Carpesium cernuum;EN;1;-1;-1;●*;●*;●*;●*;●*;;;;–;●*;●*;●*;●*;†*;●*;;Euras;H
Carpinus betulus;LC;5;-1;0;●;●;●;●;●;●;●;u;●;●;●;●;●;●;●;;Eur (Hol);B
Carum carvi;LC;5;-1;-1;●;●;VU;VU;EN;●;●;●;●;●;●;●;●;●;●;;Euras;H
Castanea sativa;VU;3;-1;-2;●;n;n;●;●;u;u;u;u;●;●;e;●;●;●;;Eur (Kosm);B
Catabrosa aquatica;EN;2;-2;-2;●;CR;●;RE;●;●;●;●;●;●;●;●;●;†;†?;;Kosm;S
Caucalis platycarpos;EN;2;-3;-1;CR;●;RE;CR;●;u;u;;u;u;●;†,u;●;●;●;;Eur;H
Celastrus orbiculatus;n;;;;;;;;;;;u;;le;le?;;u;;;;;B
Celtis occidentalis;n;;;;;;;;;;;;;;;;le?;u;u;;;B
Centaurea australis;VU;2;-1;0;●;;;●;●;;;;;u;;;●;●;●;;Eur;H
Centaurea bracteata;G;?;?;?;●;;;;;;;●;;●;;;;;;;Eur;S
Centaurea carniolica;LC;3;0;-1;●;;;NT;n;;;;;●;●;;;u;●;;Eur;S
Centaurea cyanus;NT;4;-2;-1;VU;●;VU;●;●;†,u;●;†,u;●;●;●;●;●;●;●;;Euras (Kosm);H
Centaurea jacea s.str.;LC;5;-2;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);S
Centaurea macroptilon;NT;3;-1;-1;●;;;●;n;;;?;●;●;●;–;u;u;●;;Eur;S
Centaurea montana;LC;4;0;0;●;EN;VU;n;n;●;●;e;●;●;●;●;●;u;;;Eur;S
Centaurea nervosa;LC;2;0;0;●;;;;;;;?;;●;;;;;;;Eur;S
Centaurea nigrescens s.str.;VU;2;-1;-1;●;;;;●;;;;;;;u;●;●;†?;;Eur (Kosm);S
Centaurea pannonica;LC;4;-1;-1;VU;VU;EN;●;●;●;e;u;u;–;●;●;●;●;●;;Eur;S
Centaurea pseudophrygia;LC;4;-1;-1;●;VU;RE;EN;EN;●;●;●;●;●;●;●;●;u;?;;Eur;S
Centaurea scabiosa subsp. alpestris;LC;3;0;0;●;;;;;●;●;?;●;●;●;●;●;;;;Alp;S
Centaurea scabiosa subsp. badensis;VU;1;0;-1;●;;;;●;;;;;;;?;●;●;;;Eur;S
Centaurea scabiosa subsp. fritschii;VU;1;0;-1;●;;;;;;;;;●;;;;;;;Eur;S
Centaurea scabiosa subsp. sadleriana;EN;2;-1;-2;;;;;●;;;;;;;;●;●;●;;Eur;S
Centaurea scabiosa subsp. scabiosa;LC;5;-2;-1;●;VU;VU;VU;NT;●;●;●;●;●;●;●;●;●;●;;Euras;S
Centaurea solstitialis;n;;;;;;;;;u;u;;u;;u;u;le?;u;u;;;H
Centaurea stenolepis;VU;2;-1;-1;●;CR;;●;EN;;;;;;●;;●;†;●;;Eur;S
Centaurea stoebe s.str.;LC;4;-1;-1;VU;●;VU;VU;●;;●;●;e;●;●;●;●;●;●;;Euras (Hol);H
Centaurea transalpina;LC;1;0;0;●;;;;;u;●;●;;●;;;;;;;Eur;S
Centaurea triumfettii;NT;3;-1;-1;●;●;EN;;●;;;;;●;●;●;●;●;●;;Euras;S
Centaurea weldeniana;n;;;;;;;;;;;;;;;;le;;;;;S
Centaurium erythraea;LC;4;-1;0;●;VU;VU;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);H
Centaurium littorale subsp. compressum;EN;2;-1;-2;●;;;;●;;;;;;;;●;●;●;;Euras;H
Centaurium pulchellum;LC;4;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;H
Centranthus ruber;n;;;;;;;;;e?;u;u;u;u;le;u;e?;e?;u;;;S
Cephalanthera damasonium;LC;4;-1;-1;●;VU;VU;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Cephalanthera longifolia;LC;4;-1;-1;●;EN;VU;VU;VU;●;●;●;●;●;●;●;●;●;●;;Euras;S
Cephalanthera rubra;LC;4;-1;-1;●;CR;EN;EN;EN;●;●;●;●;●;●;●;●;●;●;;Eur;S
Cephalaria alpina;EN;1;-1;-1;●;;;;;●;;;;;;;;;;;Alp;S
Cephalaria gigantea;n;;;;;;;;;;;;;;u;u;le;;;;;H
Cephalaria transsylvanica;NT;2;0;-1;;;;;●;;;;;;;;e?;e?;●;;Eur;H
Cerastium alpinum s.strictiore;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Cerastium arvense subsp. arvense;NT;4;-2;-1;●;●;VU;VU;VU;u;●;●;●;●;●;●;●;●;●;;Hol;S
Cerastium arvense subsp. strictum;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;?;;;;Hol;S
Cerastium arvense subsp. suffruticosum;EN;1;-1;-1;●;;;;;;●;●;●;;;;;;;;Eur;S
Cerastium brachypetalum s.str.;LC;4;0;0;●;●;●;●;●;–;u;●;e;●;●;●;●;●;●;;Eur (Hol);H
Cerastium carinthiacum;LC;3;0;0;●;;;;;;–;●;●;●;●;●;●;;;;E-Alp;S
Cerastium eriophorum;LC;2;0;0;●;;;;;–;;;●;●;●;;;;;;Eur;S
Cerastium fontanum s.str.;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Cerastium glomeratum;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);H
Cerastium glutinosum;LC;4;-1;-1;VU;VU;VU;VU;●;u;u;●;●;●;●;●;●;●;●;;Eur;H
Cerastium holosteoides;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Cerastium julicum;VU;1;0;-1;●;;;;;;;;;●;;;;;;;SE-Alp;S
Cerastium latifolium;LC;2;0;0;●;;;;;●;●;;;;;–;;;;;Eur;S
Cerastium lucorum;LC;3;1;0;●;●;●;;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Cerastium pedunculatum;LC;3;0;0;●;;;;;●;●;●;●;●;;;;;;;Alp;S
Cerastium pumilum s.str.;NT;3;-1;-1;n;●;n;n;●;–;u;?;e;?;–;le?;●;●;●;;Eur (Kosm);H
Cerastium semidecandrum;NT;3;-1;-1;●;●;●;●;●;u;●;●;le;●;●;●;●;●;●;;Eur (Kosm);H
Cerastium subtetrandrum;CR;1;-2;-2;;n;n;;●;;;;u;;u;e;●;u;●;;Eur;H
Cerastium sylvaticum;VU;2;-1;-1;●;;;●;;;;;;;●;†;●;●;●;;Eur;S
Cerastium tenoreanum;NT;3;-1;0;●;n;n;●;●;u;;u;u;●;●;e?;●;●;●;;Eur;H
Cerastium tomentosum s.str.;n;;;;;;;;;u;u;u;le;u;u;le;le;le;u;;;S
Cerastium uniflorum;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Ceratocapnos claviculata;n;;;;;;;;;;u;;;;;le?;;;;;;S
Ceratocephala falcata;RE;†;†;†;;;;;RE;;;;;;;u;†;†;;;Euras;H
Ceratocephala orthoceras;RE?;†?;†?;†?;;;;;RE?;;;;;;;;†;†;†?;D;Euras (Hol);H
Ceratophyllum demersum;LC;3;1;0;VU;VU;VU;VU;●;●;●;;●;●;●;●;●;●;●;;Kosm;S
Ceratophyllum submersum;CR;1;-2;-1;●;●;●;●;●;?;;;;●;●;●;●;;●;;Kosm;S
Cercis siliquastrum;n;;;;;;;;;;;;;;;;le?;u;u;;;B
Cerinthe alpina;LC;2;0;0;●;;;;;●;●;;●;●*;;;;;;;Eur;S
Cerinthe minor;LC;4;-1;0;NT;●;VU;VU;●;u;●;;●;●;●;●;●;●;●;;Euras;H
Cervaria rivini;LC;4;-1;-1;●;VU;VU;●;●;●;●;;●;●;●;●;●;●;●;;Eur;S
Chaerophyllum aromaticum;LC;3;0;-1;●;●;●;n;●;;;;u;;u;●;●;●;●;;Eur;S
Chaerophyllum aureum;LC;5;-1;-1;●;NT;●;VU;CR;●;●;●;●;●;●;●;●;u;●;;Eur;S
Chaerophyllum bulbosum;LC;3;0;-1;VU;VU;●;●;●;;●;–;?;●;●;●;●;●;●;;Euras;H
Chaerophyllum hirsutum s.str.;LC;5;0;0;●;●;●;●;;●;●;●;●;●;●;●;●;;●;;Eur;S
Chaerophyllum temulum;LC;3;0;1;●;●;●;VU;●;u;?;le;u;le;●;●;●;●;●;;Eur;H
Chaerophyllum villarsii;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Chaiturus marrubiastrum;EN;2;-2;-1;;RE;RE;RE;●;;;;;–;†;†;●;●;●;;Euras (Hol);S
Chamorchis alpina;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Chelidonium majus;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Chenopodiastrum hybridum;LC;4;1;0;●;●;●;●;●;u;●;●;u;●;●;●;●;●;●;;Hol;H
Chenopodiastrum murale;VU;2;-2;0;EN;CR;RE;CR;●;u;u;u;u;u;●;†*;●;●;●;;Kosm;H
Chenopodium album subsp. album;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;H
Chenopodium album subsp. borbasii;DD;?;?;?;●*;;n;;●*;u;u;u;u;u;●*;u;●*;●*;●*;;Eur?;H
Chenopodium album subsp. pedunculare;LC;3;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;H
Chenopodium betaceum;n;;;;;;;;;le;e;e;e;e;e;e;e;e;e;;;H
Chenopodium ficifolium;LC;4;0;0;●;●;●;●;●;●;●*;u;e;e;●;●*;●;●;●;;Euras (Kosm);H
Chenopodium opulifolium;VU;2;-1;0;n;EN;CR*;EN;●;u;u;;u;u;●;●*;●;●;●;;Kosm;H
Chenopodium probstii;n;;;;;;;;;;u;u;u;u;u;u;e;e;e;;;H
Chenopodium striatiforme;n;;;;;;;;;;u;;;;;?;le?;e;u;;;H
Chenopodium suecicum;DD;?;?;?;●;●;●;●;n;●;●;–;●;●;●;●;●;●;●;;Hol;H
Chenopodium vulvaria;VU;2;-2;0;EN;CR;CR;EN;●;u;†;†;†*;†;●;●*;●;●;●;;Euras;H
Cherleria biflora;NT;2;0;-1;●;;;;;;●;●;●;●;;;;;;;Hol;S
Cherleria langii;LC;2;0;0;●;;;;;;;;;;●;●;●;;;;Eur;S
Cherleria laricifolia s.str.;NT;2;0;-1;●;;;;;●;●;–;;;;–;;;;;Eur;S
Cherleria sedoides;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Chimaphila umbellata;CR;1;-3;-3;●;●;RE;●;RE;;;;;●;●;†;●;;●;;Hol;S
Chlorocrepis staticifolia;LC;4;0;0;●;CR;EN;;EN;●;●;●;●;●;●;●;●;;●;;Eur;S
Chondrilla chondrilloides;EN;2;-2;-2;●;;;;;†;●;●;;●;;?;;;;;Eur;S
Chondrilla juncea;LC;3;0;0;●;VU;CR;EN;●;;;;;u;●;●;●;●;●;;Euras (Kosm);S
Chorispora tenella;n;;;;;;;;;;;;;u;;;le;le;u;;;H
Chrysopogon gryllus;EN;2;-2;-1;;;;;●;;;;;;;;●;;●;;Euras;S
Chrysosplenium alternifolium;LC;5;-1;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Hol;S
Cicerbita alpina;LC;4;0;0;●;VU;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Cichorium intybus;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Cicuta virosa;EN;2;-3;-1;●;●;CR;RE?;;†;;†;●;●;●;●;●;–;†?;;Euras;S
Circaea alpina;LC;4;0;0;●;VU;VU;RE;;●;●;●;●;●;●;●;●;;;;Hol;S
Circaea canadensis subsp. quadrisulcata;LC;2;0;0;●;;;;;;;●;;●;;;;;;;Euras;S
Circaea lutetiana s.str.;LC;5;0;0;●;●;●;●;●;●;●;–;●;●;●;●;●;●;●;;Hol;S
Circaea x intermedia;LC;3;0;0;●;●;●;●;;●;●;●;●;●;●;●;●;;†;;Eur (Hol);S
Cirsium acaulon;NT;3;-1;-1;●;;;;;●;●;●;–;●;;;;;;;Eur;S
Cirsium arvense;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Cirsium brachycephalum;VU;2;-1;-1;;;;;●;;;;–;;;;●;†;●;;Eur;H
Cirsium canum;VU;3;-2;-1;●;●;RE?;●;●;;;;;u;●;†;●;●;●;;Euras;S
Cirsium carniolicum;LC;2;0;0;●;;;;;;;;●;●;●;●;●;;;S;E-Alp;S
Cirsium eriophorum;LC;4;-1;0;●;n;CR;n;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
Cirsium erisithales;LC;4;0;0;●;EN;●;VU;RE?;●;●;●;●;●;●;●;●;●;●;;Eur;H
Cirsium greimleri;LC;3;0;0;●;;;n;;;;;;●;●;;;;;;Eur;S
Cirsium heterophyllum;LC;4;0;0;●;VU;n;;;●;●;●;●;●;●;●;●;;;;Euras;S
Cirsium oleraceum;LC;5;-1;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Euras;S
