"taxon";"rl";"a";"b";"r";"rl.al";"rl.bm";"rl.nv";"rl.sv";"rl.pa";"o.v";"o.nt";"o.ot";"o.s";"o.k";"o.st";"o.o";"o.n";"o.w";"o.b";"responsibility";"distribution";"lifeform"
"Draba siliquosa";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Draba stellata";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"";"";"#";"#";"#";"";"";"E";"NE-Alp!";"S"
"Draba thomasii";"VU";"1";"0";"-1";"VU";"";"";"";"";"#";"#";"";"";"–";"+?";"";"";"";"";"";"Eur";"S"
"Draba tomentosa";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Eur";"S"
"Draba verna s.str.";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"H"
"Dracocephalum austriacum";"CR";"1";"-2";"-1";"CR";"";"";"";"CR";"";"";"";"";"";"";"";"#";"";"";"D";"Eur";"S"
"Dracocephalum ruyschiana";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"#";"#";"";"#";"";"";"";"";"";"V";"Euras";"S"
"Drosera anglica";"EN";"2";"-2";"-2";"EN";"CR";"EN";"";"";"#";"#";"#";"#";"#";"#";"#";"+";"";"";"";"Hol";"S"
"Drosera intermedia";"EN";"2";"-1";"-2";"EN";"";"EN";"";"";"#";"#";"–";"#";"#";"#";"#";"";"";"";"";"Hol";"S"
"Drosera rotundifolia";"VU";"3";"-3";"-1";"VU";"EN";"VU";"CR";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"+";"";"Hol";"S"
"Drosera x obovata";"EN";"2";"-1";"-2";"EN";"CR";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Dryas octopetala";"LC";"4";"0";"0";"LC";"";"f";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Drymocallis rupestris";"VU";"3";"-2";"-1";"VU";"VU";"RE?";"EN";"VU";"–";"#";"#";"#";"#";"#";"+";"#";"#";"#";"";"Eur";"S"
"Drymochloa drymeja";"LC";"3";"0";"-1";"LC";"VU";"";"VU";"VU";"";"";"";"";"";"#";"–";"#";"#";"#";"";"Eur";"S"
"Drymochloa sylvatica";"LC";"4";"0";"-1";"LC";"LC";"NT";"n";"n";"#";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Euras";"S"
"Dryopteris affinis s.str.";"G";"?";"?";"?";"G";"";"G";"";"";"#";"#";"#";"#";"";"#";"";"";"";"";"";"Eur";"S"
"Dryopteris borreri";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"CR*";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Dryopteris cambrensis subsp. insubrica";"LC";"3";"0";"0";"LC";"VU";"VU";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"#";"";"Eur";"S"
"Dryopteris carthusiana s.str.";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Dryopteris cristata";"EN";"2";"-2";"-2";"EN";"";"CR";"CR";"";"+";"#";"+";"#";"#";"#";"#";"";"";"+?";"";"Hol";"S"
"Dryopteris dilatata";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Dryopteris expansa";"LC";"4";"0";"0";"LC";"LC";"VU";"VU";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Hol";"S"
"Dryopteris filix-mas s.str.";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Dryopteris lacunosa";"DD";"?";"?";"?";"DD";"";"";"DD";"";"#";"";"#";"#";"";"#";"";"";"";"";"";"Eur";"S"
"Dryopteris pseudodisjuncta";"LC";"2";"0";"0";"LC";"";"LC";"";"";"#";"";"";"#";"";"";"#";"";"";"";"";"Eur";"S"
"Dryopteris remota";"LC";"3";"0";"0";"LC";"G";"LC";"?";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"?";"";"Eur";"S"
"Dryopteris villarii";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Dysphania botrys";"n";"";"";"";"";"";"";"";"";"";"u";"u";"";"u";"u";"e";"e";"e";"e";"";"";"H"
"Dysphania pumilio";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"e?";"u";"e?";"e";"e?";"";"";"H"
"Echinochloa crus-galli";"LC";"5";"1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"H"
"Echinochloa muricata";"n";"";"";"";"";"";"";"";"";"";"";"";"u";"?";"u";"u";"";"";"e";"";"";"H"
"Echinocystis lobata";"n";"";"";"";"";"";"";"";"";"";"u";"";"";"";"e";"u";"e";"";"e";"";"";"H"
"Echinops ritro subsp. ruthenicus";"EN";"1";"-1";"-1";"";"";"";"";"EN";"";"";"";"";"";"u";"";"#";"";"";"V";"Euras";"S"
"Echinops sphaerocephalus";"LC";"3";"0";"0";"LC";"LC";"n";"n";"LC";"u";"e";"e";"u";"e";"e";"e?";"#";"#";"#";"";"Euras (Hol)";"H"
"Echium italicum";"CR";"1";"?";"-1";"";"";"";"";"CR";"";"";"";"";"u";"";"–";"+*";"+*";"#*";"";"Euras";"H"
"Echium maculatum";"CR";"1";"-3";"-2";"";"";"";"";"CR";"";"";"";"";"";"";"–";"+*";"";"#*";"";"Eur";"H"
"Echium vulgare";"LC";"5";"-1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"H"
"Elaeagnus angustifolia";"n";"";"";"";"";"";"";"";"";"";"u";"";"";"u";"u";"u";"le";"u";"e";"";"";"B"
"Elatine alsinastrum";"CR";"1";"-3";"-2";"";"";"";"";"CR";"";"";"";"–";"";"";"";"+";"";"#";"";"Euras";"H"
"Elatine hexandra";"EN";"2";"-2";"-2";"RE";"EN";"RE";"CR";"";"+";"";"";"";"";"";"+";"#";"";"";"";"Eur";"H"
"Elatine hydropiper";"EN";"2";"-2";"-2";"";"EN";"";"";"";"";"?";"";"";"–";"";"?";"#";"";"";"";"Euras";"H"
"Elatine triandra";"EN";"2";"-2";"-2";"RE";"EN";"CR";"EN";"?";"";"";"";"+";"";"#";"#";"#";"";"";"";"Euras (Kosm)";"H"
"Eleocharis acicularis";"VU";"3";"-2";"-1";"EN";"EN";"VU";"EN";"VU";"#";"#";"+";"#";"#";"#";"#";"#";"#";"#";"";"Hol (Kosm)";"S"
"Eleocharis carniolica";"CR";"1";"-2";"-1";"RE";"";"";"CR";"";"";"";"";"";"+";"#";"";"";"";"";"";"Eur";"S"
"Eleocharis mamillata subsp. austriaca";"NT";"3";"-1";"-1";"NT";"EN";"NT";"EN";"";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"Eur";"S"
"Eleocharis mamillata subsp. mamillata";"VU";"3";"-2";"-1";"CR";"VU";"VU";"CR";"";"–";"";"";"";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Eleocharis ovata";"EN";"2";"-2";"-1";"CR";"EN";"CR";"EN";"n";"";"#";"";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Eleocharis palustris subsp. palustris";"NT";"3";"-1";"-1";"NT";"NT";"NT";"NT";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Eleocharis palustris subsp. waltersii";"EN";"2";"?";"-1";"EN";"EN";"EN";"EN";"EN";"";"";"";"";"#";"";"#";"#";"";"#";"";"Eur";"S"
"Eleocharis quinqueflora";"LC";"4";"-1";"-1";"LC";"RE";"CR";"";"RE?";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Eleocharis uniglumis subsp. sterneri";"CR";"1";"?";"-2";"";"";"";"";"CR";"";"";"";"";"";"";"";"";"";"#";"D";"Eur";"S"
"Eleocharis uniglumis subsp. uniglumis";"VU";"3";"-2";"-1";"VU";"EN";"EN";"RE?";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Elodea canadensis";"n";"";"";"";"";"";"";"";"";"e";"le";"le";"e";"e";"e";"e";"e";"e";"le";"";"";"S"
"Elodea nuttallii";"n";"";"";"";"";"";"";"";"";"e";"e";"";"e";"e";"";"e";"e";"e";"";"";"";"S"
"Elymus acutus";"LC";"2";"1";"0";"LC";"";"LC";"";"LC";"";"#";"";"";"#";"";"#";"#";"";"";"";"Eur";"S"
"Elymus aenaeanus";"LC";"2";"1";"0";"LC";"LC";"LC";"";"";"";"#";"";"";"";"";"#";"";"";"";"";"Eur";"S"
"Elymus caninus";"LC";"5";"0";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Hol)";"S"
"Elymus hispidus";"NT";"3";"-1";"-1";"VU";"NT";"EN";"EN";"NT";"–";"#";"";"u";"–";"#";"#";"#";"#";"#";"";"Euras";"S"
"Elymus laxulus";"LC";"1";"1";"0";"";"";"LC";"";"";"";"";"";"";"";"";"#";"";"";"";"";"Eur";"S"
"Elymus repens";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Empetrum hermaphroditum";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Hol";"B"
"Empetrum nigrum s.str.";"LC";"2";"0";"0";"LC";"CR";"";"";"";"";"";"";"#";"";"#";"#";"#";"";"";"";"Hol";"B"
"Epilobium alpestre";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Epilobium alsinifolium";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Epilobium anagallidifolium";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Epilobium angustifolium";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Epilobium ciliatum";"n";"";"";"";"";"";"";"";"";"e";"e";"e";"e";"e";"e";"e";"e";"e";"e";"";"";"S"
"Epilobium collinum";"LC";"5";"0";"0";"LC";"LC";"VU";"VU";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epilobium dodonaei";"LC";"3";"0";"-1";"LC";"LC";"VU";"EN";"LC";"e";"e";"#";"e";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epilobium fleischeri";"VU";"2";"-1";"-1";"VU";"";"";"";"";"#";"#";"#";"#";"";"";"";"";"";"";"";"Alp";"S"
"Epilobium hirsutum";"LC";"5";"-1";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Epilobium lamyi";"LC";"3";"0";"0";"G";"LC";"LC";"LC";"LC";"#";"#";"";"#";"#*";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epilobium lanceolatum";"CR";"1";"-3";"-1";"CR";"RE?";"";"";"RE?";"";"";"";"?";"";"";"–";"#";"";"#";"";"Eur";"S"
"Epilobium montanum";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Epilobium nutans";"LC";"3";"0";"0";"LC";"RE";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Epilobium obscurum";"VU";"3";"-1";"-2";"VU";"VU";"VU";"CR";"";"#";"#";"";"#";"#";"#";"#";"#";"";"+?";"";"Eur";"S"
"Epilobium palustre";"NT";"4";"-2";"-1";"NT";"VU";"VU";"VU";"RE?";"#";"#";"#";"#";"#";"#";"#";"#";"+";"#";"";"Hol";"S"
"Epilobium parviflorum";"LC";"5";"-1";"-1";"LC";"VU";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Epilobium roseum";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Epilobium tetragonum s.str.";"LC";"4";"0";"0";"VU";"LC";"LC";"LC";"LC";"#";"#";"";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Epimedium alpinum";"EN";"1";"-1";"-1";"EN";"";"n";"";"";"u";"";"";"";"#";"";"le";"u";"";"";"";"Eur";"S"
"Epipactis albensis";"CR";"1";"-1";"-2";"CR";"";"";"";"RE?";"";"";"";"";"";"";"";"+?";"";"#";"";"Eur";"S"
"Epipactis atrorubens";"LC";"4";"-1";"-1";"LC";"EN";"EN";"EN";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Epipactis bugacensis";"VU";"1";"0";"-1";"VU";"VU";"VU";"";"VU";"";"#";"";"";"#";"";"#";"#";"#";"";"";"Eur";"S"
"Epipactis distans";"LC";"2";"0";"0";"LC";"?";"";"?";"?";"#";"#";"#";"";"#";"#";"#";"#";"";"#";"";"Eur";"S"
"Epipactis greuteri";"CR";"1";"?";"-2";"CR";"";"";"";"CR";"";"";"";"";"";"";"#";"#";"";"#";"";"Eur";"S"
"Epipactis helleborine s.str.";"LC";"4";"0";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Hol)";"S"
"Epipactis leptochila";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"#";"+";"#";"#";"#";"#";"#";"–";"–";"";"Eur";"S"
"Epipactis microphylla";"VU";"2";"-1";"-1";"VU";"EN";"CR";"VU";"EN";"#";"#";"";"";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epipactis muelleri";"VU";"2";"-1";"-1";"VU";"";"";"VU";"VU";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epipactis neglecta";"EN";"1";"-1";"-1";"EN";"";"";"EN";"EN";"";"";"";"";"+";"#";"#";"#";"";"";"";"Eur";"S"
"Epipactis nordeniorum";"EN";"2";"?";"-1";"EN";"";"";"EN";"";"";"";"";"";"";"#";"";"";"";"#";"";"Eur";"S"
"Epipactis palustris";"VU";"3";"-3";"-1";"VU";"CR";"VU";"CR";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Epipactis pontica";"NT";"2";"0";"-1";"NT";"NT";"";"NT";"EN";"";"";"";"";"";"#";"";"#";"+";"#";"";"Euras";"S"
"Epipactis purpurata";"VU";"2";"-1";"-1";"VU";"CR";"EN";"CR";"EN";"#";"";"";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Epipactis voethii";"EN";"1";"-1";"-1";"EN";"";"";"";"CR";"";"";"";"";"";"";"";"#";"#";"#";"";"Eur";"S"
"Epipogium aphyllum";"VU";"2";"-1";"-1";"VU";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"+";"#";"";"Euras";"S"
"Equisetum arvense subsp. alpestre";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"";"";"";"";"";"";"";"Hol";"S"
"Equisetum arvense subsp. arvense";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol (Kosm)";"S"
"Equisetum fluviatile";"LC";"4";"-1";"-1";"LC";"VU";"VU";"VU";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Equisetum hyemale";"LC";"4";"0";"0";"LC";"LC";"LC";"NT";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Equisetum palustre";"LC";"5";"-2";"-1";"LC";"NT";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Equisetum pratense";"LC";"4";"0";"-1";"LC";"EN";"CR";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Hol";"S"
"Equisetum ramosissimum";"VU";"3";"-2";"-1";"EN";"VU";"n";"EN";"VU";"+";"#";"#";"–";"#";"#";"le";"#";"#";"#";"";"Kosm";"S"
"Equisetum sylvaticum";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Equisetum telmateia";"LC";"4";"0";"-1";"LC";"VU";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Equisetum variegatum";"LC";"4";"0";"-1";"LC";"CR";"NT";"RE?";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Eragrostis albensis";"n";"";"";"";"";"";"";"";"";"";"e";"u";"e";"u";"";"e";"e";"e";"";"";"";"H"
"Eragrostis minor";"n";"";"";"";"";"";"";"";"";"e";"e";"e";"e";"e";"e";"e";"e";"e";"e";"";"";"H"
"Eragrostis multicaulis";"n";"";"";"";"";"";"";"";"";"e";"e";"u";"e";"e";"e";"e";"e";"u";"";"";"";"H"
"Eragrostis pilosa";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"u";"e";"e";"e";"e";"e";"e";"";"";"H"
"Eranthis hyemalis";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"u";"";"u";"le";"le";"le";"le";"";"";"H"
"Erechtites hieraciifolius";"n";"";"";"";"";"";"";"";"";"";"";"";"u";"e";"e";"e";"e";"e";"e";"";"";"H"
"Eremogone procera";"CR";"1";"-2";"-2";"";"";"";"";"CR";"";"";"";"";"";"";"";"";"";"#";"D";"Euras";"S"
"Erica carnea";"LC";"4";"0";"0";"LC";"VU";"VU";"n";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"u";"";"";"Eur";"B"
"Erica tetralix";"n";"";"";"";"";"";"";"";"";"";"u";"u";"e?";"";"le?";"u";"";"";"";"";"";"B"
"Erigeron acris subsp. acris";"LC";"4";"-1";"-1";"LC";"LC";"LC";"VU";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"H"
"Erigeron acris subsp. angulosus";"NT";"3";"-1";"-1";"NT";"";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"H"
"Erigeron acris subsp. macrophyllus";"NT";"2";"0";"-1";"NT";"";"CR";"";"";"";"";"";"#";"#";"#";"#";"#";"";"";"";"Eur";"H"
"Erigeron acris subsp. podolicus";"NT";"3";"-1";"-1";"EN";"";"";"";"NT";"";"";"";"";"";"";"";"#";"#";"#";"";"Euras";"H"
"Erigeron acris subsp. serotinus";"NT";"3";"-1";"-1";"NT";"VU";"NT";"VU";"G";"#";"#";"#*";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"H"
"Erigeron alpinus s.str.";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Erigeron annuus";"n";"";"";"";"";"";"";"";"";"e";"e";"e";"e";"e";"e";"e";"e";"e";"e";"";"";"H"
"Erigeron atticus";"VU";"2";"-1";"-1";"VU";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Eur";"S"
"Erigeron canadensis";"n";"";"";"";"";"";"";"";"";"e";"e";"e";"e";"e";"e";"e";"e";"e";"e";"";"";"H"
"Erigeron glabratus";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Erigeron neglectus";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"";"–";"";"";"";"";"Eur";"S"
"Erigeron schleicheri";"NT";"2";"0";"-1";"NT";"";"";"";"";"?";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Erigeron sumatrensis";"n";"";"";"";"";"";"";"";"";"";"";"";"e?";"";"u";"";"e?";"e";"";"";"";"H"
"Erigeron uniflorus";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Erinus alpinus";"VU";"1";"0";"-1";"VU";"";"n";"";"";"#";"u";"";"e";"";"";"u";"";"";"";"";"Eur";"S"
"Eriophorum angustifolium";"NT";"4";"-2";"-1";"NT";"VU";"EN";"EN";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Eriophorum gracile";"CR";"1";"-3";"-3";"CR";"RE";"RE";"RE";"";"#";"#";"";"#";"#";"+";"#";"#";"";"";"";"Hol";"S"
"Eriophorum latifolium";"VU";"4";"-3";"-2";"VU";"EN";"EN";"EN";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Eriophorum scheuchzeri";"LC";"4";"0";"-1";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Hol";"S"
"Eriophorum vaginatum";"NT";"4";"-2";"-1";"NT";"VU";"VU";"EN";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"+";"";"Hol";"S"
"Eritrichium nanum";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Erodium ciconium";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"le";"le";"";"";"";"H"
"Erodium cicutarium";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"H"
"Erucastrum gallicum";"n";"";"";"";"";"";"";"";"";"e";"e";"e";"e";"e";"e";"e";"e";"e";"e";"";"";"H"
"Erucastrum nasturtiifolium";"LC";"2";"0";"0";"LC";"n";"n";"";"n";"#*";"#*";"–";"u";"e";"u";"u";"e";"e";"e";"";"Eur";"S"
"Ervilia hirsuta";"LC";"5";"-1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"H"
"Ervilia sylvatica";"LC";"4";"-1";"0";"LC";"VU";"RE?,f";"VU";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Euras";"S"
"Ervum tetraspermum";"LC";"4";"-1";"0";"VU";"LC";"LC";"LC";"LC";"#";"#*";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"H"
"Eryngium alpinum";"EN";"1";"-1";"-1";"EN";"";"";"";"";"#";"";"";"";"#";"";"";"";"";"";"";"Eur";"S"
"Eryngium campestre";"NT";"4";"-2";"-1";"NT";"NT";"EN";"EN";"NT";"";"u";"u";"u";"u";"u";"#";"#";"#";"#";"";"Eur";"S"
"Eryngium giganteum";"n";"";"";"";"";"";"";"";"";"u";"";"";"";"";"le";"u";"le";"";"";"";"";"H"
"Eryngium planum";"CR";"1";"-3";"-2";"n";"";"n";"n";"CR";"";"";"";"u";"u";"u";"u";"#";"u";"";"";"Euras";"S"
"Erysimum andrzejowskianum auct.";"VU";"1";"0";"-1";"";"";"";"";"VU";"";"";"";"";"";"";"";"#";"#";"#";"";"Eur";"H"
"Erysimum aureum";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"le";"";"";"";"";"";"";"S"
"Erysimum cheiranthoides";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#*";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Hol)";"H"
"Erysimum cheiri";"n";"";"";"";"";"";"";"";"";"u";"u";"";"u";"";"u";"u";"le";"u";"u";"";"";"S"
"Erysimum cuspidatum";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"le";"";"";"";"";"H"
"Erysimum diffusum s.str.";"VU";"2";"-1";"-1";"";"";"n";"";"VU";"";"";"";"";"";"";"";"#";"#";"#";"";"Hol";"H"
"Erysimum hungaricum";"VU";"1";"0";"-1";"VU";"";"";"";"";"";"";"";"#";"#";"#";"";"";"";"";"D";"Eur";"H"
"Erysimum marschallianum";"VU";"2";"-1";"-1";"n";"VU";"n";"";"VU";"";"";"u";"";"";"u";"e";"#";"#";"#";"";"Eur";"H"
"Erysimum odoratum";"VU";"3";"-2";"-1";"VU";"VU";"CR";"";"VU";"";"#*";"";"u";"";"u";"#";"#";"#";"#";"";"Eur";"H"
"Erysimum repandum";"EN";"2";"-3";"-1";"n";"CR";"n";"CR";"EN";"";"u";"–";"u";"u";"u";"u";"#";"#";"#";"";"Euras";"H"
"Erysimum rhaeticum";"VU";"2";"-1";"-1";"VU";"";"";"";"";"";"#";"";"";"";"";"";"";"";"";"";"Alp";"S"
"Erysimum strictum";"LC";"2";"1";"0";"LC";"LC";"LC";"LC";"LC";"";"";"";"";"";"";"#";"#";"#";"#";"";"Eur";"H"
"Erysimum sylvestre s.str.";"LC";"3";"0";"0";"LC";"";"";"";"VU";"–";"";"#";"#";"#";"#";"#";"#";"#";"";"";"Eur";"S"
"Erysimum virgatum s.str.";"VU";"2";"-1";"0";"VU";"";"n";"";"n";"";"#";"";"u";"";"";"";"";"";"";"";"Eur";"H"
"Erythronium dens-canis";"VU";"2";"-1";"-1";"VU";"n";"";"VU";"";"";"";"";"";"#";"#";"";"u";"";"#";"";"Eur";"S"
"Euclidium syriacum";"n";"";"";"";"";"";"";"";"";"";"u";"";"";"";"u";"";"le?";"u";"u";"";"";"H"
"Euonymus europaeus";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"B"
"Euonymus fortunei";"n";"";"";"";"";"";"";"";"";"u?";"";"le?";"le";"";"u";"u";"le";"";"";"";"";"B"
"Euonymus latifolius";"LC";"4";"0";"0";"LC";"EN";"VU";"CR";"n";"#";"#";"#";"#";"#";"#";"#";"#";"u";"";"";"Eur";"B"
"Euonymus verrucosus";"LC";"3";"0";"-1";"LC";"VU";"EN";"";"LC";"";"";"";"";"#";"";"u";"#";"#";"#";"";"Eur";"B"
"Eupatorium cannabinum";"LC";"5";"0";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"S"
"Euphorbia amygdaloides";"LC";"4";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"+?";"";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Euphorbia angulata";"NT";"3";"-1";"-1";"NT";"VU";"CR";"NT";"NT";"";"";"";"+";"#";"#";"#";"#";"";"#";"";"Eur";"S"
"Euphorbia caesia auct.";"EN";"2";"?";"-1";"";"";"";"";"EN";"";"";"";"";"";"";"";"#";"";"";"E";"Ö!";"S"
"Euphorbia carniolica";"VU";"1";"0";"-1";"VU";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"Eur";"S"
"Euphorbia cyparissias";"LC";"5";"-1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
