"taxon";"rl";"a";"b";"r";"rl.al";"rl.bm";"rl.nv";"rl.sv";"rl.pa";"o.v";"o.nt";"o.ot";"o.s";"o.k";"o.st";"o.o";"o.n";"o.w";"o.b";"responsibility";"distribution";"lifeform"
"Abies alba";"LC";"5";"-2";"-1";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"B"
"Abutilon theophrasti";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"u";"u";"e";"e";"e";"e";"e";"";"";"S"
"Acer campestre";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"e";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Hol)";"B"
"Acer monspessulanum";"n";"";"";"";"";"";"";"";"";"";"";"";"u";"?";"u";"";"le";"u";"";"";"";"B"
"Acer negundo";"n";"";"";"";"";"";"";"";"";"e";"e";"le";"e";"e";"e";"e";"e";"e";"e";"";"";"B"
"Acer platanoides";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Acer pseudoplatanus";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Acer saccharinum";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"u";"–";"u";"le?";"le?";"u";"u";"";"";"B"
"Acer tataricum s.str.";"VU";"1";"0";"-1";"";"";"";"";"VU";"";"";"";"";"";"";"";"le";"u";"#*";"";"Euras (Hol)";"B"
"Achillea aspleniifolia";"EN";"2";"-2";"-2";"";"RE?";"";"RE?";"EN";"";"";"";"";"–";"";"";"#";"";"#";"";"Eur";"S"
"Achillea atrata s.str.";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Alp";"S"
"Achillea clavenae";"LC";"4";"0";"0";"LC";"";"";"";"";"le";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
