taxon;vernacular.name;law.s;rl.s;remarks
Nigritella widderi;Widder-Kohlröschen;2;;
Noccaea caerulescens;Voralpen-Täschelkraut;;5;ungefährdet - im Inneren Salzachtal: stark gefährdet
Nuphar lutea;Groß-Teichrose;2;3;
Nuphar pumila;Klein-Teichrose;2;5;vom Aussterben bedroht - im Inneren Salzachtal: ausgerottet, erloschen, verschollen
Nymphaea alba;Groß-Seerose;2;2;
Nymphaea candida;Klein-Seerose;2;2;
Oenanthe aquatica;Groß-Wasserfenchel;;0;
Ononis repens;Kriech-Hauhechel;;3;
Ononis repens ssp. procurrens;Gestreckte Kriech-Hauhechel;;3;
Ononis spinosa ssp. austriaca;Österreichische Dorn-Hauhechel;;1;
Ophioglossum vulgatum;Natternzunge;;3;
Ophrys insectifera;Fliegen-Ragwurz;2;4;
Ophrys insectifera ssp. insectifera;Eigentliche Fliegen-Ragwurz;2;4;
Orchis mascula;Manns-Knabenkraut;2;;
Orchis mascula ssp. mascula;Eigentliches Manns-Knabenkraut;2;;
Orchis mascula ssp. speciosa;Pracht-Manns-Knabenkraut;2;;
Orchis mascula x pallens;Hybride Manns- mit Bleich-Knabenkraut;2;;
Orchis militaris;Helm-Knabenkraut;2;2;
Orchis pallens;Bleich-Knabenkraut;2;2;
Orchis spitzelii;Spitzel-Knabenkraut;2;3;
Orchis spitzelii ssp. spitzelii;Eigentliches Spitzel-Knabenkraut;2;3;
Ornithogalum umbellatum;Eigentlicher Dolden-Milchstern;2;1;
Ornithogalum umbellatum agg.;Sammelart Eigentlicher Dolden-Milchstern;2;1;
Ornithogalum vulgare;Gewöhnlicher Dolden-Milchstern;2;1;
Orobanche lucorum;Berberitzen-Sommerwurz;;1;
Orobanche minor;Klee-Sommerwurz;;1;
Orobanche teucrii;Gamander-Sommerwurz;;2;
Oxytropis lapponica;Lappland-Spitzkiel;;4;
Paederota bonarota;Blau-Mänderle;;4;
Paederota lutea;Gelb-Mänderle;;4;
Papaver dubium;Schmalkopf-Mohn;;3;
Papaver dubium ssp. austromoravicum;Weißer Schmalkopf-Mohn;;3;
Papaver dubium ssp. confine;Verkannter Schmalkopf-Mohn;;3;
Papaver dubium ssp. dubium;Gewöhnlicher Schmalkopf-Mohn;;3;
Pedicularis kerneri;Kerner-Läusekraut;;4;
Pedicularis palustris;Sumpf-Läusekraut;;3;
Pedicularis palustris ssp. palustris;Eigentliches Sumpf-Läusekraut;;3;
Pedicularis portenschlagii;Portenschlag-Läusekraut;;4;
Pedicularis rosea;Rosa-Läusekraut;;4;
Pedicularis rosea ssp. rosea;Eigentliches Rosa-Läusekraut;;4;
Pedicularis sceptrum-carolinum;Karlszepter;;0;
Peplis portula;Sumpfquendel;;1;
Persicaria amphibia;Wasser-Knöterich;;3;
Persicaria dubia;Mild-Knöterich;;3;
Peucedanum oreoselinum;Berg-Haarstrang;;3;
Peucedanum palustre;Sumpf-Haarstrang;;3;
Phelipanche arenaria;Sand-Blauwürger;;1;
Phelipanche purpurea;Violett-Blauwürger;;1;
Phleum phleoides;Steppen-Lieschgras;;3;
Physalis alkekengi;Echt-Blasenkirsche;;2;
Phyteuma spicatum ssp. coeruleum;Blaue Ähren-Teufelskralle;;0;
Pimpinella saxifraga ssp. nigra;Schwarze Klein-Bibernelle;;4;
Pinguicula alpina;Alpen-Fettkraut;3;5;ungefährdet - im Flachgau: stark gefährdet
Pinguicula leptoceras;Dünnsporn-Fettkraut;3;4;
Pinguicula vulgaris;Gewöhnlich-Fettkraut;3;5;ungefährdet - im Flachgau: gefährdet
Pinus (x) rotundata;Moor-Föhre;;3;
Plantago alpina;Alpen-Wegerich;;4;
Platanthera bifolia;Weiß-Waldhyazinthe;2;;
Platanthera montana;Grünlich-Waldhyazinthe;2;;
Poa cenisia;Kriech-Rispe;;4;
Poa chaixii;Berg-Rispe;;4;
Poa glauca;Blaugrün-Rispe;;4;
Poa molinerii;Innenalpen-Rispe;;4;
Poa palustris;Sumpf-Rispe;;3;
Poa remota;Locker-Rispe;;4;
Poa stiriaca;Steirisch-Rispe;;4;
Polygala amarella;Sumpf-Kreuzblume;;5;ungefährdet - im Flachgau: gefährdet
Polygala vulgaris ssp. oxyptera;Spitzflügel-Wiesen-Kreuzblume;;3;
Polystichum braunii;Schuppen-Schildfarn;;4;
Polytrichum strictum;Moor-Haarmützenmoos;;3;
Populus alba;Silber-Pappel;;3;
Populus nigra;Schwarz-Pappel;;2;
Potamogeton acutifolius;Spitzblatt-Laichkraut;;0;
Potamogeton alpinus;Alpen-Laichkraut;;3;
Potamogeton filiformis;Faden-Laichkraut;;2;
Potamogeton gramineus;Gras-Laichkraut;;1;
Potamogeton lucens;Glanz-Laichkraut;;3;
Potamogeton natans;Schwimm-Laichkraut;;3;
Potamogeton nodosus;Flut-Laichkraut;;0;
Potamogeton pectinatus;Kamm-Laichkraut;;4;
Potamogeton pectinatus ssp. pectinatus;Gewöhnliches Kamm-Laichkraut;;4;
Potamogeton perfoliatus;Durchwachs-Laichkraut;;4;
Potamogeton praelongus;Langblatt-Laichkraut;;0;
Potamogeton trichoides;Haar-Laichkraut;;0;
Potentilla argentea;Silber-Fingerkraut;;5;ungefährdet - in den Kalkalpen: ausgerottet, erloschen, verschollen
Potentilla frigida;Gletscher-Fingerkraut;;4;
Potentilla grandiflora;Großblüten-Fingerkraut;;4;
Potentilla micrantha;Kleinblüten-Fingerkraut;;4;
Potentilla nivea;Schneeweiß-Fingerkraut;;4;
Potentilla sterilis;Erdbeer-Fingerkraut;;3;
Primula auricula;Aurikel;2;;
Primula auricula ssp. auricula;Duft-Aurikel;2;;
Primula clusiana;Clusius-Primel;2;;
Primula farinosa;Mehl-Primel;1;5;ungefährdet - im Flachgau: gefährdet
Primula glutinosa;Kleb-Primel;1;;
Primula glutinosa x minima;Hybride Kleb- mit Zwerg-Primel;1;;
Primula halleri;Haller-Primel;2;4;
Primula matthioli;Matthioli-Primel;;4;
Primula minima;Zwerg-Primel;1;;
Primula veris;Arznei-Primel;;3;
Primula veris ssp. veris;Eigentliche Arznei-Primel;;3;
Primula villosa;Östliche Rotdrüsen-Primel;2;4;
Pseudorchis albida;Stumpfsporn-Weißzüngel;2;;
Pseudorchis albida ssp. albida;Weißliches Stumpfsporn-Weißzüngel;2;;
Pseudorchis albida ssp. tricuspis;Dreizackiges Stumpfsporn-Weißzüngel;2;;
Pseudoturritis turrita;Bogenkresse;;1;
Pulicaria dysenterica;Groß-Flohkraut;;3;
Pulmonaria mollis;Weichhaar-Lungenkraut;;4;
Pulmonaria mollis ssp. alpigena;Alpen-Weichhaar-Lungenkraut;;4;
Pulsatilla alpina;Alpen-Küchenschelle;1;;
Pulsatilla alpina ssp. alba;Österreichische Alpen-Küchenschelle;1;;
Pulsatilla alpina ssp. alpina;Nördliche Alpen-Küchenschelle;1;;
Pulsatilla alpina ssp. apiifolia;Gelbe Alpen-Küchenschelle;1;;
Pulsatilla vernalis;Frühlings-Küchenschelle;1;;
Pulsatilla vulgaris;Bayern-Küchenschelle;1;0;
Pulsatilla vulgaris agg.;Sammelart Bayern-Küchenschelle;1;;
Pyrola chlorantha;Grünblüten-Wintergrün;;4;
Pyrola media;Mittel-Wintergrün;;4;
Pyrus pyraster;Wild-Birne;;1;
Ranunculus aquatilis;Großblüten-Wasserhahnenfuß;;1;
Ranunculus auricomus agg.;Sammelart Gold-Hahnenfuß;;5;gefährdet - in den Hohen Tauern: stark gefährdet
Ranunculus breyninus;Rax-Hahnenfuß;;4;
Ranunculus circinatus;Spreiz-Wasserhahnenfuß;;2;
Ranunculus confervoides;Gebirgs-Haarblatt-Wasserhahnenfuß;;3;
Ranunculus fluitans;Flut-Wasserhahnenfuß;;2;
Ranunculus lingua;Zungen-Hahnenfuß;;2;
Ranunculus pygmaeus;Zwerg-Hahnenfuß;;4;
Ranunculus reptans;Ufer-Hahnenfuß;;1;
Ranunculus sardous;Sardinien-Hahnenfuß;;2;
Ranunculus sardous ssp. sardous;Glatter Sardinien-Hahnenfuß;;2;
Ranunculus sardous ssp. subdichotomicus;Höckeriger Sardinien-Hahnenfuß;;2;
Ranunculus sceleratus;Unheil-Hahnenfuß;;2;
Ranunculus serpens;Schlängel-Hahnenfuß;;4;
Rhamnus saxatilis;Felsen-Kreuzdorn;;4;
Rhamnus saxatilis ssp. saxatilis;Eigentlicher Felsen-Kreuzdorn;;4;
Rhinanthus alectorolophus ssp. freynii;Südalpen-Zotten-Klappertopf;;4;
Rhinanthus serotinus;Groß-Klappertopf;;3;
Rhodothamnus chamaecistus;Zwergalpenrose;1;;
Rhynchospora alba;Weiß-Schnabelried;;3;
Rhynchospora fusca;Braun-Schnabelried;;1;
Rosa agrestis;Feld-Rose;;0;
Rosa dumalis;Vogesen-Rose;;3;
Rosa dumalis ssp. dumalis;Eigentliche Vogesen-Rose;;3;
Rosa elliptica;Keilblatt-Rose;;2;
Rosa glauca;Rotblatt-Rose;;4;
Rosa majalis;Zimt-Rose;;3;
Rosa micrantha;Kleinblütige Wein-Rose;;2;
Rosa montana;Berg-Rose;;0;
Rosa rubiginosa;Wein-Rose;;3;
Rosa villosa;Apfel-Rose;;3;
Rumex aquaticus;Wasser-Ampfer;;2;
Rumex conglomeratus;Knäuel-Ampfer;;3;
Rumex hydrolapathum;Teich-Ampfer;;2;
Rumex nivalis;Schnee-Sauerampfer;;4;
Sagina nodosa;Knoten-Mastkraut;;0;
Salix (x) rubens;Hoch-Weide;1;;
Salix alba;Silber-Weide;1;;
Salix alba x myrsinifolia;Hybride Silber- mit Schwarz-Weide;1;;
Salix alba x pentandra;Hybride Silber- mit Lorbeer-Weide;1;;
Salix alpina;Ostalpen-Weide;1;;
Salix alpina x breviserrata;Hybride Ostalpen- mit Sal-Weide;1;;
Salix appendiculata;Großblatt-Weide;1;;
Salix appendiculata x caprea;Hybride Großblatt- mit Sal-Weide;1;;
Salix appendiculata x cinerea;Hybride Großblatt- mit Asch-Weide;1;;
Salix appendiculata x daphnoides;Hybride Großblatt- mit Reif-Weide;1;;
Salix appendiculata x eleagnos;Hybride Großblatt- mit Lavendel-Weide;1;;
Salix arbuscula agg.;Sammelart Bäumchen-Weide;1;;
Salix aurita;Ohr-Weide;1;3;
Salix aurita x myrsinifolia;Hybride Ohr- mit Schwarz-Weide;1;;
Salix aurita x repens;Hybride Ohr- mit Kriech-Weide;1;;
Salix bicolor;Zweifarben-Weide;1;2;
Salix breviserrata;Kurzzahn-Weide;1;;
Salix caprea;Sal-Weide;1;;
Salix caprea x eleagnos;Hybride Sal- mit Lavendel-Weide;1;;
Salix caprea x myrsinifolia;Hybride Sal- mit Schwarz-Weide;1;;
Salix caprea x viminalis;Hybride Sal- mit Korb-Weide;1;;
Salix cinerea;Asch-Weide;1;;
Salix cinerea agg.;Sammelart Asch-Weide;1;;
Salix cinerea x purpurea;Hybride Asch- mit Purpur-Weide;1;;
Salix cinerea x viminalis;Hybride Asch- mit Korb-Weide;1;;
Salix daphnoides;Reif-Weide;1;;
Salix daphnoides x eleagnos;Hybride Reif- mit Lavendel-Weide;1;;
Salix daphnoides x myrsinifolia;Hybride Reif- mit Schwarz-Weide;1;;
Salix daphnoides x purpurea;Hybride Reif- mit Purpur-Weide;1;;
Salix eleagnos;Lavendel-Weide;1;;
Salix eleagnos ssp. eleagnos;Eigentliche Lavendel-Weide;1;;
Salix eleagnos x fragilis;Hybride Lavendel- mit Bruch-Weide;1;;
Salix eleagnos x myrsinifolia;Hybride Lavendel- mit Schwarz-Weide;1;;
Salix eleagnos x purpurea;Hybride Lavendel- mit Purpur-Weide;1;;
Salix fragilis;Bruch-Weide;1;3;
Salix fragilis agg.;Sammelart Bruch-Weide;1;;
Salix fragilis x pentandra;Hybride Bruch- mit Lorbeer-Weide;1;;
Salix glabra;Glanz-Weide;1;;
Salix glaucosericea;Seiden-Weide;1;4;
Salix hastata;Spieß-Weide;1;;
Salix hastata x mielichhoferi;Hybride Spieß- mit Tauern-Weide;1;;
Salix hastata x myrsinifolia;Hybride Spieß- mit Schwarz-Weide;1;;
Salix hastata x waldsteiniana;Hybride Spieß- mit Bäumchen-Weide;1;;
Salix helvetica;Schweizer Weide;1;;
Salix helvetica x mielichhoferi;Hybride Schweizer mit Tauern-Weide;1;;
Salix helvetica x waldsteiniana;Hybride Schweizer mit Bäumchen-Weide;1;;
Salix herbacea;Kraut-Weide;1;;
Salix lapponum agg.;Sammelart Lappland-Weide;1;;
Salix mielichhoferi;Tauern-Weide;1;;
Salix mielichhoferi x myrsinifolia;Hybride Tauern- mit Schwarz-Weide;1;;
Salix myrsinifolia;Schwarz-Weide;1;;
Salix myrsinifolia x purpurea;Hybride Schwarz- mit Purpur-Weide;1;;
Salix myrsinites agg.;Alpen-Weide - Sammelart;1;;
Salix myrtilloides;Heidelbeer-Weide;1;1;
Salix myrtilloides x repens;Hybride Heidelbeer- mit Kriech-Weide;1;;
Salix nigricans agg.;Sammelart Schwarz-Weide;1;;
Salix pentandra;Lorbeer-Weide;1;2;
Salix phylicifolia agg.;Sammelart Teeblatt-Weide;1;;
Salix purpurea;Purpur-Weide;1;;
Salix purpurea x repens;Hybride Purpur- mit Kriech-Weide;1;;
Salix purpurea x viminalis;Hybride Purpur- mit Korb-Weide;1;;
Salix purpurea x waldsteiniana;Hybride Purpur- mit Bäumchen-Weide;1;;
Salix repens;Kriech-Weide;1;3;
Salix repens ssp. repens;Breitblatt-Kriech-Weide;1;3;
Salix repens ssp. rosmarinifolia;Rosmarin-Kriech-Weide;1;3;
Salix reticulata;Netz-Weide;1;;
Salix retusa;Stumpfblatt-Weide;1;;
Salix retusa agg.;Sammelart Stumpfblatt-Weide;1;;
Salix serpyllifolia;Quendel-Weide;1;;
Salix triandra;Mandel-Weide;1;3;
Salix triandra ssp. amygdalina;Bereifte Mandel-Weide;1;3;
Salix triandra ssp. triandra;Grüne Mandel-Weide;1;3;
Salix triandra x viminalis;Hybride Mandel- mit Korb-Weide;1;;
Salix viminalis;Korb-Weide;1;;
Salix waldsteiniana;Bäumchen-Weide;1;;
Salvia pratensis;Wiesen-Salbei;;3;
Salvia pratensis ssp. pratensis;Eigentlicher Wiesen-Salbei;;3;
Sanicula europaea;Sanikel;;5;ungefährdet - in den Hohen Tauern: gefährdet
Saponaria pumila;Zwerg-Seifenkraut;1;;
Saussurea pygmaea;Zwerg-Alpenscharte;;4;
Saxifraga adscendens;Aufsteige-Steinbrech;1;;
Saxifraga adscendens ssp. adscendens;Eigentlicher Aufsteige-Steinbrech;1;;
Saxifraga aizoides;Bach-Steinbrech;1;;
Saxifraga androsacea;Mannsschild-Steinbrech;1;;
Saxifraga aphylla;Blattlos-Steinbrech;1;5;ungefährdet - in der Grauwackenzone: potenziell gefährdet
Saxifraga aspera;Rau-Steinbrech;1;;
Saxifraga biflora;Zweiblüten-Steinbrech;1;;
Saxifraga biflora agg.;Sammelart Zweiblüten-Steinbrech;1;;
Saxifraga biflora x oppositifolia;Hybride Zweiblüten- mit Gegenblatt-Steinbrech;1;;
Saxifraga blepharophylla;Wimper-Steinbrech;1;4;
Saxifraga bryoides;Moos-Steinbrech;1;;
Saxifraga burseriana;Burser-Steinbrech;1;;
Saxifraga caesia;Blaugrün-Steinbrech;1;;
Saxifraga cuneifolia;Keilblatt-Steinbrech;1;3;
Saxifraga cuneifolia ssp. robusta;Robuster Keilblatt-Steinbrech;1;3;
Saxifraga granulata;Knöllchen-Steinbrech;3;1;
Saxifraga granulata ssp. granulata;Eigentlicher Knöllchen-Steinbrech;3;1;
Saxifraga hieraciifolia;Habichtskraut-Steinbrech;1;3;
Saxifraga hirculus;Moor-Steinbrech;1;0;
Saxifraga moschata;Moschus-Steinbrech;1;;
Saxifraga muscoides;Flachblatt-Steinbrech;1;4;
Saxifraga mutata;Kies-Steinbrech;1;4;
Saxifraga mutata ssp. mutata;Eigentlicher Kies-Steinbrech;1;4;
Saxifraga oppositifolia;Gegenblatt-Steinbrech;1;;
Saxifraga oppositifolia agg.;Sammelart Gegenblatt-Steinbrech;1;;
Saxifraga oppositifolia x rudolphiana;Hybride Gegenblatt- mit Rudolfi-Steinbrech;1;;
Saxifraga paniculata;Rispen-Steinbrech;1;;
Saxifraga paniculata ssp. paniculata;Eigentlicher Rispen-Steinbrech;1;;
Saxifraga retusa;Wulfen-Steinbrech;1;4;
Saxifraga retusa agg.;Sammelart Wulfen-Steinbrech;1;;
Saxifraga retusa ssp. retusa;Eigentlicher Wulfen-Steinbrech;1;4;
Saxifraga rudolphiana;Rudolphi-Steinbrech;1;;
Saxifraga stellaris;Stern-Steinbrech;1;;
Saxifraga stellaris ssp. prolifera;Brut-Stern-Steinbrech;1;;
Saxifraga stellaris ssp. robusta;Gewöhnlicher Stern-Steinbrech;1;;
Saxifraga tridactylites;Finger-Steinbrech;1;3;
Scabiosa triandra;Süd-Skabiose;;3;
Scheuchzeria palustris;Blasensimse;;2;
Schoenoplectus lacustris;Grün-Teichbinse;;3;
Schoenoplectus tabernaemontani;Grau-Teichbinse;;0;
Schoenoplectus triqueter;Kanten-Teichbinse;;0;
Schoenus ferrugineus;Braun-Knopfried;;3;
Schoenus nigricans;Schwarz-Knopfried;;0;
Scirpus radicans;Wurzelnde Waldbinse;;0;
Scleranthus polycarpos;Triften-Knäuel;;3;
Scorpidium revolvens;Rollblättriges Skorpionsmoos i. e. S.;;3;
Scorzonera aristata;Grannen-Schwarzwurz;;4;
Scorzonera humilis;Niedrig-Schwarzwurz;;2;
Scrophularia vernalis;Frühlings-Braunwurz;;1;
Scutellaria galericulata;Sumpf-Helmkraut;;3;
Sedum villosum;Drüsen-Mauerpfeffer;;2;
Selaginella helvetica;Schweiz-Moosfarn;;5;potenziell gefährdet - in den Hohen Tauern: stark gefährdet
Selinum carvifolia;Kümmelsilge;;5;gefährdet - im Inneren Salzachtal: vom Aussterben bedroht
Sempervivum arachnoideum;Spinnweben-Hauswurz;1;;
Sempervivum arachnoideum ssp. arachnoideum;Gewöhnliche Spinnweben-Hauswurz;1;;
Sempervivum arachnoideum x montanum;Hybride Spinnweben- mit Westlicher Berg-Hauswurz;1;;
Sempervivum arachnoideum x stiriacum;Hybride Spinnweben- mit Steirischer Berg-Hauswurz;1;;
Sempervivum montanum;Westliche Berg-Hauswurz;1;;
Sempervivum montanum agg.;Sammelart Westliche Berg-Hauswurz;1;;
Sempervivum montanum x wulfenii;Hybride Westliche Berg- mit Wulfen-Hauswurz;1;;
Sempervivum stiriacum;Steirische Berg-Hauswurz;1;;
Sempervivum tectorum;Dach-Hauswurz;1;;
Sempervivum tectorum agg.;Sammelart Dach-Hauswurz;1;;
Sempervivum wulfenii;Wulfen-Hauswurz;1;4;
Sempervivum wulfenii agg.;Sammelart Wulfen-Hauswurz;1;;
Senecio aquaticus;Wasser-Greiskraut;;2;
Senecio cordatus;Alpen-Greiskraut;;3;
Senecio paludosus;Sumpf-Greiskraut;;2;
Serratula tinctoria;Echt-Färberscharte;2;2;
Seseli annuum;Steppen-Sesel;;5;gefährdet - im Flachgau: ausgerottet, erloschen, verschollen
Seseli libanotis;Heilwurz;;5;ungefährdet - im Flachgau: stark gefährdet
Seseli libanotis ssp. libanotis;Gebirgs-Heilwurz;;5;ungefährdet - im Flachgau: stark gefährdet
Silaum silaus;Wiesensilge;;2;
Sisymbrium strictissimum;Steif-Rauke;;3;
Soldanella minima;Kleinst-Soldanelle;;4;
Sparganium angustifolium;Schmalblatt-Igelkolben;;4;
Sparganium emersum;Astlos-Igelkolben;;3;
Sparganium erectum ssp. microcarpum;Kleinfrüchtiger Äste-Igelkolben;;0;
Sparganium natans;Zwerg-Igelkolben;;2;
Spergula arvensis;Acker-Spörgel;;5;ungefährdet - im Flachgau: gefährdet
Spergula arvensis ssp. arvensis;Gewöhnlicher Acker-Spörgel;;5;ungefährdet - im Flachgau: gefährdet
Sphagnum angustifolium;Schmalblättriges Torfmoos;;3;
Sphagnum palustre;Sumpf-Torfmoos;;3;
Sphagnum papillosum;Papillöses Torfmoos;;2;
Sphagnum subsecundum;Einseitswendiges Torfmoos;;3;
Sphagnum tenellum;Zartes Torfmoos;;2;
Spiranthes aestivalis;Sommer-Wendelähre;5;1;
Spiranthes spiralis;Herbst-Wendelähre;2;1;
Spirodela polyrhiza;Europa-Teichlinse;;1;
Stachys recta;Aufrecht-Ziest;;2;
Stachys recta ssp. recta;Eigentlicher Aufrecht-Ziest;;2;
Staphylea pinnata;Europa-Pimpernuss;;4;
Stellaria holostea;Groß-Sternmiere;;1;
Stellaria longifolia;Langblatt-Sternmiere;;4;
Stipa eriocaulis;Zierlich-Federgras;2;3;
Stipa eriocaulis ssp. austriaca;Österreichisches Zierlich-Federgras;2;3;
Swertia perennis;Sumpf-Tarant;2;5;ungefährdet - im Flachgau: stark gefährdet
Swertia perennis ssp. perennis;Eigentlicher Sumpf-Tarant;2;5;ungefährdet - im Flachgau: stark gefährdet
Symphytum tuberosum;Knollen-Beinwell;;5;ungefährdet - in den Hohen Tauern: potenziell gefährdet
Tanacetum corymbosum;Strauß-Wucherblume;;4;
Tanacetum corymbosum ssp. subcorymbosum;Berg-Strauß-Wucherblume;;4;
Taraxacum cucullatum;Eigentlicher Kapuzen-Löwenzahn;;4;
Taraxacum cucullatum agg.;Sammelart Eigentlicher Kapuzen-Löwenzahn;;4;
Taraxacum laevigatum agg.;Sammelart Schwielen-Löwenzahn;;0;
Taraxacum palustre agg.;Sammelart Sumpf-Löwenzahn;;1;
Taxus baccata;Europa-Eibe;1;5;gefährdet - in den Hohen Tauern und der Grauwackenzone: vom Aussterben bedroht
Tephroseris helenitis;Alant-Aschenkraut;;2;
Tephroseris helenitis ssp. helenitis;Gewöhnliches Alant-Aschenkraut;;2;
Tephroseris helenitis ssp. salisburgensis;Salzburger-Alant-Aschenkraut;;2;
Tephroseris longifolia;Voralpen-Aschenkraut;;3;
Tephroseris tenuifolia;Schweizer-Aschenkraut;;3;
Teucrium botrys;Trauben-Gamander;;0;
Teucrium scorodonia;Salbei-Gamander;;4;
Thalictrum alpinum;Alpen-Wiesenraute;;0;
Thalictrum lucidum;Glanz-Wiesenraute;;3;
Thalictrum minus;Klein-Wiesenraute;;5;ungefährdet - im Flachgau: gefährdet
Thalictrum minus ssp. pratense;Frühe Klein-Wiesenraute;;5;ungefährdet - im Flachgau: gefährdet
Thalictrum minus ssp. saxatile;Felsen-Klein-Wiesenraute;;5;ungefährdet - im Flachgau: gefährdet
Thalictrum simplex;Einfach-Wiesenraute;;2;
Thalictrum simplex ssp. galioides;Labkraut-Wiesenraute;;2;
Thalictrum simplex ssp. tenuifolium;Mittlere Wiesenraute;;2;
Thelypteris palustris;Sumpffarn;;2;
Thelypteris palustris ssp. palustris;Eigentlich-Sumpffarn;;2;
Thesium linophyllon;Mittel-Leinblatt;;0;
Thesium pyrenaicum;Wiesen-Leinblatt;;5;ungefährdet - im Flachgau: ausgerottet, erloschen, verschollen
Thesium pyrenaicum ssp. alpestre;Großblütiges Wiesen-Leinblatt;;5;ungefährdet - im Flachgau: ausgerottet, erloschen, verschollen
Thesium rostratum;Schnabel-Leinblatt;;0;
Traunsteinera globosa;Kugelständel;2;4;
Trichophorum alpinum;Alpen-Haarbinse;;5;ungefährdet - im Flachgau: gefährdet
Trichophorum cespitosum;Rasen-Haarbinse;;5;ungefährdet - im Flachgau: gefährdet
Trichophorum cespitosum ssp. cespitosum;Eigentliche Rasen-Haarbinse;;5;ungefährdet - im Flachgau: gefährdet
Trientalis europaea;Europa-Siebenstern;;1;
Trifolium arvense;Hasen-Klee;;3;
Trifolium arvense ssp. arvense;Eigentlicher Hasen-Klee;;3;
Trifolium spadiceum;Moor-Klee;;2;
Triglochin palustre;Sumpf-Dreizack;;5;ungefährdet - im Flachgau: stark gefährdet
Trollius europaeus;Europa-Trollblume;4;;
Typha angustifolia;Schmalblatt-Rohrkolben;2;1;
Typha latifolia;Breitblatt-Rohrkolben;2;3;
Typha minima;Zwerg-Rohrkolben;2;0;
Typha minima agg.;Sammelart Zwerg-Rohrkolben;2;;
Typha shuttleworthii;Silber-Rohrkolben;2;1;
Ulmus laevis;Flatter-Ulme;;0;
Ulmus minor;Feld-Ulme;;2;
Ulmus minor ssp. minor;Gewöhnliche Feld-Ulme;;2;
Utricularia australis;Groß-Wasserschlauch;2;1;
Utricularia intermedia;Mittel-Wasserschlauch;2;2;
Utricularia intermedia agg.;Sammelart Mittel-Wasserschlauch;2;;
Utricularia minor;Klein-Wasserschlauch;2;2;
Utricularia minor agg.;Sammelart Klein-Wasserschlauch;2;;
Utricularia vulgaris;Gewöhnlich-Wasserschlauch;2;3;
Utricularia vulgaris agg.;Sammelart Gewöhnlich-Wasserschlauch;2;3;
Vaccinium microcarpum;Klein-Torfbeere;;2;
Vaccinium oxycoccos;Groß-Torfbeere;;3;
Vaccinium uliginosum;Moor-Nebelbeere;;3;
Valeriana celtica;Echt-Speik;1;;
Valeriana celtica ssp. norica;Östlicher Echt-Speik;1;;
Valerianella dentata;Zähnchen-Feldsalat;;3;
Valerianella rimosa;Furchen-Feldsalat;;2;
Verbascum blattaria;Schaben-Königskerze;;2;
Verbascum chaixii ssp. austriacum;Eigentliche Österreich-Königskerze;;4;
Veronica opaca;Glanzlos-Ehrenpreis;;3;
Veronica orchidea;Orchideen-Blauweiderich;;1;
Veronica scutellata;Schild-Ehrenpreis;;2;
Veronica teucrium;Groß-Ehrenpreis;;2;
Veronica triphyllos;Finger-Ehrenpreis;;0;
Veronica verna;Frühlings-Ehrenpreis;;2;
Vicia angustifolia;Schmalblatt-Wicke;;3;
Vicia dumetorum;Hecken-Wicke;;3;
Vicia oroboides;Walderbsen-Wicke;;4;
Vicia tenuifolia;Feinblatt-Vogel-Wicke;;3;
Viola alba;Weiß-Veilchen;;3;
Viola alba ssp. alba;Weißsporn-Weiß-Veilchen;;3;
Viola alba ssp. scotophylla;Lilasporn-Weiß-Veilchen;;3;
Viola canina ssp. canina;Gewöhnliches Hunds-Veilchen;;3;
Viola mirabilis;Wunder-Veilchen;;4;
Viola pyrenaica;Pyrenäen-Veilchen;;0;
Viscaria vulgaris;Gewöhnlich-Pechnelke;;3;
Willemetia stipitata;Kronlattich;;5;ungefährdet - im Flachgau: gefährdet
Willemetia stipitata ssp. stipitata;Eigentlich-Kronlattich;;5;ungefährdet - im Flachgau: gefährdet
Woodsia alpina;Alpen-Wimperfarn;;4;
Woodsia ilvensis;Rost-Wimperfarn;;0;
Woodsia ilvensis ssp. ilvensis;Eigentlicher Rost-Wimperfarn;;0;
Zannichellia palustris;Sumpf-Teichfaden;;3;
Zannichellia palustris ssp. palustris;Eigentlicher Sumpf-Teichfaden;;3;
