SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
1;ABIEALB;Abies alba;Abies alba;;;FALSCH;1
2;ABIESP.;Abies sp.;Abies sp.;;;FALSCH;2
3;ABITABI;Abietinella abietina;Abietinella abietina;;;FALSCH;3
4;ABITABE;Abieti abieti v. abiet;Abietinella abietina var. abietina;;;FALSCH;4
5;ABITABT;Abieti abieti v. hystr;Abietinella abietina var. hystricosa;;;FALSCH;5
6;ABITSP.;Abietinella sp.;Abietinella sp.;;;FALSCH;6
7;ABROBER;Abrothallus bertianus;Abrothallus bertianus;;;FALSCH;7
8;ABROCAE;Abrothallus caerulesce;Abrothallus caerulescens;;;FALSCH;8
9;ABROCET;Abrothallus cetrariae;Abrothallus cetrariae;;;FALSCH;9
10;ABROMIC;Abrothallus microsperm;Abrothallus microspermus;;;FALSCH;10
11;ABROPAR;Abrothallus parmelianu;Abrothallus parmelianus;;;FALSCH;11
12;ABROPEY;Abrothallus peyritschi;Abrothallus peyritschii;;;FALSCH;12
13;ABROPRO;Abrothallus prodiens;Abrothallus prodiens;;;FALSCH;13
14;ABROUSN;Abrothallus usneae;Abrothallus usneae;;;FALSCH;14
15;ABROSP.;Abrothallus sp.;Abrothallus sp.;;;FALSCH;15
16;ABSCANN;Absconditella annexa;Absconditella annexa;;;FALSCH;16
17;ABSCDEL;Absconditella delutula;Absconditella delutula;;;FALSCH;17
18;ABSCFOS;Absconditella fossarum;Absconditella fossarum;;;FALSCH;18
19;ABSCLIG;Absconditell lignicola;Absconditella lignicola;;;FALSCH;19
20;ABSCSPH;Absconditel sphagnorum;Absconditella sphagnorum;;;FALSCH;20
21;ABSCTRI;Absconditell trivialis;Absconditella trivialis;;;FALSCH;21
22;ABSCSP.;Absconditella sp.;Absconditella sp.;;;FALSCH;22
23;ABUTTHE;Abutilon theophrasti;Abutilon theophrasti;;;FALSCH;23
24;ABUTSP.;Abutilon sp.;Abutilon sp.;;;FALSCH;24
25;ACALVIR;Acalypha virginica;Acalypha virginica;;;FALSCH;25
26;ACALSP.;Acalypha sp.;Acalypha sp.;;;FALSCH;26
27;ACARADM;Acarospora admissa;Acarospora admissa;;;FALSCH;27
28;ACARATR;Acarospora atrata;Acarospora atrata;;;FALSCH;28
29;ACARAUS;Acarospora austriaca;Acarospora austriaca;;;FALSCH;29
30;ACARBAD;Acarospora badiofusca;Acarospora badiofusca;;;FALSCH;30
31;ACARBAI;Acaros badiof s. badio;Acarospora badiofusca ssp. badiorubra;;;FALSCH;31
32;ACARBUL;Acarospora bullata;Acarospora bullata;;;FALSCH;32
33;ACARCER;Acarospora cervina;Acarospora cervina;;;FALSCH;33
34;ACARCEV;Acaros cervin v. consp;Acarospora cervina var. conspersa;;;FALSCH;34
35;ACARCOM;Acarospora complanata;Acarospora complanata;;;FALSCH;35
36;ACARFRE;Acarospora freyi;Acarospora freyi;;;FALSCH;36
37;ACARFUS;Acarospora fuscata;Acarospora fuscata;;;FALSCH;37
38;ACARGAL;Acarospora gallica;Acarospora gallica;;;FALSCH;38
39;ACARGLA;Acarospora glaucocarpa;Acarospora glaucocarpa;;;FALSCH;39
40;ACARHEP;Acarospora heppii;Acarospora heppii;;;FALSCH;40
41;ACARHEU;Acarospora heufleriana;Acarospora heufleriana;;;FALSCH;41
42;ACARHOS;Acarospora hospitans;Acarospora hospitans;;;FALSCH;42
43;ACARHOT;Acarospora hostilis;Acarospora hostilis;;;FALSCH;43
44;ACARHUN;Acarospora hungarica;Acarospora hungarica;;;FALSCH;44
45;ACARIMP;Acarospora impressula;Acarospora impressula;;;FALSCH;45
46;ACARINS;Acarospora insolata;Acarospora insolata;;;FALSCH;46
47;ACARINT;Acarospora intricata;Acarospora intricata;;;FALSCH;47
48;ACARMAC;Acarospora macrospora;Acarospora macrospora;;;FALSCH;48
49;ACARMEL;Acarospora melaphaca;Acarospora melaphaca;;;FALSCH;49
50;ACARMIS;Acarospora miskoliensi;Acarospora miskoliensis;;;FALSCH;50
51;ACARNIT;Acarospora nitrophila;Acarospora nitrophila;;;FALSCH;51
52;ACARNIR;Acaros nitrop v. praer;Acarospora nitrophila var. praeruptor;;;FALSCH;52
53;ACARNIO;Acaros nitrop v. suzai;Acarospora nitrophila var. suzai;;;FALSCH;53
54;ACAROLI;Acarospora oligospora;Acarospora oligospora;;;FALSCH;54
55;ACARPEL;Acarospora peliscypha;Acarospora peliscypha;;;FALSCH;55
56;ACARPYR;Acarospora pyrenopsoid;Acarospora pyrenopsoides;;;FALSCH;56
57;ACARRUG;Acarospora rugulosa;Acarospora rugulosa;;;FALSCH;57
58;ACARSCA;Acarospora scabrida;Acarospora scabrida;;;FALSCH;58
59;ACARSIN;Acarospora sinopica;Acarospora sinopica;;;FALSCH;59
60;ACARSMA;Acarospora smaragdula;Acarospora smaragdula;;;FALSCH;60
61;ACARSMR;Acaros smarag v. lesda;Acarospora smaragdula var. lesdainii;;;FALSCH;61
62;ACARSMG;Acaros smarag v. rufes;Acarospora smaragdula var. rufescens;;;FALSCH;62
63;ACARSMD;Acaros smarag v. smara;Acarospora smaragdula var. smaragdula;;;FALSCH;63
64;ACARTEN;Acarospora tenuicortic;Acarospora tenuicorticata;;;FALSCH;64
65;ACARTON;Acarospora tongletii;Acarospora tongletii;;;FALSCH;65
66;ACARTRU;Acarospora truncata;Acarospora truncata;;;FALSCH;66
67;ACARTYR;Acarospora tyroliensis;Acarospora tyroliensis;;;FALSCH;67
68;ACARUMB;Acarospora umbilicata;Acarospora umbilicata;;;FALSCH;68
69;ACARVAR;Acarospora variegata;Acarospora variegata;;;FALSCH;69
70;ACARVER;Acarospora veronensis;Acarospora veronensis;;;FALSCH;70
71;ACARVES;Acarospora versicolor;Acarospora versicolor;;;FALSCH;71
72;ACARSP.;Acarospora sp.;Acarospora sp.;;;FALSCH;72
73;ACAUCAS;Acaulon casasianum;Acaulon casasianum;;;FALSCH;73
74;ACAUDER;Acaulon dertosense;Acaulon dertosense;;;FALSCH;74
75;ACAUFON;Acaulon fontiquerianum;Acaulon fontiquerianum;;;FALSCH;75
76;ACAUMUT;Acaulon muticum;Acaulon muticum;;;FALSCH;76
77;ACAUPIL;Acaulon piligerum;Acaulon piligerum;;;FALSCH;77
78;ACAUTRI;Acaulon triquetrum;Acaulon triquetrum;;;FALSCH;78
79;ACAUSP.;Acaulon sp.;Acaulon sp.;;;FALSCH;79
80;ACERCAM;Acer campestre;Acer campestre;;;FALSCH;80
81;ACERMON;Acer monspessulanum;Acer monspessulanum;;;FALSCH;81
82;ACERNEG;Acer negundo;Acer negundo;;;FALSCH;82
83;ACERPLA;Acer platanoides;Acer platanoides;;;FALSCH;83
84;ACERPSE;Acer pseudoplatanus;Acer pseudoplatanus;;;FALSCH;84
85;ACERPSU;"Acer pseudo mod. ""pros";"Acer pseudoplatanus mod. ""prostrata""";;;FALSCH;85
86;ACERSAC;Acer saccharinum;Acer saccharinum;;;FALSCH;86
87;ACERSAH;Acer saccharum;Acer saccharum;;;FALSCH;87
88;ACERTAT;Acer tataricum;Acer tataricum;;;FALSCH;88
89;ACERSP.;Acer sp.;Acer sp.;;;FALSCH;89
90;ACERANT;Aceras anthropophorum;Aceras anthropophorum;;;FALSCH;90
91;ACERSPA;Aceras sp.;Aceras sp.;;;FALSCH;91
92;ACHIAGE;Achillea ageratum;Achillea ageratum;;;FALSCH;92
93;ACHIASP;Achillea aspleniifolia;Achillea aspleniifolia;;;FALSCH;93
94;ACHIATA;Achillea atrata ag.;Achillea atrata agg.;;;FALSCH;94
95;ACHIATR;Achillea atrata;Achillea atrata;;;FALSCH;95
96;ACHICLA;Achillea clavennae;Achillea clavennae;;;FALSCH;96
97;ACHICLU;Achillea clusiana;Achillea clusiana;;;FALSCH;97
98;ACHICOL;Achillea collina;Achillea collina;;;FALSCH;98
99;ACHICRI;Achillea crithmifolia;Achillea crithmifolia;;;FALSCH;99
100;ACHIDIS;Achillea distans;Achillea distans;;;FALSCH;100
101;ACHIDIT;Achill distan s. dista;Achillea distans ssp. distans;;;FALSCH;101
102;ACHIDIA;Achill distan s. styri;Achillea distans ssp. styriaca;;;FALSCH;102
103;ACHIFIL;Achillea filipendulina;Achillea filipendulina;;;FALSCH;103
104;ACHIGRA;Achillea grandifolia;Achillea grandifolia;;;FALSCH;104
105;ACHIMAC;Achillea macrophylla;Achillea macrophylla;;;FALSCH;105
106;ACHIMIE;Achillea millefoli ag.;Achillea millefolium agg.;;;FALSCH;106
107;ACHIMIL;Achillea millefolium;Achillea millefolium;;;FALSCH;107
108;ACHIMIF;Achill millef s. mille;Achillea millefolium ssp. millefolium;;;FALSCH;108
109;ACHIMIO;Achill millef s. sudet;Achillea millefolium ssp. sudetica;;;FALSCH;109
110;ACHIMOS;Achillea moschata;Achillea moschata;;;FALSCH;110
111;ACHINOB;Achillea nobilis;Achillea nobilis;;;FALSCH;111
112;ACHINOI;Achill nobili s. neilr;Achillea nobilis ssp. neilreichii;;;FALSCH;112
113;ACHIOCH;Achillea ochroleuca;Achillea ochroleuca;;;FALSCH;113
114;ACHIOXY;Achillea oxyloba;Achillea oxyloba;;;FALSCH;114
115;ACHIPAN;Achillea pannonica;Achillea pannonica;;;FALSCH;115
116;ACHIPRA;Achillea pratensis;Achillea pratensis;;;FALSCH;116
117;ACHIPTA;Achillea ptarmica;Achillea ptarmica;;;FALSCH;117
118;ACHIROS;Achillea roseoalba;Achillea roseoalba;;;FALSCH;118
119;ACHISET;Achillea setacea;Achillea setacea;;;FALSCH;119
120;ACHISTR;Achillea stricta;Achillea stricta;;;FALSCH;120
121;ACHITOM;Achillea tomentosa;Achillea tomentosa;;;FALSCH;121
122;ACHISP.;Achillea sp.;Achillea sp.;;;FALSCH;122
123;ACHNCAL;Achnatherum calamagros;Achnatherum calamagrostis;;;FALSCH;123
124;ACHNSP.;Achnatherum sp.;Achnatherum sp.;;;FALSCH;124
125;ACINALP;Acinos alpinus;Acinos alpinus;;;FALSCH;125
126;ACINARV;Acinos arvensis;Acinos arvensis;;;FALSCH;126
127;ACINARE;Acinos arvens s. arven;Acinos arvensis ssp. arvensis;;;FALSCH;127
128;ACINARN;Acinos arvens s. villo;Acinos arvensis ssp. villosus;;;FALSCH;128
129;ACINSP.;Acinos sp.;Acinos sp.;;;FALSCH;129
130;ACONANT;Aconitum anthora;Aconitum anthora;;;FALSCH;130
131;ACONDEG;Aconitum degenii;Aconitum degenii;;;FALSCH;131
132;ACONDEE;Aconit degeni s. panic;Aconitum degenii ssp. paniculatum;;;FALSCH;132
133;ACONLYC;Aconitu lycocto s.lat.;Aconitum lycoctonum s.lat.;;;FALSCH;133
134;ACONLYO;Aconit lycoct s. molda;Aconitum lycoctonum ssp. moldavicum;;;FALSCH;134
135;ACONLYT;Aconit lycoct s. ranun;Aconitum lycoctonum ssp. ranunculifolium;;;FALSCH;135
136;ACONLYN;Aconit lycoct s. vulpa;Aconitum lycoctonum ssp. vulparia;;;FALSCH;136
137;ACONNAP;Aconitum napellus ag.;Aconitum napellus agg.;;;FALSCH;137
138;ACONNAE;Aconitu napellu s.str.;Aconitum napellus s.str.;;;FALSCH;138
139;ACONNAA;Aconit napell s. formo;Aconitum napellus ssp. formosum;;;FALSCH;139
140;ACONNAD;Aconit napell s. napel;Aconitum napellus ssp. napellus;;;FALSCH;140
141;ACONNAF;Aconit napell s. vulga;Aconitum napellus ssp. vulgare;;;FALSCH;141
142;ACONPIL;Aconitum pilipes;Aconitum pilipes;;;FALSCH;142
143;ACONTAU;Aconitum tauricum;Aconitum tauricum;;;FALSCH;143
144;ACONVAR;Aconitum variegatu ag.;Aconitum variegatum agg.;;;FALSCH;144
145;ACONVAI;Aconitu variega s.str.;Aconitum variegatum s.str.;;;FALSCH;145
146;ACONVAE;Aconit varieg s. nasut;Aconitum variegatum ssp. nasutum;;;FALSCH;146
147;ACONVAG;Aconit varieg s. varie;Aconitum variegatum ssp. variegatum;;;FALSCH;147
148;ACONLAS;Aconitum lasiocarpum;Aconitum lasiocarpum;;;FALSCH;148
149;ACONNAL;"Acon nape s. firm ""fir";"Aconitum napellus ssp. firmum ""firmum""";;;FALSCH;149
150;ACONNAU;"Acon nape s. firm ""mor";"Aconitum napellus ssp. firmum ""moravicum""";;;FALSCH;150
151;ACONNAS;Acon nape s. firm s.la;Aconitum napellus ssp. firmum s.lat.;;;FALSCH;151
152;ACONNAB;Aco nap s. hia sen ori;Aconitum napellus ssp. hians sensu orig.;;;FALSCH;152
153;ACONSP.;Aconitum sp.;Aconitum sp.;;;FALSCH;153
154;ACORCAL;Acorus calamus;Acorus calamus;;;FALSCH;154
155;ACORSP.;Acorus sp.;Acorus sp.;;;FALSCH;155
156;ACRERHA;Acremonium rhabdosporu;Acremonium rhabdosporum;;;FALSCH;156
157;ACRESP.;Acremonium sp.;Acremonium sp.;;;FALSCH;157
158;ACROWIL;Acrobolbus wilsonii;Acrobolbus wilsonii;;;FALSCH;158
159;ACROSP.;Acrobolbus sp.;Acrobolbus sp.;;;FALSCH;159
160;ACRCCAV;Acrocordia cavata;Acrocordia cavata;;;FALSCH;160
161;ACRCCON;Acrocordia conoidea;Acrocordia conoidea;;;FALSCH;161
162;ACRCCOO;Acroco conoid v. suzai;Acrocordia conoidea var. suzai;;;FALSCH;162
163;ACRCGEM;Acrocordia gemmata;Acrocordia gemmata;;;FALSCH;163
164;ACRCSP.;Acrocordia sp.;Acrocordia sp.;;;FALSCH;164
165;ACRPREP;Acroptilon repens;Acroptilon repens;;;FALSCH;165
166;ACRPSP.;Acroptilon sp.;Acroptilon sp.;;;FALSCH;166
167;ACTASPI;Actaea spicata;Actaea spicata;;;FALSCH;167
168;ACTASP.;Actaea sp.;Actaea sp.;;;FALSCH;168
169;ADELDEC;Adelanthus decipiens;Adelanthus decipiens;;;FALSCH;169
170;ADELLIN;Adelanthus lindenbergi;Adelanthus lindenbergianus;;;FALSCH;170
171;ADELSP.;Adelanthus sp.;Adelanthus sp.;;;FALSCH;171
172;ADEOALP;Adelococcus alpestris;Adelococcus alpestris;;;FALSCH;172
173;ADEOINT;Adelococcus interlaten;Adelococcus interlatens;;;FALSCH;173
174;ADEOSP.;Adelococcus sp.;Adelococcus sp.;;;FALSCH;174
175;ADEEPIL;Adelolecia pilati;Adelolecia pilati;;;FALSCH;175
176;ADEESP.;Adelolecia sp.;Adelolecia sp.;;;FALSCH;176
177;ADENLIL;Adenophora liliifolia;Adenophora liliifolia;;;FALSCH;177
178;ADENSP.;Adenophora sp.;Adenophora sp.;;;FALSCH;178
179;ADESALL;Adenostyles alliariae;Adenostyles alliariae;;;FALSCH;179
180;ADESGLA;Adenostyles glabra;Adenostyles glabra;;;FALSCH;180
181;ADESLEU;Adenostyles leucophyll;Adenostyles leucophylla;;;FALSCH;181
182;ADESSP.;Adenostyles sp.;Adenostyles sp.;;;FALSCH;182
183;ADONAES;Adonis aestivalis;Adonis aestivalis;;;FALSCH;183
184;ADONANN;Adonis annua;Adonis annua;;;FALSCH;184
185;ADONFLA;Adonis flammea;Adonis flammea;;;FALSCH;185
186;ADONVER;Adonis vernalis;Adonis vernalis;;;FALSCH;186
187;ADONSP.;Adonis sp.;Adonis sp.;;;FALSCH;187
188;ADOXMOS;Adoxa moschatellina;Adoxa moschatellina;;;FALSCH;188
189;ADOXSP.;Adoxa sp.;Adoxa sp.;;;FALSCH;189
190;AEGICYL;Aegilops cylindrica;Aegilops cylindrica;;;FALSCH;190
191;AEGIGEN;Aegilops geniculata;Aegilops geniculata;;;FALSCH;191
192;AEGISP.;Aegilops sp.;Aegilops sp.;;;FALSCH;192
193;AEGOPOD;Aegopodium podagraria;Aegopodium podagraria;;;FALSCH;193
194;AEGOSP.;Aegopodium sp.;Aegopodium sp.;;;FALSCH;194
195;AESCHIP;Aesculus hippocastanum;Aesculus hippocastanum;;;FALSCH;195
196;AESCSP.;Aesculus sp.;Aesculus sp.;;;FALSCH;196
197;AETHSAX;Aethionema saxatile;Aethionema saxatile;;;FALSCH;197
198;AETHSP.;Aethionema sp.;Aethionema sp.;;;FALSCH;198
199;AETUCYN;Aethusa cynapium;Aethusa cynapium;;;FALSCH;199
200;AETUCYA;Aethus cynapi s. agres;Aethusa cynapium ssp. agrestis;;;FALSCH;200
201;AETUCYP;Aethus cynapi s. cynap;Aethusa cynapium ssp. cynapioides;;;FALSCH;201
202;AETUCYI;Aethus cynapi s. cynap;Aethusa cynapium ssp. cynapium;;;FALSCH;202
203;AETUSP.;Aethusa sp.;Aethusa sp.;;;FALSCH;203
204;AGERALT;Ageratina altissima;Ageratina altissima;;;FALSCH;204
205;AGERSP.;Ageratina sp.;Ageratina sp.;;;FALSCH;205
206;AGEAHOU;Ageratum houstonianum;Ageratum houstonianum;;;FALSCH;206
207;AGEASP.;Ageratum sp.;Ageratum sp.;;;FALSCH;207
208;AGONTRI;Agonimia tristicula;Agonimia tristicula;;;FALSCH;208
209;AGONSP.;Agonimia sp.;Agonimia sp.;;;FALSCH;209
210;AGRIEUP;Agrimonia eupatoria;Agrimonia eupatoria;;;FALSCH;210
211;AGRIEUA;Agrimo eupato s. eupat;Agrimonia eupatoria ssp. eupatoria;;;FALSCH;211
212;AGRIEUT;Agrimo eupato s. grand;Agrimonia eupatoria ssp. grandis;;;FALSCH;212
213;AGRIPRO;Agrimonia procera;Agrimonia procera;;;FALSCH;213
214;AGRIPIL;Agrimonia pilosa;Agrimonia pilosa;;;FALSCH;214
215;AGRISP.;Agrimonia sp.;Agrimonia sp.;;;FALSCH;215
216;AGRODES;Agropyron desertorum;Agropyron desertorum;;;FALSCH;216
217;AGROPEC;Agropyron pectinatifor;Agropyron pectinatiforme;;;FALSCH;217
218;AGROSP.;Agropyron sp.;Agropyron sp.;;;FALSCH;218
219;AGRSGIT;Agrostemma githago;Agrostemma githago;;;FALSCH;219
220;AGRSGIH;Agrost githag v. linic;Agrostemma githago var. linicola;;;FALSCH;220
221;AGRSSP.;Agrostemma sp.;Agrostemma sp.;;;FALSCH;221
222;AGRTAGR;Agrostis agrostiflora;Agrostis agrostiflora;;;FALSCH;222
223;AGRTALI;Agrostis alpina ag.;Agrostis alpina agg.;;;FALSCH;223
224;AGRTALP;Agrostis alpina;Agrostis alpina;;;FALSCH;224
225;AGRTCAI;Agrostis canina ag.;Agrostis canina agg.;;;FALSCH;225
226;AGRTCAN;Agrostis canina;Agrostis canina;;;FALSCH;226
227;AGRTCAP;Agrostis capillaris;Agrostis capillaris;;;FALSCH;227
228;AGRTCAS;Agrostis castellana;Agrostis castellana;;;FALSCH;228
229;AGRTGIG;Agrostis gigantea;Agrostis gigantea;;;FALSCH;229
230;AGRTHYE;Agrostis hyemalis;Agrostis hyemalis;;;FALSCH;230
231;AGRTRUP;Agrostis rupestris;Agrostis rupestris;;;FALSCH;231
232;AGRTSCH;Agrostis schleicheri;Agrostis schleicheri;;;FALSCH;232
233;AGRTSTL;Agrostis stolonife ag.;Agrostis stolonifera agg.;;;FALSCH;233
234;AGRTSTO;Agrostis stolonifera;Agrostis stolonifera;;;FALSCH;234
235;AGRTVIN;Agrostis vinealis;Agrostis vinealis;;;FALSCH;235
236;AGRTNEB;Agrostis nebulosa;Agrostis nebulosa;;;FALSCH;236
237;AGRTSP.;Agrostis sp.;Agrostis sp.;;;FALSCH;237
238;AGYRRUF;Agyrium rufum;Agyrium rufum;;;FALSCH;238
239;AGYRSP.;Agyrium sp.;Agyrium sp.;;;FALSCH;239
240;AILAALT;Ailanthus altissima;Ailanthus altissima;;;FALSCH;240
241;AILASP.;Ailanthus sp.;Ailanthus sp.;;;FALSCH;241
242;AIRACAR;Aira caryophyllea;Aira caryophyllea;;;FALSCH;242
243;AIRAELE;Aira elegantissima;Aira elegantissima;;;FALSCH;243
244;AIRAPRA;Aira praecox;Aira praecox;;;FALSCH;244
245;AIRASP.;Aira sp.;Aira sp.;;;FALSCH;245
246;AJUGCHA;Ajuga chamaepitys;Ajuga chamaepitys;;;FALSCH;246
247;AJUGGEN;Ajuga genevensis;Ajuga genevensis;;;FALSCH;247
248;AJUGPYR;Ajuga pyramidalis;Ajuga pyramidalis;;;FALSCH;248
249;AJUGREP;Ajuga reptans;Ajuga reptans;;;FALSCH;249
250;AJUGSP.;Ajuga sp.;Ajuga sp.;;;FALSCH;250
251;ALCEBIE;Alcea biennis;Alcea biennis;;;FALSCH;251
252;ALCEROS;Alcea rosea;Alcea rosea;;;FALSCH;252
253;ALCESP.;Alcea sp.;Alcea sp.;;;FALSCH;253
254;ALCHACR;Alchemilla acrodon;Alchemilla acrodon;;;FALSCH;254
255;ALCHACU;Alchemilla acutata;Alchemilla acutata;;;FALSCH;255
256;ALCHAGG;Alchemilla aggregata;Alchemilla aggregata;;;FALSCH;256
257;ALCHALP;Alchemilla alpigena;Alchemilla alpigena;;;FALSCH;257
258;ALCHALN;Alchemilla alpina ag.;Alchemilla alpina agg.;;;FALSCH;258
259;ALCHALI;Alchemilla alpina;Alchemilla alpina;;;FALSCH;259
260;ALCHANS;Alchemilla anisiaca;Alchemilla anisiaca;;;FALSCH;260
261;ALCHANT;Alchemilla antiropata;Alchemilla antiropata;;;FALSCH;261
262;ALCHATR;Alchemilla atrovirens;Alchemilla atrovirens;;;FALSCH;262
263;ALCHBAL;Alchemilla baltica;Alchemilla baltica;;;FALSCH;263
264;ALCHCAT;Alchemilla cataractaru;Alchemilla cataractarum;;;FALSCH;264
265;ALCHCIN;Alchemilla cinerea;Alchemilla cinerea;;;FALSCH;265
266;ALCHCOL;Alchemilla colorata;Alchemilla colorata;;;FALSCH;266
267;ALCHCOM;Alchemilla compta;Alchemilla compta;;;FALSCH;267
268;ALCHCON;Alchemill conjunct ag.;Alchemilla conjuncta agg.;;;FALSCH;268
269;ALCHCOI;Alchemilla connivens;Alchemilla connivens;;;FALSCH;269
270;ALCHCOR;Alchemilla corcontica;Alchemilla corcontica;;;FALSCH;270
271;ALCHCOA;Alchemilla coriacea;Alchemilla coriacea;;;FALSCH;271
272;ALCHCRA;Alchemilla crassa;Alchemilla crassa;;;FALSCH;272
273;ALCHCRI;Alchemilla crinita;Alchemilla crinita;;;FALSCH;273
274;ALCHCUR;Alchemilla curta;Alchemilla curta;;;FALSCH;274
275;ALCHCUT;Alchemilla curtiloba;Alchemilla curtiloba;;;FALSCH;275
276;ALCHCUS;Alchemilla cuspidens;Alchemilla cuspidens;;;FALSCH;276
277;ALCHCYM;Alchemilla cymatophyll;Alchemilla cymatophylla;;;FALSCH;277
278;ALCHDEC;Alchemilla decumbens;Alchemilla decumbens;;;FALSCH;278
279;ALCHEFF;Alchemilla effusa;Alchemilla effusa;;;FALSCH;279
280;ALCHEXI;Alchemilla exigua;Alchemilla exigua;;;FALSCH;280
281;ALCHFAL;Alchemilla fallax;Alchemilla fallax;;;FALSCH;281
282;ALCHFIL;Alchemilla filicaulis;Alchemilla filicaulis;;;FALSCH;282
283;ALCHFII;Alchem filica s. filic;Alchemilla filicaulis ssp. filicaulis;;;FALSCH;283
284;ALCHFIC;Alchem filica s. vesti;Alchemilla filicaulis ssp. vestita;;;FALSCH;284
285;ALCHFIA;Alchemilla fissa ag.;Alchemilla fissa agg.;;;FALSCH;285
286;ALCHFIS;Alchemilla fissa;Alchemilla fissa;;;FALSCH;286
287;ALCHFLA;Alchemilla flabellata;Alchemilla flabellata;;;FALSCH;287
288;ALCHFLC;Alchemilla flaccida;Alchemilla flaccida;;;FALSCH;288
289;ALCHGLA;Alchemilla glabra;Alchemilla glabra;;;FALSCH;289
290;ALCHGLC;Alchemilla glacialis;Alchemilla glacialis;;;FALSCH;290
291;ALCHGLU;Alchemilla glaucescens;Alchemilla glaucescens;;;FALSCH;291
292;ALCHGLO;Alchemilla glomerulans;Alchemilla glomerulans;;;FALSCH;292
293;ALCHGRA;Alchemilla gracillima;Alchemilla gracillima;;;FALSCH;293
294;ALCHGRO;Alchemilla grossidens;Alchemilla grossidens;;;FALSCH;294
295;ALCHGRU;Alchemilla gruneica;Alchemilla gruneica;;;FALSCH;295
296;ALCHHIR;Alchemilla hirtipes;Alchemilla hirtipes;;;FALSCH;296
297;ALCHHOP;Alchemilla hoppeana;Alchemilla hoppeana;;;FALSCH;297
298;ALCHHYB;Alchemilla hybrida ag.;Alchemilla hybrida agg.;;;FALSCH;298
299;ALCHIMP;Alchemilla impexa;Alchemilla impexa;;;FALSCH;299
300;ALCHINC;Alchemilla incisa;Alchemilla incisa;;;FALSCH;300
301;ALCHINO;Alchemilla inconcinna;Alchemilla inconcinna;;;FALSCH;301
302;ALCHKER;Alchemilla kerneri;Alchemilla kerneri;;;FALSCH;302
303;ALCHLIN;Alchemilla lineata;Alchemilla lineata;;;FALSCH;303
304;ALCHLON;Alchemilla longana;Alchemilla longana;;;FALSCH;304
305;ALCHLOI;Alchemilla longituba;Alchemilla longituba;;;FALSCH;305
306;ALCHMAT;Alchemilla matreiensis;Alchemilla matreiensis;;;FALSCH;306
307;ALCHMAU;Alchemilla maureri;Alchemilla maureri;;;FALSCH;307
308;ALCHMIC;Alchemilla micans;Alchemilla micans;;;FALSCH;308
309;ALCHMOI;Alchemilla mollis;Alchemilla mollis;;;FALSCH;309
310;ALCHMOT;Alchemilla monticola;Alchemilla monticola;;;FALSCH;310
311;ALCHNIT;Alchemilla nitida;Alchemilla nitida;;;FALSCH;311
312;ALCHNOR;Alchemilla norica;Alchemilla norica;;;FALSCH;312
313;ALCHOBS;Alchemilla obscura;Alchemilla obscura;;;FALSCH;313
314;ALCHOBO;Alchemilla obsoleta;Alchemilla obsoleta;;;FALSCH;314
315;ALCHOBT;Alchemilla obtusa;Alchemilla obtusa;;;FALSCH;315
316;ALCHOBU;Alchem obtusa s. obtus;Alchemilla obtusa ssp. obtusa;;;FALSCH;316
317;ALCHOBA;Alchem obtusa s. trape;Alchemilla obtusa ssp. trapezialis;;;FALSCH;317
318;ALCHOTH;Alchemilla othmarii;Alchemilla othmarii;;;FALSCH;318
319;ALCHPAL;Alchemilla pallens;Alchemilla pallens;;;FALSCH;319
320;ALCHPEN;Alchemilla pentaphylle;Alchemilla pentaphyllea;;;FALSCH;320
321;ALCHPHI;Alchemilla philonotis;Alchemilla philonotis;;;FALSCH;321
322;ALCHPLA;Alchemilla platygyria;Alchemilla platygyria;;;FALSCH;322
323;ALCHPLI;Alchemilla plicata;Alchemilla plicata;;;FALSCH;323
324;ALCHPRO;Alchemilla propinqua;Alchemilla propinqua;;;FALSCH;324
325;ALCHREN;Alchemilla reniformis;Alchemilla reniformis;;;FALSCH;325
326;ALCHRHE;Alchemilla rhododendro;Alchemilla rhododendrophila;;;FALSCH;326
327;ALCHRUB;Alchemilla rubristipul;Alchemilla rubristipula;;;FALSCH;327
328;ALCHSAX;Alchemilla saxatilis;Alchemilla saxatilis;;;FALSCH;328
329;ALCHSEM;Alchemilla semihirta;Alchemilla semihirta;;;FALSCH;329
330;ALCHSEI;Alchemilla semisecta;Alchemilla semisecta;;;FALSCH;330
331;ALCHSER;Alchemilla sericoneura;Alchemilla sericoneura;;;FALSCH;331
332;ALCHSIN;Alchemilla sinuata;Alchemilla sinuata;;;FALSCH;332
333;ALCHSPN;Alchemill splenden ag.;Alchemilla splendens agg.;;;FALSCH;333
334;ALCHSPL;Alchemilla splendens;Alchemilla splendens;;;FALSCH;334
335;ALCHSTI;Alchemilla stiriaca;Alchemilla stiriaca;;;FALSCH;335
336;ALCHSTR;Alchemilla straminea;Alchemilla straminea;;;FALSCH;336
337;ALCHSTG;Alchemilla strigosula;Alchemilla strigosula;;;FALSCH;337
338;ALCHSUA;Alchemilla suavis;Alchemilla suavis;;;FALSCH;338
339;ALCHSUC;Alchemilla subcrenata;Alchemilla subcrenata;;;FALSCH;339
