SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
9299;RINOINS;Rinodina insularis;Rinodina insularis;;;FALSCH;9299
9300;RINOIOD;Rinodina iodes;Rinodina iodes;;;FALSCH;9300
9301;RINOLEC;Rinodina lecanorina;Rinodina lecanorina;;;FALSCH;9301
9302;RINOLUR;Rinodina luridata;Rinodina luridata;;;FALSCH;9302
9303;RINOMAL;Rinodina malangica;Rinodina malangica;;;FALSCH;9303
9304;RINOMIL;Rinodina milvina;Rinodina milvina;;;FALSCH;9304
9305;RINOMNI;Rinodina mniaraea;Rinodina mniaraea;;;FALSCH;9305
9306;RINOMNA;Rinodi mniara v. mniar;Rinodina mniaraea var. mniaraea;;;FALSCH;9306
9307;RINOMNR;Rinodi mniara v. mniar;Rinodina mniaraea var. mniareiza;;;FALSCH;9307
9308;RINOMUC;Rinodina mucronulata;Rinodina mucronulata;;;FALSCH;9308
9309;RINOOBN;Rinodina obnascens;Rinodina obnascens;;;FALSCH;9309
9310;RINOOLI;Rinodina olivaceobrunn;Rinodina olivaceobrunnea;;;FALSCH;9310
9311;RINOORC;Rinodina orcularia;Rinodina orcularia;;;FALSCH;9311
9312;RINOORU;Rinodina orculata;Rinodina orculata;;;FALSCH;9312
9313;RINOOXY;Rinodina oxydata;Rinodina oxydata;;;FALSCH;9313
9314;RINOPAR;Rinodina parasitica;Rinodina parasitica;;;FALSCH;9314
9315;RINOPAV;Rinodina parvula;Rinodina parvula;;;FALSCH;9315
9316;RINOPLA;Rinodina plana;Rinodina plana;;;FALSCH;9316
9317;RINOPOE;Rinodina poeltiana;Rinodina poeltiana;;;FALSCH;9317
9318;RINOPOL;Rinodina polyspora;Rinodina polyspora;;;FALSCH;9318
9319;RINOPYR;Rinodina pyrina;Rinodina pyrina;;;FALSCH;9319
9320;RINORIN;Rinodina rinodinoidea;Rinodina rinodinoidea;;;FALSCH;9320
9321;RINOROB;Rinodina roboris;Rinodina roboris;;;FALSCH;9321
9322;RINOROS;Rinodina roscida;Rinodina roscida;;;FALSCH;9322
9323;RINOSEP;Rinodina septentrional;Rinodina septentrionalis;;;FALSCH;9323
9324;RINOSER;Rinodina serpentini;Rinodina serpentini;;;FALSCH;9324
9325;RINOSOP;Rinodina sophodes;Rinodina sophodes;;;FALSCH;9325
9326;RINOSTR;Rinodina straussii;Rinodina straussii;;;FALSCH;9326
9327;RINOTEI;Rinodina teichophila;Rinodina teichophila;;;FALSCH;9327
9328;RINOTRA;Rinodina trachytica;Rinodina trachytica;;;FALSCH;9328
9329;RINOTRE;Rinodina trevisanii;Rinodina trevisanii;;;FALSCH;9329
9330;RINOTUR;Rinodina turfacea;Rinodina turfacea;;;FALSCH;9330
9331;RINOVEZ;Rinodina vezdae;Rinodina vezdae;;;FALSCH;9331
9332;RINOZWA;Rinodina zwackhiana;Rinodina zwackhiana;;;FALSCH;9332
9333;RINOSP.;Rinodina sp.;Rinodina sp.;;;FALSCH;9333
9334;RINDCON;Rinodinella controvers;Rinodinella controversa;;;FALSCH;9334
9335;RINDSP.;Rinodinella sp.;Rinodinella sp.;;;FALSCH;9335
9336;ROBIPSE;Robinia pseudacacia;Robinia pseudacacia;;;FALSCH;9336
9337;ROBIVIS;Robinia viscosa;Robinia viscosa;;;FALSCH;9337
9338;ROBISP.;Robinia sp.;Robinia sp.;;;FALSCH;9338
9339;ROCHDIS;Rochelia disperma;Rochelia disperma;;;FALSCH;9339
