name	author	association	suballiance	alliance	order	class
Chamaesyco humifusae-Oxalidetum corniculatae		TRUE	FALSE	FALSE	FALSE	FALSE
Matricario chamomillae-Chenopodion albi		FALSE	FALSE	TRUE	FALSE	FALSE
Matricario chamomillae-Atriplicetum littoralis		TRUE	FALSE	FALSE	FALSE	FALSE
Carex hirta-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Cynodon dactylon-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Bothriochloa ischaemum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Digitaria sanguinalis-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrietalia		FALSE	FALSE	FALSE	TRUE	FALSE
Sisymbrion officinalis		FALSE	FALSE	TRUE	FALSE	FALSE
Capsello-Descurainietum sophiae		TRUE	FALSE	FALSE	FALSE	FALSE
Elymo repentis-Sisymbrietum loeselii		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrietum altissimi		TRUE	FALSE	FALSE	FALSE	FALSE
Erigeronto-Lactucetum serriolae		TRUE	FALSE	FALSE	FALSE	FALSE
Lactuco-Diplotaxietum tenuifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Hordeetum murini		TRUE	FALSE	FALSE	FALSE	FALSE
Linario vulgaris-Brometum tectorum		TRUE	FALSE	FALSE	FALSE	FALSE
Polygono arenastri-Lepidietum ruderalis		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrium officinale-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Atriplicion nitentis		FALSE	FALSE	TRUE	FALSE	FALSE
Cynodonto-Atriplicetum tataricae		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrio-Atriplicetum nitentis		TRUE	FALSE	FALSE	FALSE	FALSE
Chenopodietum stricti		TRUE	FALSE	FALSE	FALSE	FALSE
Atriplicetum roseae		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrio-Atriplicetum oblongifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Kochietum densiflorae		TRUE	FALSE	FALSE	FALSE	FALSE
Bromo tectorum-Sisymbrietum orientalis		TRUE	FALSE	FALSE	FALSE	FALSE
Malvion neglectae		FALSE	FALSE	TRUE	FALSE	FALSE
Hyoscyamo nigri-Malvetum neglectae		TRUE	FALSE	FALSE	FALSE	FALSE
Malvetum pusillae		TRUE	FALSE	FALSE	FALSE	FALSE
Malvo neglectae-Chenopodietum vulvariae		TRUE	FALSE	FALSE	FALSE	FALSE
Atriplex patula-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Solanum lycopersicum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Chenopodium album-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Tripleurospermum inodorum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Bromus sterilis-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Artemisietea vulgaris		FALSE	FALSE	FALSE	FALSE	TRUE
Onopordetalia acanthii		FALSE	FALSE	FALSE	TRUE	FALSE
Onopordion acanthii		FALSE	FALSE	TRUE	FALSE	FALSE
Onopordetum acanthii		TRUE	FALSE	FALSE	FALSE	FALSE
Lappulo heteracanthae-Onopordetum acanthii		TRUE	FALSE	FALSE	FALSE	FALSE
Potentillo argenteae-Artemisietum absinthii		TRUE	FALSE	FALSE	FALSE	FALSE
Salvio-Marrubietum peregrini		TRUE	FALSE	FALSE	FALSE	FALSE
Cirsietum eriophori		TRUE	FALSE	FALSE	FALSE	FALSE
Lappulo echinatae-Cynoglossetum		TRUE	FALSE	FALSE	FALSE	FALSE
Erysimo wittmannii-Hackelion		FALSE	FALSE	TRUE	FALSE	FALSE
Hackelio deflexae-Chenopodietum foliosi		TRUE	FALSE	FALSE	FALSE	FALSE
Cynoglosso-Chenopodietum boni-henrici		TRUE	FALSE	FALSE	FALSE	FALSE
Dauco-Melilotion		FALSE	FALSE	TRUE	FALSE	FALSE
Echio-Melilotetum		TRUE	FALSE	FALSE	FALSE	FALSE
Tanaceto-Artemisietum vulgaris		TRUE	FALSE	FALSE	FALSE	FALSE
Dauco-Picridetum		TRUE	FALSE	FALSE	FALSE	FALSE
Berteroetum incanae		TRUE	FALSE	FALSE	FALSE	FALSE
Dauco-Crepidetum rhoeadifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Cerintho-Vicietum villosae		TRUE	FALSE	FALSE	FALSE	FALSE
Poo compressae-Tussilaginetum		TRUE	FALSE	FALSE	FALSE	FALSE
Arction lappae		FALSE	FALSE	TRUE	FALSE	FALSE
Arctietum lappae		TRUE	FALSE	FALSE	FALSE	FALSE
Arctio-Artemisietum vulgaris		TRUE	FALSE	FALSE	FALSE	FALSE
Cirsietum lanceolati-arvensis		TRUE	FALSE	FALSE	FALSE	FALSE
Hyoscyamo-Conietum maculati		TRUE	FALSE	FALSE	FALSE	FALSE
Balloto-Malvetum sylvestris		TRUE	FALSE	FALSE	FALSE	FALSE
Balloto-Marrubietum vulgaris		TRUE	FALSE	FALSE	FALSE	FALSE
Urtico urentis-Chenopodietum boni-henrici		TRUE	FALSE	FALSE	FALSE	FALSE
Carduus acanthoides-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Calamagrostis epigejos-(Onopordetalia)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Equisetum arvense-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Erigeron annuus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Poa compressa-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Solidago canadensis-(Onopordetalia)-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Agropyretalia repentis		FALSE	FALSE	FALSE	TRUE	FALSE
Convolvulo-Agropyrion repentis		FALSE	FALSE	TRUE	FALSE	FALSE
Lepidio drabae-Agropyretum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
Falcario vulgaris-Agropyretum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
Diplotaxidi tenuifoliae-Agropyretum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
Convolvulo-Brometum inermis		TRUE	FALSE	FALSE	FALSE	FALSE
Melico transsilvanicae-Agropyretum repentis		TRUE	FALSE	FALSE	FALSE	FALSE
Poo compressae-Anthemidetum tinctoriae		TRUE	FALSE	FALSE	FALSE	FALSE
Elymo repentis-Seselietum libanotis		TRUE	FALSE	FALSE	FALSE	FALSE
Agropyro-Kochion		FALSE	FALSE	TRUE	FALSE	FALSE
Agropyro cristati-Kochietum prostratae		TRUE	FALSE	FALSE	FALSE	FALSE
Elymus repens-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Camalagrostis epigejos-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Galio-Urticetea		FALSE	FALSE	FALSE	FALSE	TRUE
Lamio albi-Chenopodietalia boni-henrici		FALSE	FALSE	FALSE	TRUE	FALSE
Galio-Alliarion		FALSE	FALSE	TRUE	FALSE	FALSE
Sambucetum ebuli		TRUE	FALSE	FALSE	FALSE	FALSE
Conio-Chaerophylletum bulbosi		TRUE	FALSE	FALSE	FALSE	FALSE
Alliario-Chaerophylletum temuli		TRUE	FALSE	FALSE	FALSE	FALSE
Anthriscetum trichospermi		TRUE	FALSE	FALSE	FALSE	FALSE
Lactuco-Anthriscetum caucalidis		TRUE	FALSE	FALSE	FALSE	FALSE
Anthrisco-Asperugetum procumbentis		TRUE	FALSE	FALSE	FALSE	FALSE
Torilidetum japonicae		TRUE	FALSE	FALSE	FALSE	FALSE
Urtico-Cruciatetum laevipedis		TRUE	FALSE	FALSE	FALSE	FALSE
Urtico-Parietarietum officinalis		TRUE	FALSE	FALSE	FALSE	FALSE
Alliaria petiolata-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Impatiens parviflora-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Chelidonium majus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Impatienti noli-tangere-Stachyion sylvaticae		FALSE	FALSE	TRUE	FALSE	FALSE
Epilobio-Geranietum robertiani		TRUE	FALSE	FALSE	FALSE	FALSE
Cephalarietum pilosae		TRUE	FALSE	FALSE	FALSE	FALSE
Circaeetum lutetianae		TRUE	FALSE	FALSE	FALSE	FALSE
Campanulo rapunculoidis-Brachypodietum sylvatici		TRUE	FALSE	FALSE	FALSE	FALSE
Aegopodion podagrariae		FALSE	FALSE	TRUE	FALSE	FALSE
Chaerophylletum aromatici		TRUE	FALSE	FALSE	FALSE	FALSE
Chaerophylletum aurei		TRUE	FALSE	FALSE	FALSE	FALSE
Aegopodio-Anthriscetum nitidi		TRUE	FALSE	FALSE	FALSE	FALSE
Geranio phaei-Urticetum		TRUE	FALSE	FALSE	FALSE	FALSE
Urtico-Lamietum albi		TRUE	FALSE	FALSE	FALSE	FALSE
Sisymbrietum strictissimi		TRUE	FALSE	FALSE	FALSE	FALSE
Aegopodio-Menthetum longifoliae		TRUE	FALSE	FALSE	FALSE	FALSE
Euphorbietum strictae		TRUE	FALSE	FALSE	FALSE	FALSE
Phalarido-Petasitetum officinalis		TRUE	FALSE	FALSE	FALSE	FALSE
Aegopodium podagraria-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Elymus caninus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Anthriscus sylvestris-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Galeopsis pubescens-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Galeopsis speciosa-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Acer negundo-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Ailanthus altissima-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Buddleja davidii-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Lycium barbarum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Sambucus nigra-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Convolvuletalia sepium		FALSE	FALSE	FALSE	TRUE	FALSE
Senecionion fluviatilis		FALSE	FALSE	TRUE	FALSE	FALSE
Cuscuto europaeae-Convolvuletum sepium		TRUE	FALSE	FALSE	FALSE	FALSE
Senecionetum fluviatilis		TRUE	FALSE	FALSE	FALSE	FALSE
Convolvulo-Archangelicetum		TRUE	FALSE	FALSE	FALSE	FALSE
Convolvulo-Epilobietum hirsuti		TRUE	FALSE	FALSE	FALSE	FALSE
Convolvulo-Eupatorietum cannabini		TRUE	FALSE	FALSE	FALSE	FALSE
Artemisia verlotiorum-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Aster lanceolatus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
Humulus lupulus-Gesellschaft		TRUE	FALSE	FALSE	FALSE	FALSE
