syntaxon;tv.code
Seslerietea albicantis;28
Seslerietalia coeruleae;281
Caricion firmae;2811
Seslerion coeruleae;2812
Caricion austroalpinae;2813
Caricion ferrugineae;2814
Calamagrostion variae;2815
Rhododendro hirsuti-Ericetalia;282
Ericion carneae;2821
Loiseleurio-Vaccinietea;29
Rhododendro-Vaccinietalia;291
Loiseleurio-Vaccinion;2911
Rhododendro-Vaccinion;2912
Juniperion nanae;2913
Mulgedio-Aconitetea;30
Adenostyletalia;301
Adenostylion alliariae;3011
Calamagrostietalia villosae;302
Calamagrostion villosae;3021
Calamagrostion arundinaceae;3022
Rumicetalia alpini;303
Rumicion alpini;3031
Salicetea purpureae;31
Salicetalia purpureae;311
Salicion triandrae;3111
Salicion albae;3112
Salicion eleagno-daphnoidis;3113
Franguletea;32
Salicetalia auritae;321
Salicion cinereae;3211
Salicion auritae;3212
Lonicero-Rubetea plicati;33
Rubetalia plicati;331
Lonicero-Rubion;3311
Rhamno-Prunetea;34
Prunetalia spinosae;341
Prunion fruticosae;3411
Berberidion;3412
Carpino-Prunion;3413
Arctio-Sambucion nigrae;3414
Sambucetalia racemosae;342
Populo-Corylion;3421
Sambuco-Salicion capreae;3422
Vorw„lder;3423
Betulo-Alnetea viridis;35
Alnetalia viridis;351
Alnion viridis;3511
Salicion pentandrae;3512
Alnetea glutinosae;36
Alnetalia glutinosae;361
Alnion glutinosae;3611
Sphagno-Betuletalia pubescentis;362
Betulion pubescentis;3621
Querco-Fagetea;37
Quercetalia pubescentis;371
Fraxino orni-Ostryion;3711
Quercion pubescenti-petraeae;3712
Quercetalia roboris;372
Quercion roboris;3721
Fagetalia sylvaticae;373
Alnion incanae;3731
Tilio-Acerion;3732
Carpinion;3733
Fagion sylvaticae;3734
Erico-Pinetea;38
Astragalo-Pinetalia;381
Ononido-Pinion;3811
Erico-Pinetalia;382
Erico-Pinion;3821
Vaccinio-Pinetalia;383
Dicrano-Pinion;3831
Vaccinio uliginosi-Pinetea;39
Vaccinio uliginosi-Pinetalia;391
Vaccinio uliginosi-Pinion;3911
Vaccinio-Piceetea;40
Piceetalia;401
Abieti-Piceion;4011
Vaccinio-Piceion;4012
Junipero-Pinetalia mugo;402
Pinion mugo;4021
Pino mugo-Sphagnetum;4022
anthropogene Vegetation;991
waldfreie Feucht-Vegetation;992
alpine Vegetation;993
Geh”lzvegetation;994
