abbr;layer;comment;13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
clin alpi alpi;hl;Clinopodium alpinum;;;;+;;2m;;1;+;;;;;+;;;;;;;;;;+;+;+;;+;+;+;;;;r;+;+;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
clin vulg vulg;hl;Clinopodium vulgare;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;+;r;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;+;;;;;+;;;;+;;;;;;r;;;;+;;;;;+;;;;;r;;;;;;;;
conv maja maja;hl;Convallaria majalis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
cory avel;hl;Corylus avellana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;r;;;;;;;
crat mono;hl;Crataegus monogyna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;;;;;;;;;;;;;;;;;;;;;;;
cyan mont;hl;Cyanus montanus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;;+;;;;;+;;;;;;;;;;;;;;;;;;;;
dact glom glom;hl;Dactylis glomerata ssp. glomerata;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
daph meze;hl;Daphne mezereum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;r;;;;r;;+;;;;+;;;1;;;1;;;r;+;+;1;;;;;;;;;;;;;1;;;;;;+;;;;;;;1;r;;;+;;;;;;;;;r;;
drya octo;hl;Dryas octopetala;;;+;;;;;;;;;+;;;+;;;;2b;;+;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
epip atro;hl;Epipactis atrorubens;;;;;;r;r;;;;;;;;+;;;;+;;;r;+;+;+;;;;r;;;;;r;+;;;+;;r;r;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
epip hell hell;hl;Epipactis helleborine s.str;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;r;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;+;;;r;;;;;+;;;;;;;;;;;;;;r;;;;;;;;;
eric carn;hl;Erica carnea;;+;;;;r;;r;+;;+;+;;+;;2b;+;2b;1;1;+;1;;;;;;+;;+;+;;;+;;+;2a;1;1;1;+;;+;1;;;+;2a;2b;2a;+;+;1;+;;;;1;2b;1;1;1;2a;+;1;1;1;+;+;;+;1;+;;;+;+;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eupa cann;hl;Eupatorium cannabinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;
euph amyg amyg;hl;Euphorbia amygdaloides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;+;;;;;;;;;+;;+;;+;;;r;+;+;;;;;r;1;+;;;+;;;;1;+;;+;;;+;;1;;;;;;1;;+;1;1;1;;;;+;+;+;+;;
euph cypa;hl;Euphorbia cyparissias;;;;;;1;+;+;+;+;1;;1;1;2a;+;;+;+;1;1;+;2b;1;+;2a;2b;+;1;1;1;2a;1;+;1;1;1;1;1;2a;+;2a;1;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;+;1;;1;+;+;;;;;;+;+;+;;+;;;;;;;;;;;;;;;;;;;
euph sali;hl;Euphrasia salisburgensis;;;;;;;;;;;;+;+;;+;+;+;+;1;1;;+;;+;;;;+;;;;+;+;;;;;;;;;;;;1;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fagu sylv;hl;Fagus sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;r;;;;;;;;;;;r;1;;;r;;;;;;;+;;;r;;+;;;;;;;+;;;+;;;;;;;;;;+;;;+;+;;;;;;r;;1;r;+;+;;+;;+;;;;+;+;;
fest rubr;hl;Festuca rubra;;;;;;;;;;;;;;;;;;;;;;;;2m;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;
frag vesc;hl;Fragaria vesca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;+;+;;;;r;;;;;+;;;;;;;;;;;;;;
frax exce;hl;Fraxinus excelsior;;;;;;;r;;;;;;;;;;;;;;r;;;r;r;;;;;+;+;;;r;r;+;;r;;;r;;;;;;;;;;;;;1;r;1;+;+;;+;+;+;+;+;;;;;+;r;;;r;r;+;1;;1;+;;+;+;r;1;1;+;1;;;2a;2a;1;1;+;2a;2a;1;1;1;2a;+;2a;1;r;+;2a;;1;2a;+;;+;+;
gale mont;hl;Galeobdolon montanum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;
gali albu;hl;Galium album s.str.;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gali anis;hl;Galium anisophyllon;;;;;r;r;r;+;+;+;1;;;+;+;;+;;;+;+;+;+;+;1;1;;+;1;+;;1;1;+;1;+;+;+;1;1;+;;+;r;+;+;+;;+;+;;;+;;;;+;;r;;;;;;+;;;;;;;+;;+;+;;;r;;;1;+;+;;+;+;;;;;;;;;;;;;;;r;;;;;;;;;;;;;
gali luci;hl;Galium lucidum;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;1;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gali sylv;hl;Galium sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;1;;;;r;;;;;;+;;;;;;;;;
gali veru;hl;Galium verum;;;;;;;;;;;;;;;;;;;;;;;1;2a;;;;;+;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gent ascl;hl;Gentiana asclepiadea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gent cili;hl;Gentianopsis ciliata;;;;;;;;;;+;;r;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;r;
gent clus clus;hl;Gentiana clusii;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
glob cord;hl;Globularia cordifolia;;;+;+;2a;;;;;;;1;2a;;2a;1;+;+;2b;;;+;+;;;;;1;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gymn cono cono;hl;Gymnadenia conopsea ssp. conopsea;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gymn robe;hl;Gymnocarpium robertianum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;+;1;+;;1;+;;+;;;;;;;;;;;;+;+;;;;;;;;;+;;1;;+;2a;;1;;;;;;;;1;;;;;;;;;;;;;;;;;
heli numm obsc;hl;Helianthemum ovatum;;;;;;+;;+;;;;;1;+;;+;;;+;;1;+;2a;2a;1;2a;2a;2a;+;+;+;1;+;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hepa nobi;hl;Hepatica nobilis;;;;;;;+;;;;;;;;;;;;;;;;;;+;;;;;;+;;;;+;+;+;;1;r;+;+;+;+;+;+;+;;;;+;+;+;+;+;1;+;1;+;+;+;;1;+;+;+;+;+;+;1;+;+;+;;1;1;+;+;+;1;1;+;+;+;;1;;1;+;;+;;+;+;+;;+;1;+;+;;+;1;1;+;+;+;1;+;+;+;;1;
hier muro;hl;Hieracium murorum;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;r;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;r;;;+;;;1;;1;;;1;
hier pilo sum;hl;Hieracium pilosum;;;+;;;;;;;;;+;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hipp como;hl;Hippocrepis comosa;;;;;;;;;;;;1;1;;;;;+;;+;;;;;;;;1;+;+;;+;;;;1;+;+;;1;1;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
homa pube pube;hl;Avenula pratensis ssp. pratensis;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hupe sela;hl;Huperzia selago;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;2b
hype perf;hl;Hypericum perforatum;;;;;;;;;;;;;;+;;r;;;;;;;+;+;+;+;+;+;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kern saxa;hl;Kernera saxatilis;;+;;r;;;;;;;r;;;+;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;
knau maxi;hl;Knautia maxima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;;;;;+;;;;;;+;;+;+;;1;+;+;+;+;r;+;;+;1;1;;;1;+;+;1;;;;+;1;;+;1;;;;;;;+;;;+;;;;;;;;;;;;;;;;;
lact mura;hl;Lactuca muralis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;1;;;;;;;;;;
lase lati lati;hl;Laserpitium latifolium ssp. latifolium;;;;;;;;;;+;;;;;;;;;;;;r;1;+;;;+;r;;;r;;+;;1;1;;+;+;r;;;;;+;+;;;;;;;;;;;r;;;;;;;;;r;+;;;;;r;r;;;;+;+;;;;r;+;+;;;;;;r;;;;;;r;;;;;;;;;;;+;;;;;;+;
lath prat prat;hl;Lathyrus pratensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;r;;+;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;
leon hisp slat;hl;Leontodon hispidus;;;+;;;;;;;;;;;;;;;;+;;;;;;;;;1;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;
lili mart;hl;Lilium martagon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;r;;;;;;;;;;;+;;;
linu cath;hl;Linum catharticum;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;r;;;;;;;+;;;;;;;;;;;;;;;;;;;
loni alpi;hl;Lonicera alpigena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;1;2a;1;1;1;;;2a;2a;1;2a;;;;;;;r;;;;;r;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
lotu corn slat;hl;Lotus corniculatus;;;;;;;;;;;r;;+;+;;;;;+;;+;+;1;+;+;;;+;+;+;;+;+;+;+;;+;+;+;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
luzu sylv sylv;hl;Luzula sylvatica s. lat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
medi lupu;hl;Medicago lupulina;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mela sylv;hl;Melampyrum sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;1;;;;+;+;;;2a;;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;+;;1;;;;;;;;1;;;;;;;;2a;;;;;;;;;;;;;;;;;
meli nuta;hl;Melica nutans;;;;;;;+;;;;;;;;;;;;;;;+;;;+;;;;r;;;;;;+;;;;;;+;;+;+;+;;;+;;;1;;;;+;;;+;+;;;;;+;+;;;+;;+;1;1;+;;+;;+;;+;+;;;1;+;;;;;;;;;;;+;;+;;;r;+;;+;;;;;;;;;;+;
merc pere;hl;Mercurialis perennis;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;r;;+;+;;r;+;+;+;+;;;r;2a;;;1;+;r;;;;;r;;1;1;;+;;+;+;+;;1;+;+;+;+;1;+;+;+;+;+;+;;;+;+;+;1;;+;+;+;+;1;+;r;+;1;1;;1;1;+;1;1;1;+;2a;1;+;1;1;1;2a;1;1;1;1;2b;1;+;r
moeh musc;hl;Moehringia muscosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neot nidu;hl;Neottia nidus-avis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;r;;;;;r;;;;;;;;;
onon repe proc;hl;Ononis repens;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
orig vulg;hl;Origanum vulgare ssp. vulgare;;;;;;;;;;;;;;;;;;;;;;;;+;+;1;1;;+;+;1;r;1;+;1;r;+;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
oxal acet;hl;Oxalis acetosella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;
phle prat;hl;Phleum pratense;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
phyt orbi;hl;Phyteuma orbiculare;;;;;;;;;;;;;;;;;;;;r;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;+;;;;+;;;;;;;;;;;;;;;;;;;;+;;;;;;;r;;;;;+;;;+;;;;;;
phyt spic spic;hl;Phyteuma spicatum ssp. spicatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;+;;;;;;;;;
pice abie;hl;Picea abies;;;;;;r;+;r;;;;;;;;;;;;+;;;;;1;;;;;;;;;;;r;;;;r;;;;;;+;;;;;;;1;r;;r;;2a;+;;;2a;;;;;;;r;;+;;;+;r;;;;+;;r;;r;;;;;2b;;;;;;;;;;;;+;+;+;;;+;;;;;;;r;;r
pimp saxi slat;hl;Pimpinella saxifraga s.lat.;;;;;;;;;;;;;;;;;;;;;;;+;+;+;1;+;;;;+;+;+;;+;;;+;;;;1;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;+;;;;;;+;;;;;;;;;;;;;;;;;;;+;;;;;;
ping alpi;hl;Pinguicula alpina;r;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
plan lanc;hl;Plantago lanceolata;;;;;;;;;;;;;;;;;;;;;;;;+;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poly cham;hl;Polygala chamaebuxus;;;;;;r;1;;+;1;+;+;;+;;+;1;+;;+;+;1;;;+;+;;;;+;+;+;+;+;1;+;+;2a;1;1;+;;+;;1;;+;2a;1;1;;+;1;+;;;+;;;;+;1;;+;+;+;+;1;+;;+;1;1;r;1;1;2a;+;;+;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poly odor;hl;Polygonatum odoratum;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poly vert;hl;Polygonatum verticillatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;+;+;+;+;+;r;+;1;;1;1;;;;;+;;+;;;+;;;+;;r;;;+;+;+;1;r;;1;;+;+;1;;;+;+;1;1;+;+;+;+;;;
pote caul;hl;Potentilla caulescens;1;+;1;+;r;r;;+;+;;;;;;;+;r;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pote erec;hl;Potentilla erecta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;1;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;+;;;;+;;;;;;;;;;;;;;;;;;;
pren purp;hl;Prenanthes purpurea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;1;;;;;;;;;;;;;;;r;;;+;;;;;+;;1;;;1;1;r;1;+;1;;+;;+;1;;;;;;
quer robu;hl;Quercus robur;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ranu mont;hl;Ranunculus montanus agg.;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;;;;;;;;;+;;;+;;+;;;+;+;+;r;;;;;;;;;;+;;;;;;r;;;;;;;;;;;;+;+;;;;;;;+;;;r;;;r;;;;+;;;;;;;;;;;;+;;;+;;;;;;
rhod cham;hl;Rhodothamnus chamaecistus;r;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rhod hirs;hl;Rhododendron hirsutum;r;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;3;1;2b;2a;2a;1;1;2a;2b;2a;3;3;4;2b;;3;2b;1;2a;4;1;;2a;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rosa pend;hl;Rosa pendulina;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;1;;+;;;;+;;;;r;r;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;+;1;+;;;r;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;r;;;;;;;;
sali appe;hl;Salix appendiculata;;;r;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scab luci luci;hl;Scabiosa lucida ssp. lucida;;;;;;+;;+;;+;;;;;;;;;+;;;;;;;;;1;;;;1;;+;+;+;+;+;;1;r;;;;1;+;+;;r;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sene ovat ovat;hl;Senecio ovatus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;+;r;+;;;;;;+;
sesl caer;hl;Sesleria caerulea;3;;1;1;+;2a;+;2a;1;2a;1;+;1;+;+;1;3;1;1;2b;2a;1;1;1;2a;2a;+;2a;+;2a;1;1;2a;1;2a;3;4;1;1;2a;+;2a;2a;4;2a;2a;1;2a;1;2a;+;2b;3;+;+;1;2a;;1;;1;+;2b;1;1;1;2a;+;3;+;2b;1;1;1;1;1;+;1;2a;2b;2a;+;1;;;2a;;2a;1;+;+;+;2a;;2a;;1;1;2a;2a;2a;+;+;+;+;;;1;;+;;;+;
sile nuta nuta;hl;Silene nutans s.lat.;;;;;;+;;+;;;;;;;;;;;;;;;+;+;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soli virg virg;hl;Solidago virgaurea ssp. virgaurea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sorb aria;hl;Sorbus aria;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;+;;;r;r;;+;;+;;;;;+;;;;r;;;;;r;;;;;;;;;;+;;;+;;r;;;;;;r;1;;;;;;+;;;;;;;+;;;;;r;;;;;;;;;;;;;;;;;;;;;
sorb aucu aucu;hl;Sorbus aucuparia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;;;;;;r;;;;;;+;;+;;;;+;;;;;;;;;;;;r;;;;;r;;;r;;r;;;+;+;;;;;;;;;;;;;;;r
teuc cham;hl;Teucrium chamaedrys;;;;;;+;;;;;1;;1;+;+;;;;;;;1;1;;+;+;+;;+;2a;2a;;;;1;+;1;2a;1;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;+;;;+;;;;;;;;;;;;;;;;;;;;;;;
thal aqui;hl;Thalictrum aquilegiifolium;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;r;2a;;1;;;;;;;;;;;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;
thal minu saxa;hl;Thalictrum minus ssp. saxatile;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thes alpi;hl;Thesium alpinum;;r;;;;;;;;+;;;;;;+;;+;+;+;+;+;+;+;+;;;;+;;;;;+;+;+;;;;;+;;+;+;;;;+;;+;;+;;;;;;;;;;+;;;+;;;;;;;+;+;;+;;;;;;;;;;;+;;r;;;;;;;;;;;;;;;;;;;;;;;;;;
thym prae prae;hl;Thymus praecox ssp. praecox;;;+;+;1;+;;;2a;2a;1;2a;1;1;+;1;1;1;+;1;1;2a;+;;1;;;2a;+;+;1;1;2a;;+;;;1;;1;;r;1;+;1;1;;;;2a;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;
