class;order;alliance;association;variant
 ; ; ;Ranunculetum fluitantis (Allorge 1922) W. Koch 1926;
 ; ; ;Ranunculo trichophylli-Sietum erecto-submersi Th. Müller 1962;
 ; ; ;Callitrichetum obtusangulae Seibert 1962;
 ; ; ;Callitricho hamulatae-Ranunculetum fluitantis Oberd. 1957;
 ; ; ;Veronico beccabungae-Callitrichetum stagnalis Th. Müller 1962;
 ; ; ;Potamogetonetum colorati Allorge 1922;
 ; ; ;Groenlandietum densae De Bolós 1957;
 ; ; ;Ranunculetum hederacei Schnell 1939;
 ; ; ;Sparganio emersi-Potamogetonetum pectinati Hilbig 1971;
 ; ; ;Callitricho-Ranunculetum penicillati Dethioux et Noirfalise 1985;
 ; ; ;Potamogeton nodosus-Gesellschaft ;
 ; ;Potamogetonion pectinati (W. Koch 1926) Görs 1977;;
 ; ; ;Potamogetonetum filiformis W. Koch 1928;
 ; ; ;Potamogetonetum alpini Podb. 1967;
 ; ; ;Najadetum intermediae Lang 1973;
 ; ; ;Potamo-Zannichellietum palustris W. Koch 1926;
 ; ; ;Potamogetonetum lucentis Hueck 1931;
 ; ; ;Najadetum marinae Fukarek 1961;
 ; ; ;Potamogetonetum trichoidis J. et R. Tx. in R. Tx. 1965;
 ; ; ;Potamogetonetum praelongi Sauer 1937;
 ; ; ;Callitrichetum hermaphroditicae Looman 1985;
 ; ; ;Potamogeton perfoliatus-Gesellschaft ;
 ; ; ;Potamogeton pectinatus-Gesellschaft ;
 ; ; ;Potamogeton obtusifolius-Gesellschaft ;
 ; ; ;Potamogeton acutifolius-Gesellschaft ;
 ; ; ;Potamogeton compressus-Gesellschaft ;
 ; ; ;Ceratophyllum submersum-Gesellschaft ;
 ; ; ;Potamogeton friesii-Gesellschaft ;
 ; ; ;Potamogeton rutilus-Gesellschaft ;
 ; ; ;Potamogeton gramineus-Gesellschaft ;
 ; ; ;Potamogeton pusillus-Gesellschaft ;
 ; ;Nymphaeion albae Oberd. 1957;;
 ; ; ;Nymphaeto albo-Nupharetum luteae Nowinski 1928;
 ; ; ;Nymphoidetum peltatae Bellot 1951 nom. mutat. propos.;
 ; ; ;Trapetum natantis Th. Müller et Görs 1960;
 ; ; ;Potamogetono-Nymphaeetum candidae Hejný 1948;
 ; ; ;Nymphaeetum minoris Vollmar 1947;
 ; ; ;Nupharetum pumilae Oberd. 1957 ex Th. Müller et Görs 1960;
 ; ;Ranunculion aquatilis Passarge 1964;;
 ; ; ;Ranunculetum aquatilis Sauer 1937;
 ; ; ;Ranunculetum peltati (Segal 1965) Weber-Oldecop 1969;
 ; ; ;Hottonietum palustris Tx. 1937;
 ; ; ;Ranunculetum baudotii Hocquette 1927;
Utricularietea intermedio-minoris Den Hartog et Segal 1964 em. Pietsch 1965;;;;
 ;Utricularietalia intermedio-minoris Pietsch 1965;;;
 ; ;Scorpidio-Utricularion minoris Pietsch 1965;;
 ; ; ;Scorpidio-Utricularietum Ilschner ex Müller et Görs 1960;
 ; ; ;Sphagno-Utricularietum stygiae (Schumacher 1937) Oberd. 1957 crr. Dierßen 1996;
 ; ; ;Sparganio minimi-Utricularietum intermedii Tx. 1937;
 ; ; ;Sphagno denticulati-Sparganietum angustifolii Tx. 1937 nom. invers. propos.;
 ; ;Sphagno-Utricularion Th. Müller et Görs 1960;;
Littorelletea Br.-Bl. et Tx. ex Westhoff, Dijk et Paschier 1946;;;;
 ;Littorelletalia W. Koch 1926;;;
 ; ;Deschampsion littoralis Oberd. et Dierßen in Dierßen 1975;;
 ; ; ;Deschampsietum rhenanae Oberd. 1957 ex Th. Müller et Görs 1960;
 ; ;Littorellion uniflorae W. Koch 1926;;
 ; ; ;Isoëtetum echinosporae W. Koch 1925;
 ; ; ;Isoëto-Lobelietum Tx. 1937;
 ; ;Eleocharition acicularis Pietsch 1967;;
 ; ; ;Littorello-Eleocharitetum acicularis Jouanne 1925;
 ; ;Hydrocotylo-Baldellion Tx. et Dierßen in Dierßen 1972;;
 ; ; ;Eleocharitetum multicaulis (Allorge 1922) Tx. 1937;
 ; ; ;Pilularietum globuliferae Tx. 1955 ex Th. Müller et Görs 1960;
 ; ; ;Hyperico-Potamogetonetum polygonifolii Br.-Bl. et Tx. 1952;
 ; ; ;Samolo-Littorelletum Westhoff 1943;
 ; ; ;Ranunculetum ololeuci Weber 1988;
 ; ; ;Scirpetum fluitantis Allorge 1922;
 ; ; ;Carici-Deschampsietum setaceae Pietsch 1964;
Phragmito-Magnocaricetea Klika in Klika et Novák 1941;;;;
 ;Phragmitetalia australis W. Koch 1926;;;
 ; ;Phragmition australis W. Koch 1926;;
 ; ; ;Scirpetum lacustris Chouard 1924;
 ; ; ;Typhetum angustifoliae (Allorge 1922) Pignatti 1953;
 ; ; ;Typhetum latifoliae (Soó 1927) Nowinski 1930;
 ; ; ;Glycerietum maximae Hueck 1931;
 ; ; ;Phragmitetum australis Schmale 1939;
 ; ; ;Glycerio-Sparganietum neglecti Br.-Bl. 1925 em. Philippi 1973;
 ; ; ;Sparganietum erecti Roll 1938;
 ; ; ;Acoretum calami Schulz 1941;
 ; ; ;Cicuto-Caricetum pseudocyperi Boer et Sissingh in Boer 1942;
 ; ; ;Butometum umbellati Konczak 1968;
 ; ; ;Sagittario-Sparganietum emersi Tx. 1953;
 ; ; ;Oenantho-Rorippetum amphibiae Lohmeyer 1950;
 ; ; ;Scirpetum radicantis Hejný in Hejný et Husék 1978;
 ; ; ;Equisetum fluviatile-Gesellschaft ;
 ; ; ;Sium latifolium-Gesellschaft ;
 ; ; ;Hippuridetum vulgaris Rübel 1912;
 ; ; ;Eleocharis palustris-Gesellschaft ;
 ; ; ;Bolboschoenus maritimus-Phragmition australis-Gesellschaft ;
 ; ;Magnocaricion elatae W. Koch 1926;;
 ; ; ;Caricetum elatae W. Koch 1926;
 ; ; ;Caricetum paniculatae Wangerin 1916 ex v. Rochow 1951;
 ; ; ;Galio palustris-Caricetum ripariae Balátová-Tulacková et al. 1993;
 ; ; ;Caricetum oenensis Seibert ex Balátová-Tulacková et al. 1993;
 ; ; ;Caricetum vesicariae Chouard 1924;
 ; ; ;Caricetum gracilis Almquist 1929;
 ; ; ;Caricetum vulpinae Soó 1927;
 ; ; ;Caricetum buekii Hejný et Kopecký 1965;
 ; ; ;Calamagrostidetum canescentis Simon 1960;
 ; ; ;Caricetum acutiformis Eggler 1933;
 ; ; ;Phalaridetum arundinaceae Libbert 1931;
 ; ;Glycerio-Sparganion Br.-Bl. et Sissingh in Boer 1942;;
 ; ; ;Glycerietum fluitantis Eggler 1933;
 ; ; ;Glycerietum plicatae Kulczynski 1928;
 ; ; ;Apietum nodiflori Br.-Bl. ex Boer 1942;
 ; ; ;Nasturtietum officinalis Seibert 1962;
 ; ; ;Leersietum oryzoidis Eggler 1933;
 ; ; ;Catabrosetum aquaticae Lang 1967;
 ; ; ;Glycerietum nemorali-plicatae Kopecký 1972;
 ; ; ;Veronicetum anagallidis-aquaticae Kaiser 1926;
 ; ; ;Veronica beccabunga-Gesellschaft ;
Montio-Cardaminetea Br.-Bl. et Tx. ex Klika 1944;;;;
 ;Montio-Cardaminetalia Pawlowski in Pawlowski et al. 1928;;;
 ; ;Cardamino-Montion Br.-Bl. 1925;;
 ; ; ;Bryo schleicheri-Montietum rivularis Br.-Bl. 1925 nom. invers. propos.;
 ; ; ;Philonotido fontanae-Montietum rivularis Büker et Tx. in Büker 1942;
 ; ; ;Stellario alsines-Montietum fontanae Franzi 1984;
 ; ; ;Arabido bellidifoliae-Cratoneuretum W. Koch 1928 nom. invers. propos.;
 ; ; ;Cochleario pyrenaicae-Cratoneuretum commutati (Oberd. 1957) Th. Müller 1961;
 ;Cardamino-Chrysosplenietalia Hinterlang 1992;;;
 ; ;Caricion remotae Kästner 1941;;
 ; ; ;Pellio-Chrysosplenietum oppositifolii Moor 1959;
 ; ; ;Caricetum remotae (Kästner 1941) Schwickerath 1944;
 ; ; ;Cardamine amara-Gesellschaft ;
Scheuchzerio-Caricetea nigrae Tx. 1937 nom. mutat. propos.;;;;
 ;Scheuchzerietalia palustris Nordhagen 1937;;;
 ; ;Rhynchosporion albae W. Koch 1926;;
 ; ; ;Scheuchzerietum palustris Tx. 1937;
 ; ; ;Sphagno tenelli-Rhynchosporetum albae Osvald 1923 em. Dierßen 1982;
 ; ; ;Scorpidium scorpidioides-Carex elata-Gesellschaft ;
 ; ; ;Carex paupercula-Gesellschaft ;
 ; ;Caricion lasiocarpae Vanden Berghen in Lebrun et al. 1949;;
 ; ; ;Caricetum lasiocarpae Osvald 1923 em. Dierßen 1982;
 ; ; ;Caricetum diandrae Osvald 1923;
 ; ; ;Drepanoclado-Caricetum chordorrhizae Osvald 1925;
 ; ; ;Carex rostrata-Caricion lasiocarpae-Gesellschaft ;
 ; ; ;Cladietum marisci Allorge 1922;
 ; ; ;Carex limosa-Gesellschaft ;
 ; ; ;Eleocharitetum mamillatae Passarge 1999;
 ; ; ;Sphagno-Caricetum appropinquatae (Swartz 1948) Rybnicek 1974;
 ; ; ;Caricetum cespitosae Jaatinen 1950;
 ; ; ;Lysimachio thyrsiflorae-Caricetum aquatilis Neumann ex Dierschke 1967;
 ; ; ;Carex disticha-Caricion lasiocarpae-Gesellschaft ;
 ;Caricetalia nigrae W. Koch 1926 em. Br.-Bl. 1949 nom. mutat. propos.;;;
 ; ;Caricion nigrae W. Koch 1926 em. Klika 1934 nom. mutat. propos.;;
 ; ; ;Eriophoretum scheuchzeri Fries 1913;
 ; ; ;Caricetum nigrae Braun 1915 nom. mutat. propos.;
 ; ; ; ;Caricetum nigrae (Caricetum nigrae s.str.) 
 ; ; ; ;"Caricetum nigrae (""Carici canescenti-Agrostietum caninae Tx. 1937"") "
 ; ; ; ;"Caricetum nigrae (""Salici argenteae-Caricetum nigrae Tx. et Hermann 1939"") Braun 1915 nom. mutat. propos."
 ; ; ;Parnassio-Caricetum nigrae Oberd. 1957;
 ; ; ;Bartsio-Caricetum nigrae Bartsch 1949;
 ; ; ; ;"Bartsio-Caricetum nigrae (""Drepanoclado-Trichophoretum cespitosi Nordhag. 1928"") "
 ; ; ;Caricetum trinervi-nigrae Westhoff 1947;
 ;Caricetalia davallianae Br.-Bl. 1949;;;
 ; ;Caricion davallianae Klika 1934;;
 ; ; ;Junco subnodulosi-Schoenetum nigricantis Allorge 1921 nom. invers. et mutat. propos.;
 ; ; ; ;Junco subnodulosi-Schoenetum nigricantis, Küstenausbildung mit Juncus balticus 
 ; ; ; ;Junco subnodulosi-Schoenetum nigricantis, excl. Küstenausbildung 
 ; ; ;Juncetum subnodulosi W. Koch 1926 em. Oberd. 1957;
 ; ; ;Primulo-Schoenetum ferruginei Oberd. 1957;
 ; ; ;Caricetum davallianae Dutoit 1924;
 ; ; ;Caricetum frigidae Rübel 1911;
 ; ; ;Astero bellidiastri-Saxifragetum mutatae Usinger et Wigger 1961;
 ; ; ;Bartsio-Caricetum davallianae Dietl 1972;
 ; ; ;Eleocharitetum quinqueflorae Lüdi 1921 nom. mutat. propos.;
 ; ; ;Parnassio-Juncetum atricapilli Westhoff ex Westhoff et al. 1995;
 ; ;Caricion maritimae Br.-Bl. in Volk 1939;;
 ; ; ;Juncetum alpini Philippi 1960;
 ; ; ;Equiseto-Typhetum minimae Br.-Bl. in Volk 1940;
 ; ; ;Caricetum microglochinis Nordhagen (1928) 1943;
 ; ; ;Carex capitata-Gesellschaft ;
 ; ; ;Caricetum maritimae Br.-Bl. 1918  [-];
 ; ; ;Carici maritimae-Juncetum baltici Vanden Berghen 1969  [-];
 ; ; ;Juncus arcticus-Gesellschaft   [-];
Molinio-Arrhenatheretea Tx. 1937 em. Tx. 1970;;;;
 ;Molinietalia caeruleae W. Koch 1926;;;
 ; ; ;Sanguisorba officinalis-Silaum silaus-Gesellschaft ;
 ; ;Calthion Tx. 1937;;
 ; ; ;Crepido-Juncetum acutiflori Oberd. 1957;
 ; ; ; ;"Crepido-Juncetum acutiflori (""Anagallido tenellae-Juncetum acutiflori"") "
 ; ; ; ;"Crepido-Juncetum acutiflori (""Caro verticillati-Juncetum acutiflori"") "
 ; ; ; ;"Crepido-Juncetum acutiflori (""Cirsio dissecti-Molinietum"") "
 ; ; ; ;Crepido-Juncetum acutiflori molinietosum 
 ; ; ;Bromo-Senecionetum aquatici Lenski 1953;
 ; ; ;Scirpus sylvaticus-Gesellschaft ;
 ; ; ;Angelico-Cirsietum oleracei Tx. 1937;
 ; ; ;Scirpo-Cirsietum cani Bal.-Tul. 1973 Balátová-Tulácková 1973;
 ; ;Filipendulion ulmariae Segal ex Lohmeyer in Oberd. et al. 1967;;
 ; ; ;Geranio sylvatici-Chaerophylletum hirsuti Kästner 38 em. Niemann et al. 1973;
 ; ; ;Filipendulo-Geranietum palustris W. Koch 1926;
 ; ; ;Valeriano-Polemonietum caerulei Rosskamp 1971;
 ; ; ;Valeriano-Filipenduletum Sissingh in Westhoff et al. 1946 ex van Donselaar 1961;
 ; ;Molinion caeruleae W. Koch 1926;;
 ; ; ;Molinietum caeruleae W. Koch 1926;
 ; ;Cnidion dubii Balátová-Tulacková 1966;;
 ; ; ;Cnidio-Deschampsietum cespitosae Hundt ex Passarge 1960;
 ;Arrhenatheretalia Tx. 1931;;;
 ; ; ;Ranunculus repens-Alopecurus pratensis-Gesellschaft ;
 ; ; ;Poa pratensis-Trisetum-Gesellschaft ;
 ; ; ;Festuca rubra-Agrostis tenuis-Gesellschaft (sensu Glavac 1983);
 ; ; ;Cichorium intybus-Gesellschaft   [-];
 ; ;Arrhenatherion elatioris W. Koch 1926;;
 ; ; ;Arrhenatheretum elatioris Braun 1915;
 ; ; ;Artemisia vulgaris-Arrhenatheretum-Gesellschaft ;
 ; ; ;Leucanthemum-Rumex thyrsiflorus-Gesellschaft (sensu Walther (in Tx. 1955) ex Walther 1977);
 ; ; ;Filipendulo-Ranunculetum polyanthemi (Hundt 1958) Passarge 1960 nom. prov.;
 ; ;Polygono-Trisetion Br.-Bl. et Tx. ex Marschall 1947 nom. invers. propos.;;
 ; ; ;Geranio sylvatici-Trisetetum R. Knapp ex Oberd. 1957;
 ; ; ; ;"Geranio sylvatici-Trisetetum (""Astrantio-Trisetetum"") "
 ; ; ;Festuca rubra-Meum-Gesellschaft ;
 ; ; ;Phleo alpini-Trisetetum   [-];
 ; ;Alchemillo-Poion supinae Ellmauer et Mucina 1993;;
 ; ; ;Alchemillo-Poetum supinae Aichinger 1933;
 ; ;Cynosurion cristati Tx. 1947;;
 ; ; ;Cynosuro-Lolietum Br.-Bl. et De Leeuw 1936;
 ; ; ; ;"Cynosuro-Lolietum (""Festuco commutatae-Cynosuretum"") Tx. in Büker 1942 em. Meis. 1966"
 ; ; ;Crepis capillaris-Festuca rubra-Gesellschaft (sensu Hülbusch et Kienast in Kienast 1978);
 ; ; ;Plantago major-Trifolium repens-Gesellschaft (sensu Oberd. 1971);
 ; ; ;Prunella vulgaris-Plantago major-Gesellschaft ;
 ; ; ;Juncetum tenuis (Diemont, Sissingh et Westhoff 1940) Tx. 1950 nom. mutat. propos.;
 ; ;Poion alpinae Oberd. 1950;;
 ; ; ;Crepido aureae-Festucetum commutatae Lüdi 1948;
 ; ; ;Trifolio-Festucetum violaceae Br.-Bl. in Br.-Bl. et Jenny 1926  [-];
Violetea calaminariae Br.-Bl. et Tx. 1943;;;;
 ;Violetalia calaminariae Br.-Bl. et Tx. 1943;;;
 ; ;Thlaspion calaminariae Ernst 1965;;
 ; ; ;Violetum calaminariae Schwickerath 1931;
 ; ; ;Minuartio-Thlaspietum alpestris Karl Koch 1932;
 ; ;Armerion halleri Ernst 1965;;
 ; ; ;Armerietum halleri Libbert 1930;
 ; ; ;Armerietum bottendorfensis Schubert 1952;
 ; ; ;Armerietum hornburgensis Schubert 1974;
Koelerio-Corynephoretea Klika in Klika et Novák 1941;;;;
 ;Corynephoretalia canescentis Klika 1934 em. Tx. 1962;;;
 ; ;Corynephorion canescentis Klika 1931 em. Tx. 1962;;
 ; ; ;Corniculario aculeatae-Coryneporetum canescentis Steffen 1931 nom. invers. propos.;
 ; ; ;Agrostietum vinealis Kobendza 1930 corr. Kratzert et Dengler 1999;
 ; ; ;Caricetum arenariae Steffen 1931;
 ;Artemisio-Koelerietalia albescentis Sissingh 1974;;;
 ; ;Koelerion albescentis Tx. 1937;;
 ; ; ;Tortulo ruraliformis-Phleetum arenarii Br.-Bl. et De Leeuw 1936;
 ;Thero-Airetalia Rivas Goday 1964;;;
 ; ;Thero-Airion Tx. ex Oberdorfer 1957;;
 ; ; ;Airetum praecocis Schwickerath ex Krausch 1968;
 ; ; ;Airo caryophylleae-Festucetum ovinae Tx 1961;
 ; ; ;Filagini-Vulpietum bromoides Oberdorfer 1938 em. Dengler nom mutat. propos.;
 ; ; ;Vulpietum myuri Philippi 1973;
 ; ; ;Narduretum lachenalii Korneck 1975  [-];
 ; ; ;Agrostio-Tuberarietum Schubert 1974;
 ;Trifolio arvensis-Festucetalia ovinae Moravec 1967;;;
 ; ;Hieracio-Festucion tenuifoliae Doing 1963 em. Dengler 2000;;
 ; ; ;Galio maritimi-Festucetum capillatae Br.-Bl. et De Leeuw 1936 nom. invers. propos.;
 ; ; ;Agrostio-Poetum humilis Tx. ex Menke 1969;
 ; ;Hyperico perforati-Scleranthion perennis Moravec 1967;;
 ; ; ;Festuco-Veronicetum vernae Oberd. ex Moravec 1967;
 ; ; ;Gentiano-Pimpinelletum saxifragae Tx. et Westhoff in Tx. 1967;
 ; ; ;Jasiono montanae-Dianthetum deltoidis Oberd. ex Mucina in Mucina et Kolbek 1993;
 ; ;Plantagini lanceolatae-Festucion brevipilae Passarge 1964 corr. Kratzert et Dengler 1999;;
 ; ; ;Diantho deltoidis-Armerietum elongatae Krausch ex Pötsch 1962 nom. conserv. propos.;
 ; ; ;Sileno otitis-Festucetum brevipilae Libbert 1933 corr. Kratzert et Dengler 1999 nom. invers. propos.;
 ;Sedo acris-Festucetalia Tx. 1951 em. Dengler 2000 nom. invers. propos.;;;
 ; ;Sileno conicae-Cerastion semidecandri Korneck 1974 em. Dengler 2000;;
 ; ; ;Bromo tectorum-Phleetum arenarii Korneck 1974;
 ; ; ;Sileno conicae-Cerastietum semidecandri Korneck 1974;
 ; ; ;Arabidopsietum thalianae Passarge 1964;
 ; ;Koelerion glaucae Volk 1931;;
 ; ; ;Helichryso arenarii-Jasionetum litoralis Libbert 1940;
 ; ; ;Festucetum polesicae Regel 1928;
 ; ; ;Jurineo cyanoidis-Koelerietum glaucae Volk 1930;
 ; ; ;Festuco psammophilae-Koelerietum glaucae Kobendza 1930;
 ;Alysso alyssoidis-Sedetalia albi Moravec 1967;;;
 ; ;Sedo-Scleranthion biennis Br.-Bl. 1955;;
 ; ; ;Sileno rupestris-Sedetum annui Oberd. 1957;
 ; ; ;Sclerantho-Sempervivetum arachnoidei Br.-Bl. 1955;
 ; ; ;Sempervivum tectorum-Gesellschaft ;
 ; ;Sedo albi-Veronicion dillenii Oberd. ex Korneck 1974;;
 ; ; ;Festuco-Veronicetum dillenii Oberd. 1957;
 ; ;Alysso alyssoidis-Sedion albi Oberd. et Th. Müller in Th. Müller 1961;;
 ; ; ;Cerastietum pumili Oberd. et Th. Müller in Th. Müller 1961;
 ; ; ;Alysso alyssoidis-Sedetum albi Oberd. et Th. Müller 1961;
 ; ; ;Poo badensis-Allietum montani Gauckler 1957;
 ; ; ;Saxifrago tridactylitae-Poetum compressae Géhu 1961 nom. invers. propos.;
 ; ; ;Sempervivetum soboliferi Korneck 1975;
 ; ;Diantho-Melicion ciliatae ;;
 ; ; ;Diantho-Festucetum pallentis Gauckler 1938;
 ; ; ;Artemisio-Melicetum ciliatae Korneck 1974;
 ; ; ;Teucrio botryos-Melicetum ciliatae Volk 1937;
Festuco-Brometea Br.-Bl. et Tx. in Br.-Bl. 1949;;;;
 ;Brachypodietalia pinnati Korneck 1974;;;
 ; ; ;Sesleria varia-Brachypodietalia pinnati-Gesellschaft ;
 ; ;Cirsio pannonici-Brachypodion pinnati Hadac et Klika in Klika & Hadac 1944;;
 ; ; ;Adonido vernalis-Brachypodietum pinnati (Libbert 1933) Krausch 1961;
 ; ; ;Adonis vernalis-Brachypodium rupestre-Gesellschaft ;
 ; ;Gentiano amarellae-Avenulion pratensis Royer ex Julve 1993 em. Dengler 2000;;
 ; ; ;Cirsio acaulis-Trifolietum montani Wollert 1964 em. Dengler 2000;
 ; ;Mesobromion erecti (Br.-Bl. et Moor 1938) Oberd. 1949;;
 ; ; ;Mesobrometum Br.-Bl. in Scherrer 1925;
 ; ; ;Gentiano-Koelerietum pyramidatae Knapp 1942 ex Bornkamm 1960 nom. conserv. propos.;
 ; ; ;Viscario-Avenetum pratenis Oberd. 1949;
 ; ;Koelerio-Phleion phleoidis Korneck 1974;;
 ; ; ;Genistello-Phleetum phleoidis Korneck 1974;
 ; ; ;Agrostio-Brometum Issler 1929  [-];
 ; ;Xerobromion (Br.-Bl. et Moor 1938) Moravec in Holub et al. 1967;;
 ; ; ;Xerobrometum Br.-Bl. 1915 em. 1931;
 ; ; ;Trinio-Caricetum humilis Volk in Br.-Bl. et Moor 1938;
 ; ; ;Artemisio albae-Koelerietum vallesianae Oberd. 1957 ex Witschel 1993  [-];
 ; ; ;Teucrio-Seslerietum Volk 1937;
 ; ; ;Bromo-Seslerietum (Kuhn 1937) Oberd. 1957 nom. invers. propos.;
 ;Festucetalia valesiacae Br.-Bl. et Tx. ex Br.-Bl. 1949 em. Mucina et Kolbek in Mucina et al. 1993;;;
 ; ;Festucion valesiacae Klika 1931 em. Klika 1955;;
 ; ; ;Potentillo arenariae-Stipetum capillatae . (Hueck 1931) Libbert 1933 nom. invers. propos.;
 ; ; ;Allio-Stipetum capillatae (Knapp 1944) Korneck 1974;
 ; ; ;Festuco valesiacae-Stipetum capillatae (Libbert 1931) Mahn 1959;
 ; ;Seslerio-Festucion pallentis Klika 1931 em. Korneck 1974;;
 ; ; ;Alysso montani-Festucetum pallentis Preising 1939 corr.;
 ; ; ;Allio stricti-Festucetum pannonicae Knapp 1971 corr. Oberd. 1979;
 ; ; ;Leontodonto-Brometum Volk in Br.-Bl. et Luser 1938;
 ; ; ;Carduo deflorati-Seslerietum albicantis variae Knapp 1971;
 ; ; ;Carlino-Caricetum sempervirentis Lutz et Paul 1947;
 ; ;Stipo-Poion xerophilae Br.-Bl. et Tx. 1943  [-];;
Seslerietea albicantis Br.-Bl. 1948 corr. Oberd. 1978;;;;
 ;Seslerietalia coeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ; ;Caricetum firmae Rübel 1911;
 ; ;Seslerion coeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Seslerio-Caricetum sempervirentis Br.-Bl. in Br.-Bl. et Jenny 1926;
 ; ; ;Valeriano-Seslerietum Oberd. ex Grabherr et al. 1993;
 ; ; ;Genista pilosa-Sesleria varia-Gesellschaft ;
 ; ;Caricion ferrugineae G. Br.-Bl. et J. Br.-Bl. 1931;;
 ; ; ;Campanulo scheuchzeri-Festucetum noricae Isda 1986;
 ; ; ;Caricetum ferrugineae Lüdi 1921;
 ; ; ;Calamagrostis varia-Sesleria albicans-Gesellschaft ;
 ; ; ;Origano-Calamagrostietum variae Lippert ex Thiele 1978;
Carici rupestris-Kobresietea bellardii Ohba 1974 Ohba 1974;;;;
 ;Oxytropido-Kobresietalia Oberd. ex. Albrecht 1969;;;
 ; ;Oxytropido-Elynion Br.-Bl. 1949;;
 ; ; ;Elynetum myosuroidis Rübel 1911;
 ; ; ;Caricetum rupestris Pignatti et Pignatti 1985  [-];
 ; ; ;Elyno-Caricetum rosae Erschbamer 1992  [-];
 ; ; ;Agrostis alpina-Gesellschaft ;
Salicetea herbaceae Br.-Bl. 1948;;;;
 ;Salicetalia herbaceae Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ;Salicion herbaceae Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Salicetum herbaceae Rübel 1911 em. 1933;
 ; ; ;Luzuletum alpinopilosae Br.-Bl. in Br.-Bl. et Jenny 1926;
 ; ; ;Poo-Cerastietum cerastioidis (Söyrinki 1954) Oberdorfer 1957;
 ; ; ;Nardo-Gnaphalietum supini J. Bartsch et M. Bartsch 1940;
 ; ; ;Polytrichetum sexangularis Frey 1922;
Caricetea curvulae Br.-Bl. 1948;;;;
 ;Caricetalia curvulae Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ;Caricion curvulae Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Caricetum curvulae Rübel 1911;
 ; ; ;Festuca halleri-Gesellschaft   [-];
 ; ;Juncion trifidi Krajina 1933;;
 ; ; ;Agrostis rupestris-Juncus trifidus-Gesellschaft ;
 ; ; ;Juncus trifidus-Primula minima-Gesellschaft ;
 ;Festucetaliae spadiceae Barbero 1970;;;
 ; ;Agrostion schraderianae Grabherr 1993;;
 ; ; ;Pediculari recutitae-Agrostietum schraderianae Grabherr 1993;
Calluno-Ulicetea Br.-Bl. et Tx. ex Klika et Hadac 1944;;;;
 ;Nardetalia Oberd. ex Preising 1949;;;
 ; ;Violion caninae Schwickerath 1944;;
 ; ; ;Polygalo-Nardetum Oberd. 1957 em. Peppler 1992 nom. conserv. propos.;
 ; ; ; ;"Polygalo-Nardetum (""Polygalo-Nardetum Oberd. 1957"" s.str.) "
 ; ; ; ;"Polygalo-Nardetum (""Botrychio-Polygaletum vulgaris Preising 1950"") "
 ; ; ; ;"Polygalo-Nardetum (""Festuco-Genistetum sagittalis Issler 1929"") "
 ; ; ; ;"Polygalo-Nardetum (""Polygono vivipari-Chamaespartietum sagittalis"") "
 ; ; ; ;"Polygalo-Nardetum (""Aveno-Genistetum sagittalis Oberd. 1957"") "
 ; ; ;Juncetum squarrosi Nordhagen 1922 nom. conserv. propos.;
 ; ; ; ;Juncetum squarrosi (Juncetum squarrosi s.str.) 
 ; ; ; ;"Juncetum squarrosi (""Nardo-Gentianetum pneumonanthis Preising 1950"") "
 ; ; ;Galium harcynicum-Nardus stricta-Gesellschaft ;
 ; ;Nardion Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Geo montani-Nardetum strictae Lüdi 1948 nom. mut. propos.;
 ; ; ;Leontodon helveticus-Nardus stricta-Gesellschaft ;
 ; ; ;Diphasium alpinum-Nardus stricta-Gesellschaft ;
 ; ; ;Pulsatilla alba-Nardus stricta-Gesellschaft (sensu Tx. 1937);
 ; ; ;Violo-Nardetum Issler 1927  [-];
 ;Vaccinio-Genistetalia Schubert 1960;;;
 ; ;Genistion pilosae Duvigneaud 1942;;
 ; ; ;Genisto pilosae-Callunetum Braun 1915 nom. invers. propos.;
 ; ; ;Genisto germanicae-Callunetum Oberd. 1957;
 ; ; ;Cytiso supini-Antennarietum Preising 1953;
 ; ; ;Vaccinio-Callunetum Büker 1942 nom. invers. propos.;
 ; ;Empetrion nigri Böcher 1943;;
 ; ; ;Hieracio-Empetretum Libbert 1940;
 ; ;Festucion variae Br.-Bl. 1925  [-];;
 ; ; ;Pulsatillo albae-Festucetum variae   [-];
 ; ; ;Festuca pseudodura-Bestände   [-];
Oxycocco-Sphagnetea Br.-Bl. et Tx. ex Westhoff et al. 1946;;;;
 ; ; ; ;Carex lasiocarpa-Pinus rotundata-Gesellschaft 
 ;Erico-Sphagnetalia papillosi Schwickerath 1940 em. Br.-Bl. 1949;;;
 ; ;Ericion tetralicis Schwickerath 1933;;
 ; ; ;Ericetum tetralicis (Allorge 1922) Jonas 1932;
 ; ; ;Sphagno compacti-Trichophoretum germanici (Oberd. 1938) Bartsch 1940 em. Dierßen in Oberd. 1977;
 ; ; ;Salici repentis-Ericetum (Tx. 1933) Tx. et Buchwald 1942;
