class;order;alliance;association;variant
 ; ; ;Cardario-Brassicetum oleraceae Dierschke et Welbrun 1986;
Asplenietea trichomanis Br.-Bl. in Meier et Br.-Bl. 1934;;;;
 ;Potentilletalia caulescentis Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ;Potentillion caulescentis Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Androsacetum helveticae Lüdi ex Br.-Bl. in Br.-Bl. et Jenny 1926;
 ; ; ;Hieracio humilis-Potentilletum caulescentis Br.-Bl. in Meier et Br.-Bl. 1934;
 ; ; ;Drabo-Hieracietum humilis Oberd. (1970) 1977;
 ; ; ;Asplenium trichomanes-Asplenium ruta-muraria-Gesellschaft ;
 ; ; ;Potentilletum nitidae Wikus 1959  [-];
 ; ;Cystopteridion fragilis J.L. Richard 1972;;
 ; ; ;Cystopteridetum fragilis Oberd. 1938;
 ; ; ;Heliospermo-Cystopteridetum alpinae J.L. Richard 1972 corr. Pott 1992;
 ; ; ;Asplenio-Caricetum brachystachyos Richard 1972;
 ; ; ;Drabo stellatae-Potentilletum clusianae Hörandl et Greimler in Mucina 1993  [-];
 ; ; ;Cystopteridetum dickieanae Dierßen 1992  [-];
 ;Androsacetalia vandellii Br.-Bl. in Meier et Br.-Bl. 1934;;;
 ; ;Asplenion septentrionalis Oberd. 1938;;
 ; ; ;Sileno rupestris-Asplenietum septentrionalis Oberd. 1934 nom. prov.;
 ; ; ;Woodsio ilvensis-Asplenietum septentrionalis Tx. 1937;
 ; ; ;Asplenietum septentrionali-adianti-nigri Oberd. 1938;
 ; ; ;Asplenietum serpentini (G. Knapp 1942) Gauckler 1954;
 ; ;Asarinion procumbentis Br.-Bl. in Meier et Br.-Bl. 1934  [-];;
 ; ; ;Crocynio-Asplenietum billotii G. Schulze et Korneck 1971  [-];
 ; ;Androsacion vandellii Br.-Bl. in Br.-Bl. et Jenny 1926  [-];;
 ; ; ;Androsacetum vandellii Br.-Bl. 1926  [-];
 ; ; ;Asplenio-Primuletum hirsutae Br.-Bl. in Meier et Br.-Bl. 1934  [-];
 ;Parietarietalia judaicae Rivas-Martinez 1960 ex Br.-Bl. 1963 corr. Oberdorfer 1977;;;
 ; ;Cymbalario-Asplenion Ségal 1969 em. Mucina 1993;;
 ; ; ;Parietaria judaica-Gesellschaft ;
 ; ; ;Cymbalaria muralis-Gesellschaft ;
 ; ; ;Corydalis lutea-Gesellschaft ;
Thlaspietea rotundifolii Br.-Bl. 1948;;;;
 ;Androsacetalia alpinae Br.-Bl. in Br.-Bl. et Jenny 1926;;;
 ; ;Androsacion alpinae Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Sieversio-Oxyrietum Friedel 1956 em. Englisch et al. 1993;
 ; ; ;Cryptogramma crispa-Gesellschaft ;
 ; ; ;Androsacetum alpinae Br.-Bl. in Br.-Bl. et Jenny 1926  [-];
 ; ; ;Androsacetum wulfenianae Franz 1988  [-];
 ;Drabetalia hoppeanae Zollitsch 1966  [-];;;
 ; ;Drabion hoppeanae Zollitsch 1966  [-];;
 ; ; ;Drabetum hoppeanae Friedel 1956  [-];
 ; ; ;Saxifragetum biflorae Zollitsch 1966  [-];
 ; ; ;Herniarietum alpinae Zollitsch 1968  [-];
 ; ; ;Campanulo ceniseae-Saxifragetum oppositifoliae Oberd. ex Zollitsch 1968  [-];
 ; ; ;Saxifragetum rudolphianae Friedel 1956  [-];
 ;Thlaspietalia rotundifolii Br.-Bl. 1948;;;
 ; ;Thlaspion rotundifolii Jenny-Lips 1930;;
 ; ; ;Thlaspietum rotundifolii Jenny-Lips 1930;
 ; ; ;Crepidetum terglouensis Seibert 1977;
 ; ; ;Leontodontetum montani Jenny-Lips 1930;
 ; ;Petasition paradoxi Zollitsch ex Lippert 1966;;
 ; ; ;Moehringio-Gymnocarpietum robertiani (Jenny-Lips 1930) Lippert 1966;
 ; ; ;Petasitetum paradoxi Beger 1922;
 ; ; ;Athamanto-Trisetetum distichophylli (Jenny-Lips 1930) Lippert 1966;
 ; ; ;Dryopteridetum villarii Jenny-Lips 1930;
 ; ; ;Anthyllido-Leontodentetum hyoseroidis Zoller 1951;
 ; ; ;Cystopteridetum montanae Richard 1972;
 ; ; ;Polystichum lonchitis-Gesellschaft ;
 ; ; ;Adenostyles glabra-Gesellschaft ;
 ; ; ;Petasites albus-Gesellschaft ;
 ;Epilobietalia fleischeri Moor 1958;;;
 ; ;Salicion incanae Aichinger 1933;;
 ; ; ;Myricario-Chondrilletum chondrilloidis Br.-Bl. in Volk 1939;
 ; ; ;Calamagrostietum pseudophragmitis Kopecký 1968;
 ; ; ;Epilobio-Scrophularietum caninae Br.-Bl. et Koch ex Müller 1974;
 ; ; ;Epilobietum fleischeri Frey 1922  [-];
 ;Galio-Parietarietalia officinalis Boscaiu et al. 1966;;;
 ; ;Stipion calamagrostis Jenny-Lips ex Br.-Bl. et al. 1952;;
 ; ; ;Stipetum calamagrostis Br.-Bl. 1918;
 ; ; ;Gymnocarpietum robertiani Kuhn 1937;
 ; ; ;Rumicetum scutati Faber 1936;
 ; ; ;Galeopsietum angustifoliae (Büker 1942) Bornkamm 1960;
 ; ; ;Vincetoxicum hirundinaria-Gesellschaft ;
 ;Galeopsietalia segetum Oberd. et Seibert in Oberd. 1977;;;
 ; ;Galeopsion segetum Oberd. 1957;;
 ; ; ;Epilobio lanceolati-Galeopsietum segetum Büker 1942;
 ; ; ;Anarrhinetum bellidifolii (Korneck 1974) Seibert in Oberd. 1977;
 ; ; ;Teucrio botryos-Senecionetum viscosi (Kersberg 1968) Korneck 1974;
 ; ; ;Epilobium lanceolatum-Galeopsis ladanum-Gesellschaft ;
 ;Arabidetalia caeruleae Rübel ex Br.-Bl. 1948;;;
 ; ;Arabidion caeruleae Br.-Bl. in Br.-Bl. et Jenny 1926;;
 ; ; ;Salicetum retuso-reticulatae Br.-Bl. in Br.-Bl. et Jenny 1926;
 ; ; ;Arabidetum caeruleae Br.-Bl. 1918;
 ; ; ;Arabido-Rumicetum nivalis (Jenny-Lips 1930) Oberd. 1957 nom. invers. propos.;
 ; ; ;Soldanella pusilla-Homogyne discolor-Gesellschaft ;
Stellarietea mediae Tx. et al. in Tx. 1950;;;;
 ;Centaureetalia cyani Tx., Lohmeyer et Preising in Tx. 1950;;;
 ; ;Veronico-Euphorbion Sissingh ex Passarge 1964;;
 ; ; ;Mercurialetum annuae Kruseman et Vlieger 1939;
