Taxon,L,T,K,F,R,N,,FZ,S
Abies alba,i,5,5,i,i,i,,,0
Abutilon theophrasti,8,8,6,6,7,7,,,1
Acalypha virginica,7,8,3,3,5,5,,,0
Acanthus mollis,6,9,3,4,7,7,,,0
Acer campestre,5,7,6,5,7,5,,,0
Acer monspessulanum,6,8,4,3,8,4,,,0
Acer negundo,6,7,6,6,7,7,,=,1
Acer platanoides,4,6,5,5,7,i,,=,0
Acer pseudoplatanus,4,i,5,6,7,7,,,0
Acer saccharinum,3,8,3,5,5,5,,,0
Acer tataricum,5,7,8,5,7,4,,,1
Aceras anthropophorum,8,7,3,3,8,3,,~,0
Achillea ageratum,8,8,4,6,6,4,,,1
Achillea aspleniifolia,8,6,7,7,7,4,,~,2
Achillea atrata,9,1,5,5,8,3,,,0
Achillea atrata agg.,9,2,4,5,8,3,,,0
Achillea clavennae,8,2,5,3,8,3,,,0
Achillea clusiana,9,2,4,5,9,3,,,0
Achillea collina,8,6,6,4,6,4,,,3
Achillea crithmifolia,8,8,6,4,5,3,,,0
Achillea distans,7,5,6,4,7,4,,,0
Achillea filipendulina,8,7,6,6,7,5,,,0
Achillea macrophylla,6,3,4,6,7,8,,,0
Achillea millefolium,8,i,5,5,i,5,,,0
Achillea millefolium agg.,8,i,i,i,i,i,,,1
Achillea millefolium subsp. millefolium,8,5,5,5,i,5,,,0
Achillea millefolium subsp. sudetica,8,4,5,5,i,4,,,0
Achillea moschata,9,1,5,5,3,2,,,0
Achillea nobilis,8,7,7,3,8,2,,,0
Achillea oxyloba,9,2,4,5,8,3,,,0
Achillea pannonica,8,7,7,3,7,3,,,1
Achillea pratensis,8,5,4,6,6,5,,,1
Achillea ptarmica,8,5,3,8,4,3,,,0
Achillea raxensis,7,6,6,4,7,3,,,0
Achillea roseoalba,8,7,6,6,5,3,,~,0
Achillea setacea,9,7,8,2,i,2,,,3
Achillea stricta,7,5,5,4,7,3,,,0
Achillea styriaca,7,5,5,4,6,3,,,0
Achnatherum calamagrostis,9,5,6,3,9,2,,~,0
Achnatherum virescens,5,7,7,4,7,4,,,0
Achyranthes aspera,8,9,6,2,4,1,,,0
Aconitum anthora,6,7,6,4,7,4,,,0
Aconitum carmichaelii,7,3,i,7,7,7,,,0
Aconitum degenii,6,3,4,6,7,7,,,0
Aconitum lamarckii,7,3,5,6,8,7,,,0
Aconitum lycoctonum,4,3,4,7,7,7,,,0
Aconitum lycoctonum subsp. lupicida,4,3,4,7,7,7,,,0
Aconitum lycoctonum subsp. lycoctonum,3,4,4,7,7,7,,,0
Aconitum lycoctonum subsp. lycoctonum var. lycoctonum,3,4,4,7,7,7,,,0
Aconitum lycoctonum subsp. lycoctonum var. pauciflorum,3,5,5,7,7,7,,,0
Aconitum lycoctonum subsp. lycoctonum var. vulparia,3,4,4,7,7,7,,,0
Aconitum lycoctonum subsp. neapolitanum,4,3,4,7,7,7,,,0
Aconitum napellus,7,4,4,7,7,8,,,0
Aconitum napellus agg.,7,3,5,6,7,7,,,0
Aconitum napellus subsp. compactum,7,3,5,7,5,7,,,0
Aconitum napellus subsp. formosum,6,3,5,7,6,6,,,0
Aconitum napellus subsp. lusitanicum,7,4,2,7,7,8,,,0
Aconitum plicatum,6,3,5,7,6,6,,,0
Aconitum tauricum,8,2,4,5,i,7,,,0
Aconitum variegatum,5,4,5,7,6,7,,=,0
Acorus calamus,8,6,5,10,7,7,,,1
Actaea europea,4,5,5,5,8,7,,,0
Actaea spicata,3,5,5,5,7,7,,,0
Adenophora liliifolia,7,7,7,5,8,3,,~,0
Adenostyles alliariae,5,3,4,6,6,7,,,0
Adenostyles alpina,6,3,5,5,8,4,,,0
Adenostyles leucophylla,8,2,6,7,3,2,,,0
Adiantum capillus-veneris,2,9,3,7,8,3,,,0
Adonis aestivalis,8,7,7,3,7,5,,,0
Adonis flammea,8,7,6,3,8,3,,,0
